Date,IMHStock_Open_average,IMHStock_Open_max,IMHStock_Open_min,IMHStock_Open_volatility,IMHStock_Open_change,IMHStock_High_average,IMHStock_High_max,IMHStock_High_min,IMHStock_High_volatility,IMHStock_High_change,IMHStock_Low_average,IMHStock_Low_max,IMHStock_Low_min,IMHStock_Low_volatility,IMHStock_Low_change,IMHStock_Close_average,IMHStock_Close_max,IMHStock_Close_min,IMHStock_Close_volatility,IMHStock_Close_change,IMHStock_Volume_average,IMHStock_Volume_max,IMHStock_Volume_min,IMHStock_Volume_volatility,IMHStock_Volume_change
2018-01-14,10.2425,10.39,10.14,0.25,-0.25,10.32,10.44,10.24,0.1999999999999993,-0.10999999999999943,10.1325,10.19,10.06,0.129999999999999,-0.129999999999999,10.2425,10.33,10.15,0.17999999999999972,0.08999999999999986,5134,7107,1759,5348,71
2018-01-21,10.286,10.4,10.21,0.1899999999999995,-0.019999999999999574,10.356,10.44,10.25,0.1899999999999995,-0.14000000000000057,10.166,10.3,10.06,0.2400000000000002,-0.20999999999999908,10.276,10.44,10.11,0.33000000000000007,-0.1800000000000015,2735,5086,1111,3975,-1100
2018-01-28,9.57,10.12,8.81,1.3099999999999987,-1.3099999999999987,9.618,10.19,8.81,1.379999999999999,-1.3099999999999987,9.208,9.95,8.39,1.5599999999999987,-1.5599999999999987,9.272,9.95,8.5,1.4499999999999993,-1.4499999999999993,5059,8624,2748,5876,1601
2018-02-04,8.32,8.5,7.97,0.5300000000000002,-0.4900000000000011,8.432,8.69,8.23,0.4599999999999991,-0.4599999999999991,8.154,8.43,7.9,0.5299999999999994,-0.5299999999999994,8.254,8.54,8.0,0.5399999999999991,-0.5399999999999991,7144,11335,2998,8337,3681
2018-02-11,8.342,8.55,8.0,0.5500000000000007,0.5500000000000007,8.628,9.0,8.44,0.5600000000000005,0.5199999999999996,8.33,8.55,8.0,0.5500000000000007,0.5500000000000007,8.582,8.97,8.42,0.5500000000000007,0.5400000000000009,3917,8908,1267,7641,6867
2018-02-18,8.85,8.91,8.76,0.15000000000000036,-0.08999999999999986,8.95,9.0,8.88,0.11999999999999922,-0.07000000000000028,8.7775,8.87,8.71,0.15999999999999837,-0.049999999999998934,8.855,8.99,8.71,0.27999999999999936,0.14000000000000057,3253,7733,1096,6637,-5943
2018-02-25,9.06,9.28,8.9,0.379999999999999,0.27999999999999936,9.266,9.45,9.1,0.34999999999999964,0.20000000000000107,9.008000000000001,9.28,8.88,0.3999999999999986,0.27999999999999936,9.178,9.43,8.9,0.5299999999999994,0.22000000000000064,3792,6656,2022,4634,-2927
2018-03-04,9.564,9.83,9.31,0.5199999999999996,0.1999999999999993,9.790000000000001,10.33,9.47,0.8599999999999994,0.1399999999999988,9.376000000000001,9.65,9.25,0.40000000000000036,0.08000000000000007,9.574,9.8,9.37,0.4300000000000015,0.2400000000000002,4037,9210,1720,7490,-7490
2018-03-11,9.032,9.73,8.06,1.67,-1.67,9.062000000000001,9.73,8.08,1.6500000000000004,-1.6500000000000004,8.706,9.47,7.51,1.9600000000000009,-1.5300000000000002,8.874,9.6,7.94,1.6599999999999993,-1.6599999999999993,25480,78316,2598,75718,75718
2018-03-18,7.774,7.91,7.51,0.40000000000000036,-0.40000000000000036,7.808,7.93,7.6,0.33000000000000007,-0.3100000000000005,7.524,7.78,7.22,0.5600000000000005,-0.3799999999999999,7.6659999999999995,7.81,7.5,0.3099999999999996,-0.3099999999999996,16979,28995,1994,27001,10536
