Date,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Open_average,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Open_max,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Open_min,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Open_volatility,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Open_change,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_High_average,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_High_max,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_High_min,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_High_volatility,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_High_change,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Low_average,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Low_max,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Low_min,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Low_volatility,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Low_change,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Close_average,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Close_max,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Close_min,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Close_volatility,WisdomTree Barclays Yield Enhanced US Aggregate BoEtf_Close_change
2018-01-14,50.28,50.28,50.28,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-01-21,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-01-28,49.72,49.72,49.72,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-02-04,49.35,49.35,49.35,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-02-11,49.35,49.35,49.35,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-02-18,49.09,49.09,49.09,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-02-25,49.1,49.1,49.1,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-03-04,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-03-11,49.1,49.1,49.1,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-03-18,48.92,48.92,48.92,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.96,48.96,48.96,0.0,0.0
