Date,PowerShares S&P SmallCap MaterialsEtf_Open_average,PowerShares S&P SmallCap MaterialsEtf_Open_max,PowerShares S&P SmallCap MaterialsEtf_Open_min,PowerShares S&P SmallCap MaterialsEtf_Open_volatility,PowerShares S&P SmallCap MaterialsEtf_Open_change,PowerShares S&P SmallCap MaterialsEtf_High_average,PowerShares S&P SmallCap MaterialsEtf_High_max,PowerShares S&P SmallCap MaterialsEtf_High_min,PowerShares S&P SmallCap MaterialsEtf_High_volatility,PowerShares S&P SmallCap MaterialsEtf_High_change,PowerShares S&P SmallCap MaterialsEtf_Low_average,PowerShares S&P SmallCap MaterialsEtf_Low_max,PowerShares S&P SmallCap MaterialsEtf_Low_min,PowerShares S&P SmallCap MaterialsEtf_Low_volatility,PowerShares S&P SmallCap MaterialsEtf_Low_change,PowerShares S&P SmallCap MaterialsEtf_Close_average,PowerShares S&P SmallCap MaterialsEtf_Close_max,PowerShares S&P SmallCap MaterialsEtf_Close_min,PowerShares S&P SmallCap MaterialsEtf_Close_volatility,PowerShares S&P SmallCap MaterialsEtf_Close_change
2018-01-14,53.9,53.9,53.9,0.0,0.0,54.51,54.51,54.51,0.0,0.0,53.61,53.61,53.61,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-01-21,54.92,54.92,54.92,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.85,54.85,54.85,0.0,0.0
2018-01-28,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-02-04,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-02-11,52.29,52.29,52.29,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-02-18,52.57,52.57,52.57,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-02-25,51.12,51.12,51.12,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2018-03-04,53.32,53.32,53.32,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2018-03-11,52.36,52.36,52.36,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2018-03-18,51.44,51.44,51.44,0.0,0.0,51.44,51.44,51.44,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-25,50.12,50.12,50.12,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-04-01,51.35,51.35,51.35,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2018-04-08,52.25,52.25,52.25,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2018-04-15,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2018-04-22,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2018-04-29,50.86,50.86,50.86,0.0,0.0,51.55,51.55,51.55,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2018-05-06,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-05-13,53.04,53.04,53.04,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2018-05-20,53.2,53.2,53.2,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2018-05-27,53.19,53.19,53.19,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.6,53.6,53.6,0.0,0.0
