Date,SPDR Citi International Government Inflation-ProteEtf_Open_average,SPDR Citi International Government Inflation-ProteEtf_Open_max,SPDR Citi International Government Inflation-ProteEtf_Open_min,SPDR Citi International Government Inflation-ProteEtf_Open_volatility,SPDR Citi International Government Inflation-ProteEtf_Open_change,SPDR Citi International Government Inflation-ProteEtf_High_average,SPDR Citi International Government Inflation-ProteEtf_High_max,SPDR Citi International Government Inflation-ProteEtf_High_min,SPDR Citi International Government Inflation-ProteEtf_High_volatility,SPDR Citi International Government Inflation-ProteEtf_High_change,SPDR Citi International Government Inflation-ProteEtf_Low_average,SPDR Citi International Government Inflation-ProteEtf_Low_max,SPDR Citi International Government Inflation-ProteEtf_Low_min,SPDR Citi International Government Inflation-ProteEtf_Low_volatility,SPDR Citi International Government Inflation-ProteEtf_Low_change,SPDR Citi International Government Inflation-ProteEtf_Close_average,SPDR Citi International Government Inflation-ProteEtf_Close_max,SPDR Citi International Government Inflation-ProteEtf_Close_min,SPDR Citi International Government Inflation-ProteEtf_Close_volatility,SPDR Citi International Government Inflation-ProteEtf_Close_change
2018-01-14,58.8,58.8,58.8,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.68,58.68,58.68,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2018-01-21,59.8,59.8,59.8,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.79,59.79,59.79,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-01-28,59.12,59.12,59.12,0.0,0.0,59.35,59.35,59.35,0.0,0.0,58.78,58.78,58.78,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-02-04,58.05,58.05,58.05,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.79,57.79,57.79,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-02-11,59.12,59.12,59.12,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2018-02-18,58.82,58.82,58.82,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.81,58.81,58.81,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2018-02-25,58.57,58.57,58.57,0.0,0.0,58.73,58.73,58.73,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2018-03-04,58.5,58.5,58.5,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2018-03-11,58.3,58.3,58.3,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2018-03-18,59.02,59.02,59.02,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.99,58.99,58.99,0.0,0.0
2018-03-25,59.16,59.16,59.16,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.55,59.55,59.55,0.0,0.0
2018-04-01,59.02,59.02,59.02,0.0,0.0,59.21,59.21,59.21,0.0,0.0,58.9,58.9,58.9,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-04-08,59.15,59.15,59.15,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-04-15,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-04-22,57.37,57.37,57.37,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-04-29,56.28,56.28,56.28,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.28,56.28,56.28,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2018-05-06,56.54,56.54,56.54,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2018-05-13,54.78,54.78,54.78,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2018-05-20,54.95,54.95,54.95,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-05-27,55.04,55.04,55.04,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.91,54.91,54.91,0.0,0.0
