Date,iShares 0-5 Year Invest Grade Corporate BondEtf_Open_average,iShares 0-5 Year Invest Grade Corporate BondEtf_Open_max,iShares 0-5 Year Invest Grade Corporate BondEtf_Open_min,iShares 0-5 Year Invest Grade Corporate BondEtf_Open_volatility,iShares 0-5 Year Invest Grade Corporate BondEtf_Open_change,iShares 0-5 Year Invest Grade Corporate BondEtf_High_average,iShares 0-5 Year Invest Grade Corporate BondEtf_High_max,iShares 0-5 Year Invest Grade Corporate BondEtf_High_min,iShares 0-5 Year Invest Grade Corporate BondEtf_High_volatility,iShares 0-5 Year Invest Grade Corporate BondEtf_High_change,iShares 0-5 Year Invest Grade Corporate BondEtf_Low_average,iShares 0-5 Year Invest Grade Corporate BondEtf_Low_max,iShares 0-5 Year Invest Grade Corporate BondEtf_Low_min,iShares 0-5 Year Invest Grade Corporate BondEtf_Low_volatility,iShares 0-5 Year Invest Grade Corporate BondEtf_Low_change,iShares 0-5 Year Invest Grade Corporate BondEtf_Close_average,iShares 0-5 Year Invest Grade Corporate BondEtf_Close_max,iShares 0-5 Year Invest Grade Corporate BondEtf_Close_min,iShares 0-5 Year Invest Grade Corporate BondEtf_Close_volatility,iShares 0-5 Year Invest Grade Corporate BondEtf_Close_change
2018-01-14,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-01-21,50.08,50.08,50.08,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-01-28,49.93,49.93,49.93,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-02-04,49.84,49.84,49.84,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-02-11,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-02-18,49.77,49.77,49.77,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-02-25,49.66,49.66,49.66,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-03-04,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-03-11,49.67,49.67,49.67,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-03-18,49.66,49.66,49.66,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-03-25,49.69,49.69,49.69,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-04-01,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-04-08,49.7,49.7,49.7,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-04-15,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-04-22,49.59,49.59,49.59,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-04-29,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-05-06,49.54,49.54,49.54,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-05-13,49.51,49.51,49.51,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-05-20,49.68,49.68,49.68,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-05-27,49.56,49.56,49.56,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-06-03,49.55,49.55,49.55,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-06-10,49.53,49.53,49.53,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-06-17,49.53,49.53,49.53,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-06-24,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-07-01,49.56,49.56,49.56,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-07-08,49.59,49.59,49.59,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-07-15,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-07-22,49.63,49.63,49.63,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-07-29,49.6,49.6,49.6,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-08-05,49.66,49.66,49.66,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-08-12,49.73,49.73,49.73,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-08-19,49.77,49.77,49.77,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-08-26,49.8,49.8,49.8,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-09-02,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-09-09,49.61,49.61,49.61,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-09-16,49.6,49.6,49.6,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-09-23,49.66,49.66,49.66,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-09-30,49.43,49.43,49.43,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-10-07,49.47,49.47,49.47,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-10-14,49.46,49.46,49.46,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-10-21,49.6,49.6,49.6,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-10-28,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-11-04,49.33,49.33,49.33,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-11-11,49.37,49.37,49.37,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-11-18,49.38,49.38,49.38,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-11-25,49.36,49.36,49.36,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-12-02,49.26,49.26,49.26,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-12-09,49.39,49.39,49.39,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-12-16,49.37,49.37,49.37,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-12-23,49.45,49.45,49.45,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-12-30,49.54,49.54,49.54,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2019-01-06,49.61,49.61,49.61,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2019-01-13,49.69,49.69,49.69,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2019-01-20,49.83,49.83,49.83,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2019-01-27,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2019-02-03,49.97,49.97,49.97,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2019-02-10,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2019-02-17,50.04,50.04,50.04,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-02-24,49.99,49.99,49.99,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0
