Date,First Trust Nasdaq Oil & GasEtf_Open_average,First Trust Nasdaq Oil & GasEtf_Open_max,First Trust Nasdaq Oil & GasEtf_Open_min,First Trust Nasdaq Oil & GasEtf_Open_volatility,First Trust Nasdaq Oil & GasEtf_Open_change,First Trust Nasdaq Oil & GasEtf_High_average,First Trust Nasdaq Oil & GasEtf_High_max,First Trust Nasdaq Oil & GasEtf_High_min,First Trust Nasdaq Oil & GasEtf_High_volatility,First Trust Nasdaq Oil & GasEtf_High_change,First Trust Nasdaq Oil & GasEtf_Low_average,First Trust Nasdaq Oil & GasEtf_Low_max,First Trust Nasdaq Oil & GasEtf_Low_min,First Trust Nasdaq Oil & GasEtf_Low_volatility,First Trust Nasdaq Oil & GasEtf_Low_change,First Trust Nasdaq Oil & GasEtf_Close_average,First Trust Nasdaq Oil & GasEtf_Close_max,First Trust Nasdaq Oil & GasEtf_Close_min,First Trust Nasdaq Oil & GasEtf_Close_volatility,First Trust Nasdaq Oil & GasEtf_Close_change
2018-01-14,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.97,21.97,21.97,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2018-01-21,22.48,22.48,22.48,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2018-01-28,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2018-02-04,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2018-02-11,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-02-18,19.42,19.42,19.42,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2018-02-25,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2018-03-04,19.34,19.34,19.34,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.39,19.39,19.39,0.0,0.0
2018-03-11,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-03-18,19.61,19.61,19.61,0.0,0.0,20.09,20.09,20.09,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2018-03-25,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-04-01,20.48,20.48,20.48,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-04-08,21.17,21.17,21.17,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2018-04-15,22.33,22.33,22.33,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-04-22,23.11,23.11,23.11,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.79,22.79,22.79,0.0,0.0
2018-04-29,23.3,23.3,23.3,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2018-05-06,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-05-13,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-05-20,24.33,24.33,24.33,0.0,0.0,24.38,24.38,24.38,0.0,0.0,23.67,23.67,23.67,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-05-27,24.96,24.96,24.96,0.0,0.0,25.32,25.32,25.32,0.0,0.0,24.9,24.9,24.9,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-06-03,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-06-10,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2018-06-17,24.51,24.51,24.51,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-06-24,24.93,24.93,24.93,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-07-01,24.61,24.61,24.61,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-07-08,24.36,24.36,24.36,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-07-15,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-07-22,24.96,24.96,24.96,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-07-29,24.25,24.25,24.25,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-08-05,24.4,24.4,24.4,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-08-12,23.28,23.28,23.28,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2018-08-19,24.65,24.65,24.65,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2018-08-26,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2018-09-02,24.12,24.12,24.12,0.0,0.0,24.23,24.23,24.23,0.0,0.0,23.94,23.94,23.94,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2018-09-09,24.5,24.5,24.5,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-09-16,24.26,24.26,24.26,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-09-23,25.05,25.05,25.05,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-09-30,25.58,25.58,25.58,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-10-07,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,23.72,23.72,23.72,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2018-10-14,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2018-10-21,21.02,21.02,21.02,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.67,20.67,20.67,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2018-10-28,21.73,21.73,21.73,0.0,0.0,22.28,22.28,22.28,0.0,0.0,21.15,21.15,21.15,0.0,0.0,21.18,21.18,21.18,0.0,0.0
