Date,PowerShares S&P EM Momentum PortEtf_Open_average,PowerShares S&P EM Momentum PortEtf_Open_max,PowerShares S&P EM Momentum PortEtf_Open_min,PowerShares S&P EM Momentum PortEtf_Open_volatility,PowerShares S&P EM Momentum PortEtf_Open_change,PowerShares S&P EM Momentum PortEtf_High_average,PowerShares S&P EM Momentum PortEtf_High_max,PowerShares S&P EM Momentum PortEtf_High_min,PowerShares S&P EM Momentum PortEtf_High_volatility,PowerShares S&P EM Momentum PortEtf_High_change,PowerShares S&P EM Momentum PortEtf_Low_average,PowerShares S&P EM Momentum PortEtf_Low_max,PowerShares S&P EM Momentum PortEtf_Low_min,PowerShares S&P EM Momentum PortEtf_Low_volatility,PowerShares S&P EM Momentum PortEtf_Low_change,PowerShares S&P EM Momentum PortEtf_Close_average,PowerShares S&P EM Momentum PortEtf_Close_max,PowerShares S&P EM Momentum PortEtf_Close_min,PowerShares S&P EM Momentum PortEtf_Close_volatility,PowerShares S&P EM Momentum PortEtf_Close_change
2018-01-14,21.77,21.77,21.77,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2018-01-21,22.19,22.19,22.19,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.19,22.19,22.19,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-01-28,21.64,21.64,21.64,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2018-02-04,19.6,19.6,19.6,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2018-02-11,21.49,21.49,21.49,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2018-02-18,21.22,21.22,21.22,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-02-25,20.23,20.23,20.23,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2018-03-04,21.14,21.14,21.14,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-03-11,21.44,21.44,21.44,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.49,21.49,21.49,0.0,0.0
2018-03-18,20.61,20.61,20.61,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2018-03-25,20.52,20.52,20.52,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.87,20.87,20.87,0.0,0.0
