Date,Global X SuperIncome PreferredEtf_Open_average,Global X SuperIncome PreferredEtf_Open_max,Global X SuperIncome PreferredEtf_Open_min,Global X SuperIncome PreferredEtf_Open_volatility,Global X SuperIncome PreferredEtf_Open_change,Global X SuperIncome PreferredEtf_High_average,Global X SuperIncome PreferredEtf_High_max,Global X SuperIncome PreferredEtf_High_min,Global X SuperIncome PreferredEtf_High_volatility,Global X SuperIncome PreferredEtf_High_change,Global X SuperIncome PreferredEtf_Low_average,Global X SuperIncome PreferredEtf_Low_max,Global X SuperIncome PreferredEtf_Low_min,Global X SuperIncome PreferredEtf_Low_volatility,Global X SuperIncome PreferredEtf_Low_change,Global X SuperIncome PreferredEtf_Close_average,Global X SuperIncome PreferredEtf_Close_max,Global X SuperIncome PreferredEtf_Close_min,Global X SuperIncome PreferredEtf_Close_volatility,Global X SuperIncome PreferredEtf_Close_change
2018-01-14,12.19,12.19,12.19,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2018-01-21,12.28,12.28,12.28,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.22,12.22,12.22,0.0,0.0
2018-01-28,12.04,12.04,12.04,0.0,0.0,12.11,12.11,12.11,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2018-02-04,11.77,11.77,11.77,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2018-02-11,11.88,11.88,11.88,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.91,11.91,11.91,0.0,0.0
2018-02-18,11.94,11.94,11.94,0.0,0.0,11.96,11.96,11.96,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.95,11.95,11.95,0.0,0.0
2018-02-25,11.9,11.9,11.9,0.0,0.0,11.99,11.99,11.99,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-03-04,11.93,11.93,11.93,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.99,11.99,11.99,0.0,0.0
2018-03-11,11.97,11.97,11.97,0.0,0.0,12.01,12.01,12.01,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2018-03-18,11.91,11.91,11.91,0.0,0.0,11.96,11.96,11.96,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.92,11.92,11.92,0.0,0.0
2018-03-25,11.87,11.87,11.87,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2018-04-01,11.78,11.78,11.78,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-04-08,11.85,11.85,11.85,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2018-04-15,11.88,11.88,11.88,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.85,11.85,11.85,0.0,0.0
2018-04-22,11.82,11.82,11.82,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-04-29,11.7,11.7,11.7,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.69,11.69,11.69,0.0,0.0,11.71,11.71,11.71,0.0,0.0
2018-05-06,11.79,11.79,11.79,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-05-13,11.75,11.75,11.75,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2018-05-20,11.77,11.77,11.77,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2018-05-27,11.81,11.81,11.81,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2018-06-03,11.9,11.9,11.9,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2018-06-10,11.81,11.81,11.81,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.88,11.88,11.88,0.0,0.0
2018-06-17,11.89,11.89,11.89,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.88,11.88,11.88,0.0,0.0
2018-06-24,11.88,11.88,11.88,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2018-07-01,12.01,12.01,12.01,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.03,12.03,12.03,0.0,0.0
2018-07-08,12.0,12.0,12.0,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-07-15,11.97,11.97,11.97,0.0,0.0,11.99,11.99,11.99,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.98,11.98,11.98,0.0,0.0
