Date,Fidelity Total BondEtf_Open_average,Fidelity Total BondEtf_Open_max,Fidelity Total BondEtf_Open_min,Fidelity Total BondEtf_Open_volatility,Fidelity Total BondEtf_Open_change,Fidelity Total BondEtf_High_average,Fidelity Total BondEtf_High_max,Fidelity Total BondEtf_High_min,Fidelity Total BondEtf_High_volatility,Fidelity Total BondEtf_High_change,Fidelity Total BondEtf_Low_average,Fidelity Total BondEtf_Low_max,Fidelity Total BondEtf_Low_min,Fidelity Total BondEtf_Low_volatility,Fidelity Total BondEtf_Low_change,Fidelity Total BondEtf_Close_average,Fidelity Total BondEtf_Close_max,Fidelity Total BondEtf_Close_min,Fidelity Total BondEtf_Close_volatility,Fidelity Total BondEtf_Close_change
2018-01-14,49.9,49.9,49.9,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-01-21,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-01-28,49.47,49.47,49.47,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-02-04,49.01,49.01,49.01,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-02-11,49.14,49.14,49.14,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-02-18,49.04,49.04,49.04,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-02-25,49.1,49.1,49.1,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-03-04,49.08,49.08,49.08,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-03-11,49.07,49.07,49.07,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-03-18,49.05,49.05,49.05,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.18,49.18,49.18,0.0,0.0
