Date,iShares US Consumer GoodsEtf_Open_average,iShares US Consumer GoodsEtf_Open_max,iShares US Consumer GoodsEtf_Open_min,iShares US Consumer GoodsEtf_Open_volatility,iShares US Consumer GoodsEtf_Open_change,iShares US Consumer GoodsEtf_High_average,iShares US Consumer GoodsEtf_High_max,iShares US Consumer GoodsEtf_High_min,iShares US Consumer GoodsEtf_High_volatility,iShares US Consumer GoodsEtf_High_change,iShares US Consumer GoodsEtf_Low_average,iShares US Consumer GoodsEtf_Low_max,iShares US Consumer GoodsEtf_Low_min,iShares US Consumer GoodsEtf_Low_volatility,iShares US Consumer GoodsEtf_Low_change,iShares US Consumer GoodsEtf_Close_average,iShares US Consumer GoodsEtf_Close_max,iShares US Consumer GoodsEtf_Close_min,iShares US Consumer GoodsEtf_Close_volatility,iShares US Consumer GoodsEtf_Close_change
2018-01-14,128.78,128.78,128.78,0.0,0.0,130.06,130.06,130.06,0.0,0.0,128.78,128.78,128.78,0.0,0.0,130.06,130.06,130.06,0.0,0.0
2018-01-21,129.62,129.62,129.62,0.0,0.0,130.36,130.36,130.36,0.0,0.0,129.62,129.62,129.62,0.0,0.0,130.34,130.34,130.34,0.0,0.0
2018-01-28,128.31,128.31,128.31,0.0,0.0,128.31,128.31,128.31,0.0,0.0,126.0,126.0,126.0,0.0,0.0,126.0,126.0,126.0,0.0,0.0
2018-02-04,120.87,120.87,120.87,0.0,0.0,121.36,121.36,121.36,0.0,0.0,117.94,117.94,117.94,0.0,0.0,120.61,120.61,120.61,0.0,0.0
2018-02-11,124.19,124.19,124.19,0.0,0.0,124.98,124.98,124.98,0.0,0.0,123.6,123.6,123.6,0.0,0.0,124.31,124.31,124.31,0.0,0.0
2018-02-18,122.17,122.17,122.17,0.0,0.0,123.14,123.14,123.14,0.0,0.0,122.17,122.17,122.17,0.0,0.0,123.14,123.14,123.14,0.0,0.0
2018-02-25,119.28,119.28,119.28,0.0,0.0,121.3,121.3,121.3,0.0,0.0,119.28,119.28,119.28,0.0,0.0,121.19,121.19,121.19,0.0,0.0
2018-03-04,123.09,123.09,123.09,0.0,0.0,123.82,123.82,123.82,0.0,0.0,123.09,123.09,123.09,0.0,0.0,123.82,123.82,123.82,0.0,0.0
2018-03-11,122.0,122.0,122.0,0.0,0.0,122.27,122.27,122.27,0.0,0.0,121.81,121.81,121.81,0.0,0.0,121.81,121.81,121.81,0.0,0.0
2018-03-18,117.41,117.41,117.41,0.0,0.0,117.87,117.87,117.87,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2018-03-25,118.22,118.22,118.22,0.0,0.0,119.27,119.27,119.27,0.0,0.0,118.22,118.22,118.22,0.0,0.0,118.91,118.91,118.91,0.0,0.0
2018-04-01,120.38,120.38,120.38,0.0,0.0,121.01,121.01,121.01,0.0,0.0,118.62,118.62,118.62,0.0,0.0,119.33,119.33,119.33,0.0,0.0
2018-04-08,120.17,120.17,120.17,0.0,0.0,120.17,120.17,120.17,0.0,0.0,119.59,119.59,119.59,0.0,0.0,119.88,119.88,119.88,0.0,0.0
2018-04-15,116.47,116.47,116.47,0.0,0.0,116.47,116.47,116.47,0.0,0.0,114.56,114.56,114.56,0.0,0.0,114.71,114.71,114.71,0.0,0.0
2018-04-22,114.54,114.54,114.54,0.0,0.0,115.45,115.45,115.45,0.0,0.0,114.54,114.54,114.54,0.0,0.0,115.11,115.11,115.11,0.0,0.0
