Date,United States 12 Month OilEtf_Open_average,United States 12 Month OilEtf_Open_max,United States 12 Month OilEtf_Open_min,United States 12 Month OilEtf_Open_volatility,United States 12 Month OilEtf_Open_change,United States 12 Month OilEtf_High_average,United States 12 Month OilEtf_High_max,United States 12 Month OilEtf_High_min,United States 12 Month OilEtf_High_volatility,United States 12 Month OilEtf_High_change,United States 12 Month OilEtf_Low_average,United States 12 Month OilEtf_Low_max,United States 12 Month OilEtf_Low_min,United States 12 Month OilEtf_Low_volatility,United States 12 Month OilEtf_Low_change,United States 12 Month OilEtf_Close_average,United States 12 Month OilEtf_Close_max,United States 12 Month OilEtf_Close_min,United States 12 Month OilEtf_Close_volatility,United States 12 Month OilEtf_Close_change
2018-01-14,21.96,21.96,21.96,0.0,0.0,22.02,22.02,22.02,0.0,0.0,21.89,21.89,21.89,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2018-01-21,22.56,22.56,22.56,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.69,22.69,22.69,0.0,0.0
2018-01-28,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2018-02-04,20.81,20.81,20.81,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2018-02-11,20.98,20.98,20.98,0.0,0.0,21.2,21.2,21.2,0.0,0.0,20.94,20.94,20.94,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2018-02-18,21.56,21.56,21.56,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.99,21.99,21.99,0.0,0.0
2018-02-25,20.94,20.94,20.94,0.0,0.0,21.25,21.25,21.25,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2018-03-04,21.31,21.31,21.31,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.57,21.57,21.57,0.0,0.0
2018-03-11,21.45,21.45,21.45,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2018-03-18,22.59,22.59,22.59,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2018-03-25,22.48,22.48,22.48,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.44,22.44,22.44,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2018-04-01,22.32,22.32,22.32,0.0,0.0,22.4,22.4,22.4,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2018-04-08,23.18,23.18,23.18,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2018-04-15,23.53,23.53,23.53,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-04-22,23.76,23.76,23.76,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-04-29,23.91,23.91,23.91,0.0,0.0,24.45,24.45,24.45,0.0,0.0,23.91,23.91,23.91,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2018-05-06,25.11,25.11,25.11,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-05-13,25.22,25.22,25.22,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-05-20,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-05-27,23.72,23.72,23.72,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2018-06-03,23.69,23.69,23.69,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2018-06-10,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2018-06-17,23.84,23.84,23.84,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.73,23.73,23.73,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-06-24,25.25,25.25,25.25,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.32,25.32,25.32,0.0,0.0
