Date,Fidelity MSCI MaterialsEtf_Open_average,Fidelity MSCI MaterialsEtf_Open_max,Fidelity MSCI MaterialsEtf_Open_min,Fidelity MSCI MaterialsEtf_Open_volatility,Fidelity MSCI MaterialsEtf_Open_change,Fidelity MSCI MaterialsEtf_High_average,Fidelity MSCI MaterialsEtf_High_max,Fidelity MSCI MaterialsEtf_High_min,Fidelity MSCI MaterialsEtf_High_volatility,Fidelity MSCI MaterialsEtf_High_change,Fidelity MSCI MaterialsEtf_Low_average,Fidelity MSCI MaterialsEtf_Low_max,Fidelity MSCI MaterialsEtf_Low_min,Fidelity MSCI MaterialsEtf_Low_volatility,Fidelity MSCI MaterialsEtf_Low_change,Fidelity MSCI MaterialsEtf_Close_average,Fidelity MSCI MaterialsEtf_Close_max,Fidelity MSCI MaterialsEtf_Close_min,Fidelity MSCI MaterialsEtf_Close_volatility,Fidelity MSCI MaterialsEtf_Close_change
2018-01-14,36.47,36.47,36.47,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-01-21,36.99,36.99,36.99,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.75,36.75,36.75,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-01-28,35.66,35.66,35.66,0.0,0.0,35.73,35.73,35.73,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-02-04,33.46,33.46,33.46,0.0,0.0,33.81,33.81,33.81,0.0,0.0,32.62,32.62,32.62,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-02-11,34.97,34.97,34.97,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-02-18,35.1,35.1,35.1,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-02-25,34.04,34.04,34.04,0.0,0.0,34.27,34.27,34.27,0.0,0.0,33.81,33.81,33.81,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-03-04,35.04,35.04,35.04,0.0,0.0,35.47,35.47,35.47,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2018-03-11,34.24,34.24,34.24,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-03-18,33.08,33.08,33.08,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2018-03-25,32.45,32.45,32.45,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.96,32.96,32.96,0.0,0.0
