Date,iShares Morningstar Small-CapEtf_Open_average,iShares Morningstar Small-CapEtf_Open_max,iShares Morningstar Small-CapEtf_Open_min,iShares Morningstar Small-CapEtf_Open_volatility,iShares Morningstar Small-CapEtf_Open_change,iShares Morningstar Small-CapEtf_High_average,iShares Morningstar Small-CapEtf_High_max,iShares Morningstar Small-CapEtf_High_min,iShares Morningstar Small-CapEtf_High_volatility,iShares Morningstar Small-CapEtf_High_change,iShares Morningstar Small-CapEtf_Low_average,iShares Morningstar Small-CapEtf_Low_max,iShares Morningstar Small-CapEtf_Low_min,iShares Morningstar Small-CapEtf_Low_volatility,iShares Morningstar Small-CapEtf_Low_change,iShares Morningstar Small-CapEtf_Close_average,iShares Morningstar Small-CapEtf_Close_max,iShares Morningstar Small-CapEtf_Close_min,iShares Morningstar Small-CapEtf_Close_volatility,iShares Morningstar Small-CapEtf_Close_change
2018-01-14,178.04,178.04,178.04,0.0,0.0,179.52,179.52,179.52,0.0,0.0,178.04,178.04,178.04,0.0,0.0,179.42,179.42,179.42,0.0,0.0
2018-01-21,180.35,180.35,180.35,0.0,0.0,181.18,181.18,181.18,0.0,0.0,180.14,180.14,180.14,0.0,0.0,181.18,181.18,181.18,0.0,0.0
2018-01-28,176.23,176.23,176.23,0.0,0.0,176.36,176.36,176.36,0.0,0.0,174.96,174.96,174.96,0.0,0.0,175.01,175.01,175.01,0.0,0.0
2018-02-04,166.21,166.21,166.21,0.0,0.0,167.1,167.1,167.1,0.0,0.0,163.07,163.07,163.07,0.0,0.0,165.9,165.9,165.9,0.0,0.0
2018-02-11,171.44,171.44,171.44,0.0,0.0,173.66,173.66,173.66,0.0,0.0,171.44,171.44,171.44,0.0,0.0,173.05,173.05,173.05,0.0,0.0
2018-02-18,171.64,171.64,171.64,0.0,0.0,171.83,171.83,171.83,0.0,0.0,171.59,171.59,171.59,0.0,0.0,171.83,171.83,171.83,0.0,0.0
2018-02-25,166.32,166.32,166.32,0.0,0.0,170.43,170.43,170.43,0.0,0.0,166.32,166.32,166.32,0.0,0.0,170.43,170.43,170.43,0.0,0.0
2018-03-04,174.82,174.82,174.82,0.0,0.0,176.67,176.67,176.67,0.0,0.0,174.82,174.82,174.82,0.0,0.0,176.66,176.66,176.66,0.0,0.0
2018-03-11,175.27,175.27,175.27,0.0,0.0,175.27,175.27,175.27,0.0,0.0,174.97,174.97,174.97,0.0,0.0,175.15,175.15,175.15,0.0,0.0
2018-03-18,169.85,169.85,169.85,0.0,0.0,169.85,169.85,169.85,0.0,0.0,167.37,167.37,167.37,0.0,0.0,168.04,168.04,168.04,0.0,0.0
2018-03-25,168.01,168.01,168.01,0.0,0.0,168.93,168.93,168.93,0.0,0.0,168.01,168.01,168.01,0.0,0.0,168.79,168.79,168.79,0.0,0.0
2018-04-01,168.68,168.68,168.68,0.0,0.0,170.08,170.08,170.08,0.0,0.0,166.77,166.77,166.77,0.0,0.0,166.77,166.77,166.77,0.0,0.0
2018-04-08,171.16,171.16,171.16,0.0,0.0,171.52,171.52,171.52,0.0,0.0,170.29,170.29,170.29,0.0,0.0,170.29,170.29,170.29,0.0,0.0
2018-04-15,171.77,171.77,171.77,0.0,0.0,172.68,172.68,172.68,0.0,0.0,171.56,171.56,171.56,0.0,0.0,171.56,171.56,171.56,0.0,0.0
2018-04-22,172.2,172.2,172.2,0.0,0.0,172.23,172.23,172.23,0.0,0.0,171.08,171.08,171.08,0.0,0.0,171.93,171.93,171.93,0.0,0.0
2018-04-29,170.07,170.07,170.07,0.0,0.0,170.64,170.64,170.64,0.0,0.0,170.07,170.07,170.07,0.0,0.0,170.64,170.64,170.64,0.0,0.0
2018-05-06,176.94,176.94,176.94,0.0,0.0,176.94,176.94,176.94,0.0,0.0,176.94,176.94,176.94,0.0,0.0,176.94,176.94,176.94,0.0,0.0
2018-05-13,178.42,178.42,178.42,0.0,0.0,178.52,178.52,178.52,0.0,0.0,178.22,178.22,178.22,0.0,0.0,178.4,178.4,178.4,0.0,0.0
2018-05-20,178.1,178.1,178.1,0.0,0.0,178.43,178.43,178.43,0.0,0.0,177.91,177.91,177.91,0.0,0.0,178.16,178.16,178.16,0.0,0.0
2018-05-27,180.07,180.07,180.07,0.0,0.0,180.07,180.07,180.07,0.0,0.0,179.48,179.48,179.48,0.0,0.0,179.6,179.6,179.6,0.0,0.0
2018-06-03,182.89,182.89,182.89,0.0,0.0,183.39,183.39,183.39,0.0,0.0,182.79,182.79,182.79,0.0,0.0,183.17,183.17,183.17,0.0,0.0
2018-06-10,182.33,182.33,182.33,0.0,0.0,182.69,182.69,182.69,0.0,0.0,182.33,182.33,182.33,0.0,0.0,182.69,182.69,182.69,0.0,0.0
2018-06-17,182.58,182.58,182.58,0.0,0.0,183.82,183.82,183.82,0.0,0.0,182.58,182.58,182.58,0.0,0.0,183.21,183.21,183.21,0.0,0.0
2018-06-24,179.31,179.31,179.31,0.0,0.0,179.81,179.81,179.81,0.0,0.0,178.75,178.75,178.75,0.0,0.0,178.75,178.75,178.75,0.0,0.0
2018-07-01,183.07,183.07,183.07,0.0,0.0,183.4,183.4,183.4,0.0,0.0,182.71,182.71,182.71,0.0,0.0,182.71,182.71,182.71,0.0,0.0
2018-07-08,182.8,182.8,182.8,0.0,0.0,183.72,183.72,183.72,0.0,0.0,182.62,182.62,182.62,0.0,0.0,182.74,182.74,182.74,0.0,0.0
