Date,MSTRStock_Open_average,MSTRStock_Open_max,MSTRStock_Open_min,MSTRStock_Open_volatility,MSTRStock_Open_change,MSTRStock_High_average,MSTRStock_High_max,MSTRStock_High_min,MSTRStock_High_volatility,MSTRStock_High_change,MSTRStock_Low_average,MSTRStock_Low_max,MSTRStock_Low_min,MSTRStock_Low_volatility,MSTRStock_Low_change,MSTRStock_Close_average,MSTRStock_Close_max,MSTRStock_Close_min,MSTRStock_Close_volatility,MSTRStock_Close_change,MSTRStock_Volume_average,MSTRStock_Volume_max,MSTRStock_Volume_min,MSTRStock_Volume_volatility,MSTRStock_Volume_change
2018-01-14,139.0325,139.96,138.58,1.3799999999999955,-1.3799999999999955,140.79250000000002,142.15,139.85,2.3000000000000114,-0.9699999999999989,137.96,138.03,137.88,0.15000000000000568,0.030000000000001137,139.435,140.98,138.31,2.6699999999999875,2.6699999999999875,64860,72516,51836,20680,9338
2018-01-21,139.18,140.65,137.77,2.8799999999999955,-2.8799999999999955,140.346,140.98,139.68,1.299999999999983,-1.299999999999983,136.656,138.54,132.0,6.539999999999992,-6.539999999999992,138.346,139.22,137.33,1.8899999999999864,-1.4300000000000068,114347,214468,35209,179259,157482
2018-01-28,137.588,138.53,136.82,1.710000000000008,1.289999999999992,139.282,139.85,138.82,1.0300000000000011,-0.17000000000001592,135.988,136.97,134.82,2.1500000000000057,0.4900000000000091,137.79399999999998,139.14,135.77,3.369999999999976,-2.1799999999999784,86813,103283,65294,37989,-34676
2018-02-04,132.686,135.0,129.47,5.530000000000001,-2.469999999999999,134.524,135.56,132.95,2.6100000000000136,-2.450000000000017,129.908,131.42,128.5,2.9199999999999875,-2.4899999999999807,132.052,133.52,130.62,2.9000000000000057,-0.9699999999999989,87274,120766,66804,53962,19315
2018-02-11,134.254,137.7,131.19,6.509999999999991,6.509999999999991,136.386,139.14,133.14,6.0,5.510000000000019,133.156,136.4,129.42,6.980000000000018,6.980000000000018,135.722,137.85,132.87,4.97999999999999,4.680000000000007,106359,171640,59109,112531,-103052
2018-02-18,137.61,138.26,137.24,1.0199999999999818,0.39999999999997726,138.7525,139.71,138.0,1.710000000000008,-0.4200000000000159,136.4275,136.69,136.05,0.6399999999999864,-0.06999999999999318,137.5275,137.99,136.77,1.2199999999999989,-0.010000000000019327,64871,102155,40438,61717,-11769
2018-02-25,132.512,138.19,122.97,15.219999999999999,-15.219999999999999,134.058,138.56,126.69,11.870000000000005,-11.849999999999994,128.772,136.82,122.16,14.659999999999997,-14.299999999999997,130.026,137.69,123.87,13.819999999999993,-12.259999999999991,148183,223505,61516,161989,129641
2018-03-04,132.374,135.34,124.84,10.5,10.5,135.262,136.93,134.15,2.780000000000001,2.280000000000001,130.71,133.66,124.84,8.819999999999993,8.819999999999993,134.214,136.27,133.2,3.0700000000000216,2.130000000000024,122221,203427,82321,121106,-95205
2018-03-11,134.994,136.7,132.8,3.8999999999999773,-3.780000000000001,135.6,136.7,133.07,3.6299999999999955,-3.5100000000000193,132.772,134.14,131.03,3.109999999999985,-2.569999999999993,133.934,136.07,131.76,4.310000000000002,-4.310000000000002,91992,123044,47538,75506,42979
2018-03-18,130.508,131.54,129.5,2.039999999999992,-2.039999999999992,131.95,132.73,130.77,1.9599999999999795,-0.7699999999999818,128.466,129.75,127.75,2.0,-0.46999999999999886,130.584,130.86,129.77,1.0900000000000034,-1.079999999999984,87216,143965,37515,106450,85063
