Date,Deutsche X-trackers MSCI All World ex US High DiviEtf_Open_average,Deutsche X-trackers MSCI All World ex US High DiviEtf_Open_max,Deutsche X-trackers MSCI All World ex US High DiviEtf_Open_min,Deutsche X-trackers MSCI All World ex US High DiviEtf_Open_volatility,Deutsche X-trackers MSCI All World ex US High DiviEtf_Open_change,Deutsche X-trackers MSCI All World ex US High DiviEtf_High_average,Deutsche X-trackers MSCI All World ex US High DiviEtf_High_max,Deutsche X-trackers MSCI All World ex US High DiviEtf_High_min,Deutsche X-trackers MSCI All World ex US High DiviEtf_High_volatility,Deutsche X-trackers MSCI All World ex US High DiviEtf_High_change,Deutsche X-trackers MSCI All World ex US High DiviEtf_Low_average,Deutsche X-trackers MSCI All World ex US High DiviEtf_Low_max,Deutsche X-trackers MSCI All World ex US High DiviEtf_Low_min,Deutsche X-trackers MSCI All World ex US High DiviEtf_Low_volatility,Deutsche X-trackers MSCI All World ex US High DiviEtf_Low_change,Deutsche X-trackers MSCI All World ex US High DiviEtf_Close_average,Deutsche X-trackers MSCI All World ex US High DiviEtf_Close_max,Deutsche X-trackers MSCI All World ex US High DiviEtf_Close_min,Deutsche X-trackers MSCI All World ex US High DiviEtf_Close_volatility,Deutsche X-trackers MSCI All World ex US High DiviEtf_Close_change
2018-01-14,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-01-21,27.36,27.36,27.36,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-01-28,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-02-04,25.44,25.44,25.44,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-02-11,26.68,26.68,26.68,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-02-18,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-02-25,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-03-04,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-03-11,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-03-18,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
