Date,iShares 3-7 Year Treasury BondEtf_Open_average,iShares 3-7 Year Treasury BondEtf_Open_max,iShares 3-7 Year Treasury BondEtf_Open_min,iShares 3-7 Year Treasury BondEtf_Open_volatility,iShares 3-7 Year Treasury BondEtf_Open_change,iShares 3-7 Year Treasury BondEtf_High_average,iShares 3-7 Year Treasury BondEtf_High_max,iShares 3-7 Year Treasury BondEtf_High_min,iShares 3-7 Year Treasury BondEtf_High_volatility,iShares 3-7 Year Treasury BondEtf_High_change,iShares 3-7 Year Treasury BondEtf_Low_average,iShares 3-7 Year Treasury BondEtf_Low_max,iShares 3-7 Year Treasury BondEtf_Low_min,iShares 3-7 Year Treasury BondEtf_Low_volatility,iShares 3-7 Year Treasury BondEtf_Low_change,iShares 3-7 Year Treasury BondEtf_Close_average,iShares 3-7 Year Treasury BondEtf_Close_max,iShares 3-7 Year Treasury BondEtf_Close_min,iShares 3-7 Year Treasury BondEtf_Close_volatility,iShares 3-7 Year Treasury BondEtf_Close_change
2018-01-14,121.2,121.2,121.2,0.0,0.0,121.2,121.2,121.2,0.0,0.0,121.02,121.02,121.02,0.0,0.0,121.06,121.06,121.06,0.0,0.0
2018-01-21,121.1,121.1,121.1,0.0,0.0,121.1,121.1,121.1,0.0,0.0,120.92,120.92,120.92,0.0,0.0,120.98,120.98,120.98,0.0,0.0
2018-01-28,120.11,120.11,120.11,0.0,0.0,120.22,120.22,120.22,0.0,0.0,119.98,119.98,119.98,0.0,0.0,120.14,120.14,120.14,0.0,0.0
2018-02-04,120.25,120.25,120.25,0.0,0.0,120.81,120.81,120.81,0.0,0.0,120.22,120.22,120.22,0.0,0.0,120.4,120.4,120.4,0.0,0.0
2018-02-11,120.07,120.07,120.07,0.0,0.0,120.12,120.12,120.12,0.0,0.0,120.02,120.02,120.02,0.0,0.0,120.06,120.06,120.06,0.0,0.0
2018-02-18,120.08,120.08,120.08,0.0,0.0,120.22,120.22,120.22,0.0,0.0,120.02,120.02,120.02,0.0,0.0,120.14,120.14,120.14,0.0,0.0
2018-02-25,120.17,120.17,120.17,0.0,0.0,120.19,120.19,120.19,0.0,0.0,119.98,119.98,119.98,0.0,0.0,120.02,120.02,120.02,0.0,0.0
2018-03-04,119.9,119.9,119.9,0.0,0.0,120.0,120.0,120.0,0.0,0.0,119.85,119.85,119.85,0.0,0.0,119.96,119.96,119.96,0.0,0.0
2018-03-11,120.18,120.18,120.18,0.0,0.0,120.18,120.18,120.18,0.0,0.0,120.06,120.06,120.06,0.0,0.0,120.13,120.13,120.13,0.0,0.0
2018-03-18,120.21,120.21,120.21,0.0,0.0,120.41,120.41,120.41,0.0,0.0,120.21,120.21,120.21,0.0,0.0,120.37,120.37,120.37,0.0,0.0
2018-03-25,120.5,120.5,120.5,0.0,0.0,120.69,120.69,120.69,0.0,0.0,120.44,120.44,120.44,0.0,0.0,120.62,120.62,120.62,0.0,0.0
2018-04-01,120.33,120.33,120.33,0.0,0.0,120.46,120.46,120.46,0.0,0.0,120.27,120.27,120.27,0.0,0.0,120.43,120.43,120.43,0.0,0.0
2018-04-08,119.95,119.95,119.95,0.0,0.0,120.11,120.11,120.11,0.0,0.0,119.95,119.95,119.95,0.0,0.0,120.04,120.04,120.04,0.0,0.0
2018-04-15,119.56,119.56,119.56,0.0,0.0,119.58,119.58,119.58,0.0,0.0,119.4,119.4,119.4,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2018-04-22,119.4,119.4,119.4,0.0,0.0,119.5,119.5,119.5,0.0,0.0,119.38,119.38,119.38,0.0,0.0,119.46,119.46,119.46,0.0,0.0
2018-04-29,119.53,119.53,119.53,0.0,0.0,119.54,119.54,119.54,0.0,0.0,119.36,119.36,119.36,0.0,0.0,119.44,119.44,119.44,0.0,0.0
2018-05-06,119.27,119.27,119.27,0.0,0.0,119.28,119.28,119.28,0.0,0.0,119.2,119.2,119.2,0.0,0.0,119.23,119.23,119.23,0.0,0.0
2018-05-13,118.87,118.87,118.87,0.0,0.0,119.01,119.01,119.01,0.0,0.0,118.86,118.86,118.86,0.0,0.0,118.96,118.96,118.96,0.0,0.0
2018-05-20,119.67,119.67,119.67,0.0,0.0,119.78,119.78,119.78,0.0,0.0,119.67,119.67,119.67,0.0,0.0,119.78,119.78,119.78,0.0,0.0
2018-05-27,119.63,119.63,119.63,0.0,0.0,119.76,119.76,119.76,0.0,0.0,119.58,119.58,119.58,0.0,0.0,119.68,119.68,119.68,0.0,0.0
2018-06-03,119.55,119.55,119.55,0.0,0.0,119.64,119.64,119.64,0.0,0.0,119.51,119.51,119.51,0.0,0.0,119.54,119.54,119.54,0.0,0.0
2018-06-10,119.6,119.6,119.6,0.0,0.0,119.66,119.66,119.66,0.0,0.0,119.47,119.47,119.47,0.0,0.0,119.48,119.48,119.48,0.0,0.0
2018-06-17,119.64,119.64,119.64,0.0,0.0,119.76,119.76,119.76,0.0,0.0,119.62,119.62,119.62,0.0,0.0,119.72,119.72,119.72,0.0,0.0
2018-06-24,120.0,120.0,120.0,0.0,0.0,120.07,120.07,120.07,0.0,0.0,119.97,119.97,119.97,0.0,0.0,120.0,120.0,120.0,0.0,0.0
2018-07-01,119.95,119.95,119.95,0.0,0.0,119.97,119.97,119.97,0.0,0.0,119.86,119.86,119.86,0.0,0.0,119.94,119.94,119.94,0.0,0.0
2018-07-08,119.86,119.86,119.86,0.0,0.0,119.96,119.96,119.96,0.0,0.0,119.85,119.85,119.85,0.0,0.0,119.95,119.95,119.95,0.0,0.0
2018-07-15,119.91,119.91,119.91,0.0,0.0,119.91,119.91,119.91,0.0,0.0,119.77,119.77,119.77,0.0,0.0,119.79,119.79,119.79,0.0,0.0
2018-07-22,119.5,119.5,119.5,0.0,0.0,119.5,119.5,119.5,0.0,0.0,119.39,119.39,119.39,0.0,0.0,119.45,119.45,119.45,0.0,0.0
2018-07-29,119.34,119.34,119.34,0.0,0.0,119.48,119.48,119.48,0.0,0.0,119.34,119.34,119.34,0.0,0.0,119.47,119.47,119.47,0.0,0.0
2018-08-05,119.77,119.77,119.77,0.0,0.0,120.02,120.02,120.02,0.0,0.0,119.77,119.77,119.77,0.0,0.0,119.88,119.88,119.88,0.0,0.0
