Date,Franklin FTSE FranceEtf_Open_average,Franklin FTSE FranceEtf_Open_max,Franklin FTSE FranceEtf_Open_min,Franklin FTSE FranceEtf_Open_volatility,Franklin FTSE FranceEtf_Open_change,Franklin FTSE FranceEtf_High_average,Franklin FTSE FranceEtf_High_max,Franklin FTSE FranceEtf_High_min,Franklin FTSE FranceEtf_High_volatility,Franklin FTSE FranceEtf_High_change,Franklin FTSE FranceEtf_Low_average,Franklin FTSE FranceEtf_Low_max,Franklin FTSE FranceEtf_Low_min,Franklin FTSE FranceEtf_Low_volatility,Franklin FTSE FranceEtf_Low_change,Franklin FTSE FranceEtf_Close_average,Franklin FTSE FranceEtf_Close_max,Franklin FTSE FranceEtf_Close_min,Franklin FTSE FranceEtf_Close_volatility,Franklin FTSE FranceEtf_Close_change
2018-01-14,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-01-21,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-01-28,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-02-04,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-02-11,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-02-18,25.88,25.88,25.88,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-02-25,25.27,25.27,25.27,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-03-04,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-03-11,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-03-18,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0
