Date,ALPS Sprott Gold MinersEtf_Open_average,ALPS Sprott Gold MinersEtf_Open_max,ALPS Sprott Gold MinersEtf_Open_min,ALPS Sprott Gold MinersEtf_Open_volatility,ALPS Sprott Gold MinersEtf_Open_change,ALPS Sprott Gold MinersEtf_High_average,ALPS Sprott Gold MinersEtf_High_max,ALPS Sprott Gold MinersEtf_High_min,ALPS Sprott Gold MinersEtf_High_volatility,ALPS Sprott Gold MinersEtf_High_change,ALPS Sprott Gold MinersEtf_Low_average,ALPS Sprott Gold MinersEtf_Low_max,ALPS Sprott Gold MinersEtf_Low_min,ALPS Sprott Gold MinersEtf_Low_volatility,ALPS Sprott Gold MinersEtf_Low_change,ALPS Sprott Gold MinersEtf_Close_average,ALPS Sprott Gold MinersEtf_Close_max,ALPS Sprott Gold MinersEtf_Close_min,ALPS Sprott Gold MinersEtf_Close_volatility,ALPS Sprott Gold MinersEtf_Close_change
2018-01-14,21.45,21.45,21.45,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2018-01-21,21.99,21.99,21.99,0.0,0.0,22.13,22.13,22.13,0.0,0.0,21.94,21.94,21.94,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-01-28,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2018-02-04,19.29,19.29,19.29,0.0,0.0,19.35,19.35,19.35,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2018-02-11,20.5,20.5,20.5,0.0,0.0,20.53,20.53,20.53,0.0,0.0,19.9,19.9,19.9,0.0,0.0,20.07,20.07,20.07,0.0,0.0
2018-02-18,19.11,19.11,19.11,0.0,0.0,19.29,19.29,19.29,0.0,0.0,18.97,18.97,18.97,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2018-02-25,19.01,19.01,19.01,0.0,0.0,19.13,19.13,19.13,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-03-04,18.84,18.84,18.84,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2018-03-11,18.8,18.8,18.8,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2018-03-18,19.48,19.48,19.48,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.64,19.64,19.64,0.0,0.0
