Date,KraneShares Zacks New ChinaEtf_Open_average,KraneShares Zacks New ChinaEtf_Open_max,KraneShares Zacks New ChinaEtf_Open_min,KraneShares Zacks New ChinaEtf_Open_volatility,KraneShares Zacks New ChinaEtf_Open_change,KraneShares Zacks New ChinaEtf_High_average,KraneShares Zacks New ChinaEtf_High_max,KraneShares Zacks New ChinaEtf_High_min,KraneShares Zacks New ChinaEtf_High_volatility,KraneShares Zacks New ChinaEtf_High_change,KraneShares Zacks New ChinaEtf_Low_average,KraneShares Zacks New ChinaEtf_Low_max,KraneShares Zacks New ChinaEtf_Low_min,KraneShares Zacks New ChinaEtf_Low_volatility,KraneShares Zacks New ChinaEtf_Low_change,KraneShares Zacks New ChinaEtf_Close_average,KraneShares Zacks New ChinaEtf_Close_max,KraneShares Zacks New ChinaEtf_Close_min,KraneShares Zacks New ChinaEtf_Close_volatility,KraneShares Zacks New ChinaEtf_Close_change
2018-01-14,36.03,36.03,36.03,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.65,35.65,35.65,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-01-21,36.01,36.01,36.01,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2018-01-28,36.13,36.13,36.13,0.0,0.0,36.29,36.29,36.29,0.0,0.0,34.29,34.29,34.29,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-02-04,30.78,30.78,30.78,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.07,30.07,30.07,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-02-11,33.75,33.75,33.75,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-02-18,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-02-25,33.31,33.31,33.31,0.0,0.0,33.55,33.55,33.55,0.0,0.0,32.66,32.66,32.66,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-03-04,33.97,33.97,33.97,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.97,33.97,33.97,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-03-11,34.69,34.69,34.69,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-03-18,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-03-25,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-04-01,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0
