Date,Kraneshares MSCI China EnvironmentEtf_Open_average,Kraneshares MSCI China EnvironmentEtf_Open_max,Kraneshares MSCI China EnvironmentEtf_Open_min,Kraneshares MSCI China EnvironmentEtf_Open_volatility,Kraneshares MSCI China EnvironmentEtf_Open_change,Kraneshares MSCI China EnvironmentEtf_High_average,Kraneshares MSCI China EnvironmentEtf_High_max,Kraneshares MSCI China EnvironmentEtf_High_min,Kraneshares MSCI China EnvironmentEtf_High_volatility,Kraneshares MSCI China EnvironmentEtf_High_change,Kraneshares MSCI China EnvironmentEtf_Low_average,Kraneshares MSCI China EnvironmentEtf_Low_max,Kraneshares MSCI China EnvironmentEtf_Low_min,Kraneshares MSCI China EnvironmentEtf_Low_volatility,Kraneshares MSCI China EnvironmentEtf_Low_change,Kraneshares MSCI China EnvironmentEtf_Close_average,Kraneshares MSCI China EnvironmentEtf_Close_max,Kraneshares MSCI China EnvironmentEtf_Close_min,Kraneshares MSCI China EnvironmentEtf_Close_volatility,Kraneshares MSCI China EnvironmentEtf_Close_change
2018-01-14,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-01-21,26.98,26.98,26.98,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-01-28,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-02-04,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-02-11,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-02-18,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-02-25,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2018-03-04,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-03-11,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-03-18,23.5,23.5,23.5,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
