Date,Global X GuruEtf_Open_average,Global X GuruEtf_Open_max,Global X GuruEtf_Open_min,Global X GuruEtf_Open_volatility,Global X GuruEtf_Open_change,Global X GuruEtf_High_average,Global X GuruEtf_High_max,Global X GuruEtf_High_min,Global X GuruEtf_High_volatility,Global X GuruEtf_High_change,Global X GuruEtf_Low_average,Global X GuruEtf_Low_max,Global X GuruEtf_Low_min,Global X GuruEtf_Low_volatility,Global X GuruEtf_Low_change,Global X GuruEtf_Close_average,Global X GuruEtf_Close_max,Global X GuruEtf_Close_min,Global X GuruEtf_Close_volatility,Global X GuruEtf_Close_change
2018-01-14,31.01,31.01,31.01,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-01-21,31.6,31.6,31.6,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-01-28,31.19,31.19,31.19,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-02-04,29.29,29.29,29.29,0.0,0.0,29.42,29.42,29.42,0.0,0.0,28.53,28.53,28.53,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-02-11,30.7,30.7,30.7,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-02-18,30.38,30.38,30.38,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-02-25,29.55,29.55,29.55,0.0,0.0,30.13,30.13,30.13,0.0,0.0,29.46,29.46,29.46,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-03-04,31.03,31.03,31.03,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-03-11,30.94,30.94,30.94,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-03-18,29.91,29.91,29.91,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-03-25,29.57,29.57,29.57,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.85,29.85,29.85,0.0,0.0
