Date,iShares US Financial ServicesEtf_Open_average,iShares US Financial ServicesEtf_Open_max,iShares US Financial ServicesEtf_Open_min,iShares US Financial ServicesEtf_Open_volatility,iShares US Financial ServicesEtf_Open_change,iShares US Financial ServicesEtf_High_average,iShares US Financial ServicesEtf_High_max,iShares US Financial ServicesEtf_High_min,iShares US Financial ServicesEtf_High_volatility,iShares US Financial ServicesEtf_High_change,iShares US Financial ServicesEtf_Low_average,iShares US Financial ServicesEtf_Low_max,iShares US Financial ServicesEtf_Low_min,iShares US Financial ServicesEtf_Low_volatility,iShares US Financial ServicesEtf_Low_change,iShares US Financial ServicesEtf_Close_average,iShares US Financial ServicesEtf_Close_max,iShares US Financial ServicesEtf_Close_min,iShares US Financial ServicesEtf_Close_volatility,iShares US Financial ServicesEtf_Close_change
2018-01-14,138.16,138.16,138.16,0.0,0.0,139.03,139.03,139.03,0.0,0.0,138.11,138.11,138.11,0.0,0.0,139.03,139.03,139.03,0.0,0.0
2018-01-21,140.67,140.67,140.67,0.0,0.0,141.49,141.49,141.49,0.0,0.0,140.11,140.11,140.11,0.0,0.0,141.49,141.49,141.49,0.0,0.0
2018-01-28,140.69,140.69,140.69,0.0,0.0,141.25,141.25,141.25,0.0,0.0,138.2,138.2,138.2,0.0,0.0,138.21,138.21,138.21,0.0,0.0
2018-02-04,130.12,130.12,130.12,0.0,0.0,131.84,131.84,131.84,0.0,0.0,126.46,126.46,126.46,0.0,0.0,131.0,131.0,131.0,0.0,0.0
2018-02-11,137.3,137.3,137.3,0.0,0.0,138.78,138.78,138.78,0.0,0.0,137.3,137.3,137.3,0.0,0.0,137.76,137.76,137.76,0.0,0.0
2018-02-18,136.91,136.91,136.91,0.0,0.0,138.39,138.39,138.39,0.0,0.0,136.73,136.73,136.73,0.0,0.0,138.38,138.38,138.38,0.0,0.0
2018-02-25,133.73,133.73,133.73,0.0,0.0,135.93,135.93,135.93,0.0,0.0,132.69,132.69,132.69,0.0,0.0,135.7,135.7,135.7,0.0,0.0
2018-03-04,139.29,139.29,139.29,0.0,0.0,141.28,141.28,141.28,0.0,0.0,138.96,138.96,138.96,0.0,0.0,141.25,141.25,141.25,0.0,0.0
2018-03-11,137.82,137.82,137.82,0.0,0.0,139.32,139.32,139.32,0.0,0.0,137.82,137.82,137.82,0.0,0.0,138.17,138.17,138.17,0.0,0.0
2018-03-18,131.51,131.51,131.51,0.0,0.0,132.3,132.3,132.3,0.0,0.0,127.39,127.39,127.39,0.0,0.0,127.49,127.49,127.49,0.0,0.0
2018-03-25,129.44,129.44,129.44,0.0,0.0,131.69,131.69,131.69,0.0,0.0,128.97,128.97,128.97,0.0,0.0,130.96,130.96,130.96,0.0,0.0
2018-04-01,130.84,130.84,130.84,0.0,0.0,131.45,131.45,131.45,0.0,0.0,127.67,127.67,127.67,0.0,0.0,128.88,128.88,128.88,0.0,0.0
2018-04-08,133.92,133.92,133.92,0.0,0.0,133.92,133.92,133.92,0.0,0.0,129.62,129.62,129.62,0.0,0.0,130.37,130.37,130.37,0.0,0.0
2018-04-15,132.71,132.71,132.71,0.0,0.0,133.12,133.12,133.12,0.0,0.0,131.86,131.86,131.86,0.0,0.0,132.42,132.42,132.42,0.0,0.0
2018-04-22,131.79,131.79,131.79,0.0,0.0,132.33,132.33,132.33,0.0,0.0,131.28,131.28,131.28,0.0,0.0,131.93,131.93,131.93,0.0,0.0
2018-04-29,129.01,129.01,129.01,0.0,0.0,131.93,131.93,131.93,0.0,0.0,128.72,128.72,128.72,0.0,0.0,131.15,131.15,131.15,0.0,0.0
2018-05-06,136.56,136.56,136.56,0.0,0.0,137.08,137.08,137.08,0.0,0.0,136.27,136.27,136.27,0.0,0.0,136.53,136.53,136.53,0.0,0.0
2018-05-13,136.25,136.25,136.25,0.0,0.0,136.25,136.25,136.25,0.0,0.0,134.99,134.99,134.99,0.0,0.0,135.02,135.02,135.02,0.0,0.0
2018-05-20,134.88,134.88,134.88,0.0,0.0,135.12,135.12,135.12,0.0,0.0,134.28,134.28,134.28,0.0,0.0,134.87,134.87,134.87,0.0,0.0
2018-05-27,133.33,133.33,133.33,0.0,0.0,134.02,134.02,134.02,0.0,0.0,133.12,133.12,133.12,0.0,0.0,133.49,133.49,133.49,0.0,0.0
2018-06-03,136.4,136.4,136.4,0.0,0.0,136.8,136.8,136.8,0.0,0.0,135.64,135.64,135.64,0.0,0.0,136.75,136.75,136.75,0.0,0.0
2018-06-10,133.86,133.86,133.86,0.0,0.0,134.79,134.79,134.79,0.0,0.0,132.75,132.75,132.75,0.0,0.0,134.3,134.3,134.3,0.0,0.0
2018-06-17,134.87,134.87,134.87,0.0,0.0,134.87,134.87,134.87,0.0,0.0,133.03,133.03,133.03,0.0,0.0,133.05,133.05,133.05,0.0,0.0
2018-06-24,131.23,131.23,131.23,0.0,0.0,132.04,132.04,132.04,0.0,0.0,129.57,129.57,129.57,0.0,0.0,129.62,129.62,129.62,0.0,0.0
2018-07-01,129.14,129.14,129.14,0.0,0.0,130.58,130.58,130.58,0.0,0.0,128.76,128.76,128.76,0.0,0.0,130.18,130.18,130.18,0.0,0.0
2018-07-08,132.13,132.13,132.13,0.0,0.0,132.28,132.28,132.28,0.0,0.0,130.36,130.36,130.36,0.0,0.0,131.65,131.65,131.65,0.0,0.0
2018-07-15,133.93,133.93,133.93,0.0,0.0,135.06,135.06,135.06,0.0,0.0,133.76,133.76,133.76,0.0,0.0,134.7,134.7,134.7,0.0,0.0
2018-07-22,136.85,136.85,136.85,0.0,0.0,137.37,137.37,137.37,0.0,0.0,135.8,135.8,135.8,0.0,0.0,136.66,136.66,136.66,0.0,0.0
2018-07-29,135.62,135.62,135.62,0.0,0.0,136.32,136.32,136.32,0.0,0.0,135.58,135.58,135.58,0.0,0.0,136.31,136.31,136.31,0.0,0.0
2018-08-05,134.09,134.09,134.09,0.0,0.0,135.89,135.89,135.89,0.0,0.0,134.09,134.09,134.09,0.0,0.0,135.43,135.43,135.43,0.0,0.0
2018-08-12,135.78,135.78,135.78,0.0,0.0,136.53,136.53,136.53,0.0,0.0,135.77,135.77,135.77,0.0,0.0,136.28,136.28,136.28,0.0,0.0
2018-08-19,137.03,137.03,137.03,0.0,0.0,137.38,137.38,137.38,0.0,0.0,136.91,136.91,136.91,0.0,0.0,137.09,137.09,137.09,0.0,0.0
2018-08-26,137.37,137.37,137.37,0.0,0.0,137.92,137.92,137.92,0.0,0.0,137.1,137.1,137.1,0.0,0.0,137.9,137.9,137.9,0.0,0.0
2018-09-02,137.15,137.15,137.15,0.0,0.0,137.15,137.15,137.15,0.0,0.0,136.4,136.4,136.4,0.0,0.0,136.72,136.72,136.72,0.0,0.0
2018-09-09,135.87,135.87,135.87,0.0,0.0,136.65,136.65,136.65,0.0,0.0,135.87,135.87,135.87,0.0,0.0,136.36,136.36,136.36,0.0,0.0
2018-09-16,140.0,140.0,140.0,0.0,0.0,140.0,140.0,140.0,0.0,0.0,138.81,138.81,138.81,0.0,0.0,138.89,138.89,138.89,0.0,0.0
2018-09-23,133.97,133.97,133.97,0.0,0.0,134.32,134.32,134.32,0.0,0.0,133.07,133.07,133.07,0.0,0.0,133.29,133.29,133.29,0.0,0.0
2018-09-30,135.42,135.42,135.42,0.0,0.0,135.61,135.61,135.61,0.0,0.0,133.55,133.55,133.55,0.0,0.0,134.04,134.04,134.04,0.0,0.0
2018-10-07,128.54,128.54,128.54,0.0,0.0,128.96,128.96,128.96,0.0,0.0,125.04,125.04,125.04,0.0,0.0,127.03,127.03,127.03,0.0,0.0
2018-10-14,126.92,126.92,126.92,0.0,0.0,128.46,128.46,128.46,0.0,0.0,126.62,126.62,126.62,0.0,0.0,127.3,127.3,127.3,0.0,0.0
2018-10-21,121.5,121.5,121.5,0.0,0.0,122.62,122.62,122.62,0.0,0.0,120.13,120.13,120.13,0.0,0.0,121.3,121.3,121.3,0.0,0.0
2018-10-28,127.58,127.58,127.58,0.0,0.0,128.26,128.26,128.26,0.0,0.0,125.58,125.58,125.58,0.0,0.0,126.5,126.5,126.5,0.0,0.0
2018-11-04,129.78,129.78,129.78,0.0,0.0,129.81,129.81,129.81,0.0,0.0,128.17,128.17,128.17,0.0,0.0,128.98,128.98,128.98,0.0,0.0
2018-11-11,126.7,126.7,126.7,0.0,0.0,127.81,127.81,127.81,0.0,0.0,126.11,126.11,126.11,0.0,0.0,127.21,127.21,127.21,0.0,0.0
2018-11-18,123.27,123.27,123.27,0.0,0.0,123.86,123.86,123.86,0.0,0.0,122.84,122.84,122.84,0.0,0.0,123.1,123.1,123.1,0.0,0.0
2018-11-25,126.86,126.86,126.86,0.0,0.0,128.81,128.81,128.81,0.0,0.0,126.86,126.86,126.86,0.0,0.0,128.55,128.55,128.55,0.0,0.0
2018-12-02,122.2,122.2,122.2,0.0,0.0,123.66,123.66,123.66,0.0,0.0,119.33,119.33,119.33,0.0,0.0,119.99,119.99,119.99,0.0,0.0
2018-12-09,115.55,115.55,115.55,0.0,0.0,117.25,117.25,117.25,0.0,0.0,115.2,115.2,115.2,0.0,0.0,115.55,115.55,115.55,0.0,0.0
2018-12-16,109.96,109.96,109.96,0.0,0.0,111.67,111.67,111.67,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.23,107.23,107.23,0.0,0.0
2018-12-23,111.86,111.86,111.86,0.0,0.0,112.71,112.71,112.71,0.0,0.0,110.82,110.82,110.82,0.0,0.0,111.31,111.31,111.31,0.0,0.0
2018-12-30,113.4,113.4,113.4,0.0,0.0,116.05,116.05,116.05,0.0,0.0,113.4,113.4,113.4,0.0,0.0,115.69,115.69,115.69,0.0,0.0
2019-01-06,116.61,116.61,116.61,0.0,0.0,117.55,117.55,117.55,0.0,0.0,115.93,115.93,115.93,0.0,0.0,117.37,117.37,117.37,0.0,0.0
2019-01-13,123.34,123.34,123.34,0.0,0.0,124.55,124.55,124.55,0.0,0.0,122.55,122.55,122.55,0.0,0.0,124.41,124.41,124.41,0.0,0.0
2019-01-20,124.38,124.38,124.38,0.0,0.0,125.29,125.29,125.29,0.0,0.0,124.24,124.24,124.24,0.0,0.0,124.66,124.66,124.66,0.0,0.0
2019-01-27,124.0,124.0,124.0,0.0,0.0,125.13,125.13,125.13,0.0,0.0,124.0,124.0,124.0,0.0,0.0,124.52,124.52,124.52,0.0,0.0
2019-02-03,123.56,123.56,123.56,0.0,0.0,123.93,123.93,123.93,0.0,0.0,122.08,122.08,122.08,0.0,0.0,123.6,123.6,123.6,0.0,0.0
2019-02-10,126.03,126.03,126.03,0.0,0.0,127.54,127.54,127.54,0.0,0.0,126.03,126.03,126.03,0.0,0.0,127.49,127.49,127.49,0.0,0.0
2019-02-17,127.84,127.84,127.84,0.0,0.0,128.12,128.12,128.12,0.0,0.0,127.56,127.56,127.56,0.0,0.0,127.96,127.96,127.96,0.0,0.0
2019-02-24,129.58,129.58,129.58,0.0,0.0,130.48,130.48,130.48,0.0,0.0,128.93,128.93,128.93,0.0,0.0,129.35,129.35,129.35,0.0,0.0
2019-03-03,124.23,124.23,124.23,0.0,0.0,125.8,125.8,125.8,0.0,0.0,124.03,124.03,124.03,0.0,0.0,125.73,125.73,125.73,0.0,0.0
2019-03-10,128.98,128.98,128.98,0.0,0.0,130.22,130.22,130.22,0.0,0.0,128.98,128.98,128.98,0.0,0.0,129.81,129.81,129.81,0.0,0.0
2019-03-17,125.01,125.01,125.01,0.0,0.0,125.28,125.28,125.28,0.0,0.0,121.93,121.93,121.93,0.0,0.0,122.36,122.36,122.36,0.0,0.0
2019-03-24,125.42,125.42,125.42,0.0,0.0,125.5,125.5,125.5,0.0,0.0,124.31,124.31,124.31,0.0,0.0,124.81,124.81,124.81,0.0,0.0
2019-03-31,129.59,129.59,129.59,0.0,0.0,129.82,129.82,129.82,0.0,0.0,128.97,128.97,128.97,0.0,0.0,129.21,129.21,129.21,0.0,0.0
2019-04-07,130.97,130.97,130.97,0.0,0.0,132.22,132.22,132.22,0.0,0.0,130.49,130.49,130.49,0.0,0.0,131.72,131.72,131.72,0.0,0.0
2019-04-14,133.18,133.18,133.18,0.0,0.0,133.18,133.18,133.18,0.0,0.0,132.35,132.35,132.35,0.0,0.0,132.73,132.73,132.73,0.0,0.0
2019-04-21,133.52,133.52,133.52,0.0,0.0,134.67,134.67,134.67,0.0,0.0,133.31,133.31,133.31,0.0,0.0,134.62,134.62,134.62,0.0,0.0
