Date,Vanguard Mid-Cap ValueEtf_Open_average,Vanguard Mid-Cap ValueEtf_Open_max,Vanguard Mid-Cap ValueEtf_Open_min,Vanguard Mid-Cap ValueEtf_Open_volatility,Vanguard Mid-Cap ValueEtf_Open_change,Vanguard Mid-Cap ValueEtf_High_average,Vanguard Mid-Cap ValueEtf_High_max,Vanguard Mid-Cap ValueEtf_High_min,Vanguard Mid-Cap ValueEtf_High_volatility,Vanguard Mid-Cap ValueEtf_High_change,Vanguard Mid-Cap ValueEtf_Low_average,Vanguard Mid-Cap ValueEtf_Low_max,Vanguard Mid-Cap ValueEtf_Low_min,Vanguard Mid-Cap ValueEtf_Low_volatility,Vanguard Mid-Cap ValueEtf_Low_change,Vanguard Mid-Cap ValueEtf_Close_average,Vanguard Mid-Cap ValueEtf_Close_max,Vanguard Mid-Cap ValueEtf_Close_min,Vanguard Mid-Cap ValueEtf_Close_volatility,Vanguard Mid-Cap ValueEtf_Close_change
2018-01-14,115.42,115.42,115.42,0.0,0.0,116.13,116.13,116.13,0.0,0.0,115.3,115.3,115.3,0.0,0.0,116.11,116.11,116.11,0.0,0.0
2018-01-21,117.34,117.34,117.34,0.0,0.0,117.82,117.82,117.82,0.0,0.0,117.09,117.09,117.09,0.0,0.0,117.78,117.78,117.78,0.0,0.0
2018-01-28,114.71,114.71,114.71,0.0,0.0,114.77,114.77,114.77,0.0,0.0,112.98,112.98,112.98,0.0,0.0,113.04,113.04,113.04,0.0,0.0
2018-02-04,107.8,107.8,107.8,0.0,0.0,108.74,108.74,108.74,0.0,0.0,104.8,104.8,104.8,0.0,0.0,108.01,108.01,108.01,0.0,0.0
2018-02-11,112.02,112.02,112.02,0.0,0.0,113.11,113.11,113.11,0.0,0.0,111.97,111.97,111.97,0.0,0.0,112.37,112.37,112.37,0.0,0.0
2018-02-18,111.45,111.45,111.45,0.0,0.0,112.58,112.58,112.58,0.0,0.0,111.19,111.19,111.19,0.0,0.0,112.58,112.58,112.58,0.0,0.0
2018-02-25,108.72,108.72,108.72,0.0,0.0,110.31,110.31,110.31,0.0,0.0,108.3,108.3,108.3,0.0,0.0,110.14,110.14,110.14,0.0,0.0
2018-03-04,113.0,113.0,113.0,0.0,0.0,113.96,113.96,113.96,0.0,0.0,112.65,112.65,112.65,0.0,0.0,113.92,113.92,113.92,0.0,0.0
2018-03-11,112.28,112.28,112.28,0.0,0.0,113.14,113.14,113.14,0.0,0.0,112.28,112.28,112.28,0.0,0.0,112.81,112.81,112.81,0.0,0.0
2018-03-18,109.01,109.01,109.01,0.0,0.0,109.63,109.63,109.63,0.0,0.0,106.82,106.82,106.82,0.0,0.0,106.9,106.9,106.9,0.0,0.0
2018-03-25,108.53,108.53,108.53,0.0,0.0,109.88,109.88,109.88,0.0,0.0,108.53,108.53,108.53,0.0,0.0,109.39,109.39,109.39,0.0,0.0
2018-04-01,109.76,109.76,109.76,0.0,0.0,110.31,110.31,110.31,0.0,0.0,107.56,107.56,107.56,0.0,0.0,108.37,108.37,108.37,0.0,0.0
2018-04-08,110.73,110.73,110.73,0.0,0.0,110.76,110.76,110.76,0.0,0.0,109.47,109.47,109.47,0.0,0.0,109.83,109.83,109.83,0.0,0.0
2018-04-15,111.35,111.35,111.35,0.0,0.0,111.49,111.49,111.49,0.0,0.0,110.2,110.2,110.2,0.0,0.0,110.59,110.59,110.59,0.0,0.0
2018-04-22,110.76,110.76,110.76,0.0,0.0,111.09,111.09,111.09,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-04-29,107.94,107.94,107.94,0.0,0.0,109.97,109.97,109.97,0.0,0.0,107.73,107.73,107.73,0.0,0.0,109.63,109.63,109.63,0.0,0.0
2018-05-06,110.96,110.96,110.96,0.0,0.0,111.21,111.21,111.21,0.0,0.0,110.64,110.64,110.64,0.0,0.0,110.73,110.73,110.73,0.0,0.0
2018-05-13,111.34,111.34,111.34,0.0,0.0,111.42,111.42,111.42,0.0,0.0,110.96,110.96,110.96,0.0,0.0,111.05,111.05,111.05,0.0,0.0
2018-05-20,111.07,111.07,111.07,0.0,0.0,111.28,111.28,111.28,0.0,0.0,110.84,110.84,110.84,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2018-05-27,110.63,110.63,110.63,0.0,0.0,110.96,110.96,110.96,0.0,0.0,110.53,110.53,110.53,0.0,0.0,110.7,110.7,110.7,0.0,0.0
2018-06-03,111.9,111.9,111.9,0.0,0.0,112.58,112.58,112.58,0.0,0.0,111.75,111.75,111.75,0.0,0.0,112.58,112.58,112.58,0.0,0.0
2018-06-10,112.17,112.17,112.17,0.0,0.0,112.54,112.54,112.54,0.0,0.0,111.65,111.65,111.65,0.0,0.0,112.49,112.49,112.49,0.0,0.0
2018-06-17,112.26,112.26,112.26,0.0,0.0,112.35,112.35,112.35,0.0,0.0,111.72,111.72,111.72,0.0,0.0,111.75,111.75,111.75,0.0,0.0
2018-06-24,110.79,110.79,110.79,0.0,0.0,111.44,111.44,111.44,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.46,110.46,110.46,0.0,0.0
2018-07-01,111.17,111.17,111.17,0.0,0.0,112.25,112.25,112.25,0.0,0.0,110.98,110.98,110.98,0.0,0.0,112.03,112.03,112.03,0.0,0.0
2018-07-08,112.45,112.45,112.45,0.0,0.0,112.86,112.86,112.86,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.5,112.5,112.5,0.0,0.0
2018-07-15,112.97,112.97,112.97,0.0,0.0,112.97,112.97,112.97,0.0,0.0,112.54,112.54,112.54,0.0,0.0,112.59,112.59,112.59,0.0,0.0
2018-07-22,113.61,113.61,113.61,0.0,0.0,113.9,113.9,113.9,0.0,0.0,112.91,112.91,112.91,0.0,0.0,113.2,113.2,113.2,0.0,0.0
2018-07-29,113.25,113.25,113.25,0.0,0.0,113.82,113.82,113.82,0.0,0.0,113.02,113.02,113.02,0.0,0.0,113.82,113.82,113.82,0.0,0.0
2018-08-05,113.17,113.17,113.17,0.0,0.0,113.43,113.43,113.43,0.0,0.0,112.81,112.81,112.81,0.0,0.0,113.0,113.0,113.0,0.0,0.0
2018-08-12,113.02,113.02,113.02,0.0,0.0,113.98,113.98,113.98,0.0,0.0,112.98,112.98,112.98,0.0,0.0,113.78,113.78,113.78,0.0,0.0
2018-08-19,114.42,114.42,114.42,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.16,114.16,114.16,0.0,0.0,114.56,114.56,114.56,0.0,0.0
2018-08-26,114.44,114.44,114.44,0.0,0.0,114.69,114.69,114.69,0.0,0.0,114.18,114.18,114.18,0.0,0.0,114.63,114.63,114.63,0.0,0.0
2018-09-02,113.82,113.82,113.82,0.0,0.0,113.98,113.98,113.98,0.0,0.0,113.23,113.23,113.23,0.0,0.0,113.51,113.51,113.51,0.0,0.0
2018-09-09,114.54,114.54,114.54,0.0,0.0,115.05,115.05,115.05,0.0,0.0,114.3,114.3,114.3,0.0,0.0,115.0,115.0,115.0,0.0,0.0
2018-09-16,116.14,116.14,116.14,0.0,0.0,116.27,116.27,116.27,0.0,0.0,115.9,115.9,115.9,0.0,0.0,115.97,115.97,115.97,0.0,0.0
2018-09-23,112.46,112.46,112.46,0.0,0.0,113.32,113.32,113.32,0.0,0.0,112.32,112.32,112.32,0.0,0.0,113.07,113.07,113.07,0.0,0.0
2018-09-30,112.45,112.45,112.45,0.0,0.0,112.75,112.75,112.75,0.0,0.0,111.43,111.43,111.43,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2018-10-07,107.81,107.81,107.81,0.0,0.0,107.81,107.81,107.81,0.0,0.0,105.55,105.55,105.55,0.0,0.0,106.8,106.8,106.8,0.0,0.0
2018-10-14,107.75,107.75,107.75,0.0,0.0,108.56,108.56,108.56,0.0,0.0,107.2,107.2,107.2,0.0,0.0,107.46,107.46,107.46,0.0,0.0
2018-10-21,102.88,102.88,102.88,0.0,0.0,103.71,103.71,103.71,0.0,0.0,101.37,101.37,101.37,0.0,0.0,102.53,102.53,102.53,0.0,0.0
2018-10-28,107.54,107.54,107.54,0.0,0.0,107.74,107.74,107.74,0.0,0.0,105.69,105.69,105.69,0.0,0.0,106.51,106.51,106.51,0.0,0.0
2018-11-04,108.7,108.7,108.7,0.0,0.0,108.94,108.94,108.94,0.0,0.0,107.8,107.8,107.8,0.0,0.0,108.44,108.44,108.44,0.0,0.0
2018-11-11,106.92,106.92,106.92,0.0,0.0,107.78,107.78,107.78,0.0,0.0,106.75,106.75,106.75,0.0,0.0,107.5,107.5,107.5,0.0,0.0
2018-11-18,104.59,104.59,104.59,0.0,0.0,105.52,105.52,105.52,0.0,0.0,104.49,104.49,104.49,0.0,0.0,105.03,105.03,105.03,0.0,0.0
2018-11-25,106.96,106.96,106.96,0.0,0.0,107.63,107.63,107.63,0.0,0.0,106.83,106.83,106.83,0.0,0.0,107.52,107.52,107.52,0.0,0.0
2018-12-02,104.97,104.97,104.97,0.0,0.0,105.69,105.69,105.69,0.0,0.0,102.74,102.74,102.74,0.0,0.0,103.11,103.11,103.11,0.0,0.0
2018-12-09,101.24,101.24,101.24,0.0,0.0,101.84,101.84,101.84,0.0,0.0,100.42,100.42,100.42,0.0,0.0,100.68,100.68,100.68,0.0,0.0
2018-12-16,95.57,95.57,95.57,0.0,0.0,96.86,96.86,96.86,0.0,0.0,93.39,93.39,93.39,0.0,0.0,93.69,93.69,93.69,0.0,0.0
2018-12-23,94.98,94.98,94.98,0.0,0.0,95.64,95.64,95.64,0.0,0.0,94.1,94.1,94.1,0.0,0.0,94.44,94.44,94.44,0.0,0.0
2018-12-30,95.13,95.13,95.13,0.0,0.0,96.97,96.97,96.97,0.0,0.0,95.0,95.0,95.0,0.0,0.0,96.67,96.67,96.67,0.0,0.0
2019-01-06,99.46,99.46,99.46,0.0,0.0,100.25,100.25,100.25,0.0,0.0,99.35,99.35,99.35,0.0,0.0,100.06,100.06,100.06,0.0,0.0
2019-01-13,101.99,101.99,101.99,0.0,0.0,102.97,102.97,102.97,0.0,0.0,101.93,101.93,101.93,0.0,0.0,102.78,102.78,102.78,0.0,0.0
2019-01-20,102.81,102.81,102.81,0.0,0.0,103.35,103.35,103.35,0.0,0.0,102.81,102.81,102.81,0.0,0.0,103.05,103.05,103.05,0.0,0.0
2019-01-27,104.81,104.81,104.81,0.0,0.0,105.11,105.11,105.11,0.0,0.0,104.5,104.5,104.5,0.0,0.0,104.87,104.87,104.87,0.0,0.0
2019-02-03,104.87,104.87,104.87,0.0,0.0,105.32,105.32,105.32,0.0,0.0,104.33,104.33,104.33,0.0,0.0,105.31,105.31,105.31,0.0,0.0
2019-02-10,107.28,107.28,107.28,0.0,0.0,107.86,107.86,107.86,0.0,0.0,107.18,107.18,107.18,0.0,0.0,107.79,107.79,107.79,0.0,0.0
2019-02-17,108.8,108.8,108.8,0.0,0.0,109.08,109.08,109.08,0.0,0.0,108.64,108.64,108.64,0.0,0.0,109.02,109.02,109.02,0.0,0.0
2019-02-24,109.21,109.21,109.21,0.0,0.0,109.45,109.45,109.45,0.0,0.0,108.35,108.35,108.35,0.0,0.0,108.95,108.95,108.95,0.0,0.0
2019-03-03,105.56,105.56,105.56,0.0,0.0,106.03,106.03,106.03,0.0,0.0,105.33,105.33,105.33,0.0,0.0,105.98,105.98,105.98,0.0,0.0
2019-03-10,108.08,108.08,108.08,0.0,0.0,108.74,108.74,108.74,0.0,0.0,108.03,108.03,108.03,0.0,0.0,108.34,108.34,108.34,0.0,0.0
2019-03-17,108.24,108.24,108.24,0.0,0.0,108.36,108.36,108.36,0.0,0.0,106.6,106.6,106.6,0.0,0.0,106.74,106.74,106.74,0.0,0.0
2019-03-24,107.94,107.94,107.94,0.0,0.0,108.3,108.3,108.3,0.0,0.0,107.46,107.46,107.46,0.0,0.0,107.88,107.88,107.88,0.0,0.0
2019-03-31,110.31,110.31,110.31,0.0,0.0,110.83,110.83,110.83,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.8,110.8,110.8,0.0,0.0
2019-04-07,111.52,111.52,111.52,0.0,0.0,111.87,111.87,111.87,0.0,0.0,111.16,111.16,111.16,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2019-04-14,111.27,111.27,111.27,0.0,0.0,111.42,111.42,111.42,0.0,0.0,110.82,110.82,110.82,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2019-04-21,111.04,111.04,111.04,0.0,0.0,111.62,111.62,111.62,0.0,0.0,110.86,110.86,110.86,0.0,0.0,111.59,111.59,111.59,0.0,0.0
2019-04-28,111.24,111.24,111.24,0.0,0.0,111.92,111.92,111.92,0.0,0.0,111.24,111.24,111.24,0.0,0.0,111.83,111.83,111.83,0.0,0.0
2019-05-05,108.73,108.73,108.73,0.0,0.0,109.91,109.91,109.91,0.0,0.0,107.54,107.54,107.54,0.0,0.0,109.65,109.65,109.65,0.0,0.0
2019-05-12,108.09,108.09,108.09,0.0,0.0,109.1,109.1,109.1,0.0,0.0,108.0,108.0,108.0,0.0,0.0,108.17,108.17,108.17,0.0,0.0
2019-05-19,107.22,107.22,107.22,0.0,0.0,107.42,107.42,107.42,0.0,0.0,106.73,106.73,106.73,0.0,0.0,106.96,106.96,106.96,0.0,0.0
