Date,Schwab US Aggregate BondEtf_Open_average,Schwab US Aggregate BondEtf_Open_max,Schwab US Aggregate BondEtf_Open_min,Schwab US Aggregate BondEtf_Open_volatility,Schwab US Aggregate BondEtf_Open_change,Schwab US Aggregate BondEtf_High_average,Schwab US Aggregate BondEtf_High_max,Schwab US Aggregate BondEtf_High_min,Schwab US Aggregate BondEtf_High_volatility,Schwab US Aggregate BondEtf_High_change,Schwab US Aggregate BondEtf_Low_average,Schwab US Aggregate BondEtf_Low_max,Schwab US Aggregate BondEtf_Low_min,Schwab US Aggregate BondEtf_Low_volatility,Schwab US Aggregate BondEtf_Low_change,Schwab US Aggregate BondEtf_Close_average,Schwab US Aggregate BondEtf_Close_max,Schwab US Aggregate BondEtf_Close_min,Schwab US Aggregate BondEtf_Close_volatility,Schwab US Aggregate BondEtf_Close_change
2018-01-14,51.64,51.64,51.64,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-01-21,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-01-28,51.13,51.13,51.13,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-02-04,50.86,50.86,50.86,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2018-02-11,50.84,50.84,50.84,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-02-18,50.79,50.79,50.79,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-02-25,50.75,50.75,50.75,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2018-03-04,50.7,50.7,50.7,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-03-11,50.8,50.8,50.8,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-03-18,50.77,50.77,50.77,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2018-03-25,50.94,50.94,50.94,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-04-01,50.84,50.84,50.84,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.86,50.86,50.86,0.0,0.0
