Date,iShares 0-5 Year High Yield Corporate BondEtf_Open_average,iShares 0-5 Year High Yield Corporate BondEtf_Open_max,iShares 0-5 Year High Yield Corporate BondEtf_Open_min,iShares 0-5 Year High Yield Corporate BondEtf_Open_volatility,iShares 0-5 Year High Yield Corporate BondEtf_Open_change,iShares 0-5 Year High Yield Corporate BondEtf_High_average,iShares 0-5 Year High Yield Corporate BondEtf_High_max,iShares 0-5 Year High Yield Corporate BondEtf_High_min,iShares 0-5 Year High Yield Corporate BondEtf_High_volatility,iShares 0-5 Year High Yield Corporate BondEtf_High_change,iShares 0-5 Year High Yield Corporate BondEtf_Low_average,iShares 0-5 Year High Yield Corporate BondEtf_Low_max,iShares 0-5 Year High Yield Corporate BondEtf_Low_min,iShares 0-5 Year High Yield Corporate BondEtf_Low_volatility,iShares 0-5 Year High Yield Corporate BondEtf_Low_change,iShares 0-5 Year High Yield Corporate BondEtf_Close_average,iShares 0-5 Year High Yield Corporate BondEtf_Close_max,iShares 0-5 Year High Yield Corporate BondEtf_Close_min,iShares 0-5 Year High Yield Corporate BondEtf_Close_volatility,iShares 0-5 Year High Yield Corporate BondEtf_Close_change
2018-01-14,47.27,47.27,47.27,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2018-01-21,47.46,47.46,47.46,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-01-28,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-02-04,46.46,46.46,46.46,0.0,0.0,46.59,46.59,46.59,0.0,0.0,45.93,45.93,45.93,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-02-11,46.79,46.79,46.79,0.0,0.0,46.97,46.97,46.97,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-02-18,46.79,46.79,46.79,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-02-25,46.52,46.52,46.52,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-03-04,46.78,46.78,46.78,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2018-03-11,46.71,46.71,46.71,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-03-18,46.7,46.7,46.7,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2018-03-25,46.74,46.74,46.74,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-04-01,46.64,46.64,46.64,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2018-04-08,46.93,46.93,46.93,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-04-15,46.87,46.87,46.87,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-04-22,46.76,46.76,46.76,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-04-29,46.57,46.57,46.57,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-05-06,46.86,46.86,46.86,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-05-13,46.74,46.74,46.74,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-05-20,46.76,46.76,46.76,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-05-27,46.54,46.54,46.54,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-06-03,46.72,46.72,46.72,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-06-10,46.9,46.9,46.9,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2018-06-17,46.94,46.94,46.94,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-06-24,46.72,46.72,46.72,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2018-07-01,46.56,46.56,46.56,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-07-08,46.75,46.75,46.75,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-07-15,46.78,46.78,46.78,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2018-07-22,46.93,46.93,46.93,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-07-29,46.77,46.77,46.77,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-08-05,46.74,46.74,46.74,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-08-12,46.82,46.82,46.82,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2018-08-19,46.95,46.95,46.95,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2018-08-26,46.98,46.98,46.98,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.98,46.98,46.98,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-09-02,46.69,46.69,46.69,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-09-09,46.91,46.91,46.91,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-09-16,46.95,46.95,46.95,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2018-09-23,47.03,47.03,47.03,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-09-30,46.78,46.78,46.78,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.65,46.65,46.65,0.0,0.0
