Date,U.S. Global GO GOLD and Precious Metal MinersEtf_Open_average,U.S. Global GO GOLD and Precious Metal MinersEtf_Open_max,U.S. Global GO GOLD and Precious Metal MinersEtf_Open_min,U.S. Global GO GOLD and Precious Metal MinersEtf_Open_volatility,U.S. Global GO GOLD and Precious Metal MinersEtf_Open_change,U.S. Global GO GOLD and Precious Metal MinersEtf_High_average,U.S. Global GO GOLD and Precious Metal MinersEtf_High_max,U.S. Global GO GOLD and Precious Metal MinersEtf_High_min,U.S. Global GO GOLD and Precious Metal MinersEtf_High_volatility,U.S. Global GO GOLD and Precious Metal MinersEtf_High_change,U.S. Global GO GOLD and Precious Metal MinersEtf_Low_average,U.S. Global GO GOLD and Precious Metal MinersEtf_Low_max,U.S. Global GO GOLD and Precious Metal MinersEtf_Low_min,U.S. Global GO GOLD and Precious Metal MinersEtf_Low_volatility,U.S. Global GO GOLD and Precious Metal MinersEtf_Low_change,U.S. Global GO GOLD and Precious Metal MinersEtf_Close_average,U.S. Global GO GOLD and Precious Metal MinersEtf_Close_max,U.S. Global GO GOLD and Precious Metal MinersEtf_Close_min,U.S. Global GO GOLD and Precious Metal MinersEtf_Close_volatility,U.S. Global GO GOLD and Precious Metal MinersEtf_Close_change
2018-01-14,12.86,12.86,12.86,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.91,12.91,12.91,0.0,0.0
2018-01-21,13.01,13.01,13.01,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2018-01-28,12.62,12.62,12.62,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2018-02-04,11.85,11.85,11.85,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.57,11.57,11.57,0.0,0.0
2018-02-11,12.62,12.62,12.62,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2018-02-18,12.18,12.18,12.18,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2018-02-25,12.47,12.47,12.47,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2018-03-04,12.38,12.38,12.38,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2018-03-11,12.3,12.3,12.3,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2018-03-18,12.72,12.72,12.72,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.73,12.73,12.73,0.0,0.0
2018-03-25,12.5,12.5,12.5,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-04-01,12.55,12.55,12.55,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.51,12.51,12.51,0.0,0.0
2018-04-08,12.78,12.78,12.78,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-04-15,13.0,13.0,13.0,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.85,12.85,12.85,0.0,0.0,13.04,13.04,13.04,0.0,0.0
2018-04-22,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-04-29,12.96,12.96,12.96,0.0,0.0,13.2,13.2,13.2,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2018-05-06,13.47,13.47,13.47,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2018-05-13,12.91,12.91,12.91,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2018-05-20,13.13,13.13,13.13,0.0,0.0,13.13,13.13,13.13,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2018-05-27,12.69,12.69,12.69,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-06-03,13.0,13.0,13.0,0.0,0.0,13.01,13.01,13.01,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2018-06-10,12.89,12.89,12.89,0.0,0.0,12.98,12.98,12.98,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.79,12.79,12.79,0.0,0.0
2018-06-17,12.59,12.59,12.59,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-06-24,12.68,12.68,12.68,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.72,12.72,12.72,0.0,0.0
2018-07-01,12.99,12.99,12.99,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-07-08,12.8,12.8,12.8,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-07-15,12.78,12.78,12.78,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.63,12.63,12.63,0.0,0.0
2018-07-22,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-07-29,12.25,12.25,12.25,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.28,12.28,12.28,0.0,0.0
2018-08-05,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2018-08-12,10.41,10.41,10.41,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.41,10.41,10.41,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-08-19,10.66,10.66,10.66,0.0,0.0,11.02,11.02,11.02,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.89,10.89,10.89,0.0,0.0
2018-08-26,10.82,10.82,10.82,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.76,10.76,10.76,0.0,0.0
2018-09-02,10.34,10.34,10.34,0.0,0.0,10.39,10.39,10.39,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.34,10.34,10.34,0.0,0.0
2018-09-09,10.5,10.5,10.5,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.45,10.45,10.45,0.0,0.0
2018-09-16,10.95,10.95,10.95,0.0,0.0,10.99,10.99,10.99,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.9,10.9,10.9,0.0,0.0
2018-09-23,10.49,10.49,10.49,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.57,10.57,10.57,0.0,0.0
2018-09-30,10.7,10.7,10.7,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.54,10.54,10.54,0.0,0.0
2018-10-07,11.01,11.01,11.01,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.02,11.02,11.02,0.0,0.0
2018-10-14,11.16,11.16,11.16,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.1,11.1,11.1,0.0,0.0,11.1,11.1,11.1,0.0,0.0
2018-10-21,10.74,10.74,10.74,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.65,10.65,10.65,0.0,0.0
2018-10-28,10.85,10.85,10.85,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2018-11-04,10.5,10.5,10.5,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.48,10.48,10.48,0.0,0.0
2018-11-11,10.5,10.5,10.5,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2018-11-18,10.58,10.58,10.58,0.0,0.0,10.58,10.58,10.58,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.45,10.45,10.45,0.0,0.0
2018-11-25,10.11,10.11,10.11,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2018-12-02,10.56,10.56,10.56,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.71,10.71,10.71,0.0,0.0
2018-12-09,10.84,10.84,10.84,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.92,10.92,10.92,0.0,0.0
2018-12-16,11.18,11.18,11.18,0.0,0.0,11.24,11.24,11.24,0.0,0.0,10.93,10.93,10.93,0.0,0.0,11.04,11.04,11.04,0.0,0.0
2018-12-23,11.4,11.4,11.4,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.29,11.29,11.29,0.0,0.0
2018-12-30,11.4,11.4,11.4,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.2,11.2,11.2,0.0,0.0,11.66,11.66,11.66,0.0,0.0
2019-01-06,11.86,11.86,11.86,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.57,11.57,11.57,0.0,0.0,11.61,11.61,11.61,0.0,0.0
2019-01-13,11.5,11.5,11.5,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.3,11.3,11.3,0.0,0.0
2019-01-20,11.8,11.8,11.8,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.72,11.72,11.72,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2019-01-27,12.59,12.59,12.59,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2019-02-03,12.51,12.51,12.51,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2019-02-10,12.53,12.53,12.53,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.51,12.51,12.51,0.0,0.0
2019-02-17,13.1,13.1,13.1,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.1,13.1,13.1,0.0,0.0
