Date,Global X MSCI SuperDividend EAFEEtf_Open_average,Global X MSCI SuperDividend EAFEEtf_Open_max,Global X MSCI SuperDividend EAFEEtf_Open_min,Global X MSCI SuperDividend EAFEEtf_Open_volatility,Global X MSCI SuperDividend EAFEEtf_Open_change,Global X MSCI SuperDividend EAFEEtf_High_average,Global X MSCI SuperDividend EAFEEtf_High_max,Global X MSCI SuperDividend EAFEEtf_High_min,Global X MSCI SuperDividend EAFEEtf_High_volatility,Global X MSCI SuperDividend EAFEEtf_High_change,Global X MSCI SuperDividend EAFEEtf_Low_average,Global X MSCI SuperDividend EAFEEtf_Low_max,Global X MSCI SuperDividend EAFEEtf_Low_min,Global X MSCI SuperDividend EAFEEtf_Low_volatility,Global X MSCI SuperDividend EAFEEtf_Low_change,Global X MSCI SuperDividend EAFEEtf_Close_average,Global X MSCI SuperDividend EAFEEtf_Close_max,Global X MSCI SuperDividend EAFEEtf_Close_min,Global X MSCI SuperDividend EAFEEtf_Close_volatility,Global X MSCI SuperDividend EAFEEtf_Close_change
2018-01-14,18.57,18.57,18.57,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-01-21,18.96,18.96,18.96,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.96,18.96,18.96,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2018-01-28,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-02-04,17.46,17.46,17.46,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.56,17.56,17.56,0.0,0.0
2018-02-11,18.11,18.11,18.11,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2018-02-18,18.27,18.27,18.27,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2018-02-25,17.62,17.62,17.62,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-03-04,18.01,18.01,18.01,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2018-03-11,17.89,17.89,17.89,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2018-03-18,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2018-03-25,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2018-04-01,17.63,17.63,17.63,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-04-08,18.08,18.08,18.08,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.08,18.08,18.08,0.0,0.0,18.16,18.16,18.16,0.0,0.0
2018-04-15,18.19,18.19,18.19,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.19,18.19,18.19,0.0,0.0
2018-04-22,18.22,18.22,18.22,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.35,18.35,18.35,0.0,0.0
2018-04-29,18.13,18.13,18.13,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-05-06,18.32,18.32,18.32,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2018-05-13,18.06,18.06,18.06,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2018-05-20,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2018-05-27,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0
2018-06-03,17.55,17.55,17.55,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2018-06-10,17.45,17.45,17.45,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.43,17.43,17.43,0.0,0.0
2018-06-17,17.36,17.36,17.36,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.36,17.36,17.36,0.0,0.0
