Date,JPMorgan Global Bond Opportunities ETFEtf_Open_average,JPMorgan Global Bond Opportunities ETFEtf_Open_max,JPMorgan Global Bond Opportunities ETFEtf_Open_min,JPMorgan Global Bond Opportunities ETFEtf_Open_volatility,JPMorgan Global Bond Opportunities ETFEtf_Open_change,JPMorgan Global Bond Opportunities ETFEtf_High_average,JPMorgan Global Bond Opportunities ETFEtf_High_max,JPMorgan Global Bond Opportunities ETFEtf_High_min,JPMorgan Global Bond Opportunities ETFEtf_High_volatility,JPMorgan Global Bond Opportunities ETFEtf_High_change,JPMorgan Global Bond Opportunities ETFEtf_Low_average,JPMorgan Global Bond Opportunities ETFEtf_Low_max,JPMorgan Global Bond Opportunities ETFEtf_Low_min,JPMorgan Global Bond Opportunities ETFEtf_Low_volatility,JPMorgan Global Bond Opportunities ETFEtf_Low_change,JPMorgan Global Bond Opportunities ETFEtf_Close_average,JPMorgan Global Bond Opportunities ETFEtf_Close_max,JPMorgan Global Bond Opportunities ETFEtf_Close_min,JPMorgan Global Bond Opportunities ETFEtf_Close_volatility,JPMorgan Global Bond Opportunities ETFEtf_Close_change
2018-01-14,51.47,51.47,51.47,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-01-21,51.44,51.44,51.44,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2018-01-28,51.18,51.18,51.18,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-02-04,50.7,50.7,50.7,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-02-11,50.77,50.77,50.77,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2018-02-18,50.57,50.57,50.57,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2018-02-25,50.46,50.46,50.46,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.44,50.44,50.44,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-03-04,50.64,50.64,50.64,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-03-11,50.57,50.57,50.57,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-03-18,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-03-25,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-04-01,50.45,50.45,50.45,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-04-08,50.46,50.46,50.46,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-04-15,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-04-22,50.34,50.34,50.34,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-04-29,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-05-06,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-05-13,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-05-20,50.03,50.03,50.03,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-05-27,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-06-03,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-06-10,50.02,50.02,50.02,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-06-17,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-06-24,49.66,49.66,49.66,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-07-01,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-07-08,50.02,50.02,50.02,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-07-15,50.09,50.09,50.09,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-07-22,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-07-29,50.07,50.07,50.07,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-08-05,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-08-12,49.85,49.85,49.85,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-08-19,50.03,50.03,50.03,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-08-26,49.9,49.9,49.9,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-09-02,49.92,49.92,49.92,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-09-09,49.93,49.93,49.93,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-09-16,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-09-23,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-09-30,49.87,49.87,49.87,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-10-07,49.71,49.71,49.71,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-10-14,49.83,49.83,49.83,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-10-21,49.6,49.6,49.6,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-10-28,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-11-04,49.82,49.82,49.82,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-11-11,49.44,49.44,49.44,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.43,49.43,49.43,0.0,0.0
