Date,ProShares Short Russell2000Etf_Open_average,ProShares Short Russell2000Etf_Open_max,ProShares Short Russell2000Etf_Open_min,ProShares Short Russell2000Etf_Open_volatility,ProShares Short Russell2000Etf_Open_change,ProShares Short Russell2000Etf_High_average,ProShares Short Russell2000Etf_High_max,ProShares Short Russell2000Etf_High_min,ProShares Short Russell2000Etf_High_volatility,ProShares Short Russell2000Etf_High_change,ProShares Short Russell2000Etf_Low_average,ProShares Short Russell2000Etf_Low_max,ProShares Short Russell2000Etf_Low_min,ProShares Short Russell2000Etf_Low_volatility,ProShares Short Russell2000Etf_Low_change,ProShares Short Russell2000Etf_Close_average,ProShares Short Russell2000Etf_Close_max,ProShares Short Russell2000Etf_Close_min,ProShares Short Russell2000Etf_Close_volatility,ProShares Short Russell2000Etf_Close_change
2018-01-14,41.16,41.16,41.16,0.0,0.0,41.16,41.16,41.16,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2018-01-21,40.42,40.42,40.42,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-01-28,41.28,41.28,41.28,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2018-02-04,43.83,43.83,43.83,0.0,0.0,45.09,45.09,45.09,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-02-11,42.15,42.15,42.15,0.0,0.0,42.15,42.15,42.15,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2018-02-18,42.06,42.06,42.06,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-02-25,43.22,43.22,43.22,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2018-03-04,40.85,40.85,40.85,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.42,40.42,40.42,0.0,0.0
2018-03-11,40.95,40.95,40.95,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-03-18,41.65,41.65,41.65,0.0,0.0,42.65,42.65,42.65,0.0,0.0,41.54,41.54,41.54,0.0,0.0,42.63,42.63,42.63,0.0,0.0
