Date,iShares MSCI United KingdomEtf_Open_average,iShares MSCI United KingdomEtf_Open_max,iShares MSCI United KingdomEtf_Open_min,iShares MSCI United KingdomEtf_Open_volatility,iShares MSCI United KingdomEtf_Open_change,iShares MSCI United KingdomEtf_High_average,iShares MSCI United KingdomEtf_High_max,iShares MSCI United KingdomEtf_High_min,iShares MSCI United KingdomEtf_High_volatility,iShares MSCI United KingdomEtf_High_change,iShares MSCI United KingdomEtf_Low_average,iShares MSCI United KingdomEtf_Low_max,iShares MSCI United KingdomEtf_Low_min,iShares MSCI United KingdomEtf_Low_volatility,iShares MSCI United KingdomEtf_Low_change,iShares MSCI United KingdomEtf_Close_average,iShares MSCI United KingdomEtf_Close_max,iShares MSCI United KingdomEtf_Close_min,iShares MSCI United KingdomEtf_Close_volatility,iShares MSCI United KingdomEtf_Close_change
2018-01-14,37.25,37.25,37.25,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-01-21,37.8,37.8,37.8,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2018-01-28,36.78,36.78,36.78,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-02-04,34.26,34.26,34.26,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-02-11,35.56,35.56,35.56,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-02-18,35.41,35.41,35.41,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-02-25,34.14,34.14,34.14,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2018-03-04,34.94,34.94,34.94,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-03-11,34.8,34.8,34.8,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-03-18,34.35,34.35,34.35,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-03-25,34.8,34.8,34.8,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2018-04-01,35.44,35.44,35.44,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-04-08,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2018-04-15,36.24,36.24,36.24,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-04-22,36.2,36.2,36.2,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.34,36.34,36.34,0.0,0.0
2018-04-29,35.71,35.71,35.71,0.0,0.0,36.09,36.09,36.09,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-05-06,36.88,36.88,36.88,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-05-13,36.93,36.93,36.93,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-05-20,36.25,36.25,36.25,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-05-27,36.29,36.29,36.29,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-06-03,36.41,36.41,36.41,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2018-06-10,36.03,36.03,36.03,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.96,35.96,35.96,0.0,0.0
