Date,ARNAStock_Open_average,ARNAStock_Open_max,ARNAStock_Open_min,ARNAStock_Open_volatility,ARNAStock_Open_change,ARNAStock_High_average,ARNAStock_High_max,ARNAStock_High_min,ARNAStock_High_volatility,ARNAStock_High_change,ARNAStock_Low_average,ARNAStock_Low_max,ARNAStock_Low_min,ARNAStock_Low_volatility,ARNAStock_Low_change,ARNAStock_Close_average,ARNAStock_Close_max,ARNAStock_Close_min,ARNAStock_Close_volatility,ARNAStock_Close_change,ARNAStock_Volume_average,ARNAStock_Volume_max,ARNAStock_Volume_min,ARNAStock_Volume_volatility,ARNAStock_Volume_change
2018-01-14,34.620000000000005,35.01,34.39,0.6199999999999974,-0.44999999999999574,35.17,35.75,34.6,1.1499999999999986,0.18999999999999773,33.6875,34.3,33.03,1.269999999999996,1.269999999999996,34.49,35.6,33.88,1.7199999999999989,1.7199999999999989,635533,1023492,358883,664609,-401894
2018-01-21,37.274,38.44,35.83,2.6099999999999994,2.6099999999999994,38.158,38.96,36.85,2.1099999999999994,2.1099999999999994,36.678000000000004,37.75,35.71,2.039999999999999,2.039999999999999,37.538,38.18,35.89,2.289999999999999,1.9699999999999989,548512,712194,320774,391420,-305412
2018-01-28,37.53,38.63,36.26,2.3700000000000045,0.9200000000000017,38.77,40.81,37.67,3.1400000000000006,2.3900000000000006,36.35,37.04,35.1,1.9399999999999977,0.9099999999999966,37.89,39.13,36.62,2.510000000000005,2.510000000000005,592992,886044,454628,431416,-283824
2018-02-04,39.116,40.24,38.58,1.6600000000000037,0.03999999999999915,40.452,40.85,40.1,0.75,-0.3500000000000014,38.15,39.0,36.88,2.1199999999999974,-1.6199999999999974,39.354,40.04,38.4,1.6400000000000006,0.21000000000000085,588817,728544,397485,331059,105448
2018-02-11,40.35,41.45,39.52,1.9299999999999997,0.75,41.308,41.87,40.5,1.3699999999999974,0.8699999999999974,39.354,40.6,38.66,1.9400000000000048,1.9400000000000048,40.57,40.98,39.96,1.019999999999996,0.45999999999999375,467773,661661,364901,296760,-159166
2018-02-18,40.972500000000004,41.53,40.52,1.009999999999998,-0.1599999999999966,42.05,42.74,41.0,1.740000000000002,-1.740000000000002,40.03,40.8,38.51,2.289999999999999,-1.7800000000000011,40.6325,41.19,39.97,1.2199999999999989,-0.5500000000000043,587732,671525,482747,188778,17049
2018-02-25,39.262,40.35,38.22,2.1300000000000026,0.35999999999999943,40.932,43.87,39.39,4.479999999999997,3.469999999999999,38.272,40.3,36.8,3.5,1.779999999999994,39.888,43.37,37.77,5.599999999999994,4.509999999999998,601612,705912,501690,204222,144139
2018-03-04,42.856,43.76,42.11,1.6499999999999986,-1.6499999999999986,43.254,44.5,42.78,1.7199999999999989,-1.7199999999999989,41.722,42.75,41.15,1.6000000000000014,-1.3200000000000003,42.384,42.8,41.63,1.1699999999999946,-0.529999999999994,483619,595359,391702,203657,-203657
2018-03-11,38.324,42.22,33.1,9.119999999999997,-9.119999999999997,38.54,42.27,33.13,9.14,-9.14,35.268,39.92,30.25,9.670000000000002,-9.670000000000002,36.006,40.2,31.51,8.690000000000001,-8.690000000000001,1413923,2486759,549729,1937030,1937030
2018-03-18,38.958,41.56,31.35,10.21,10.04,41.57,45.85,31.48,14.370000000000001,11.3,38.072,41.19,30.0,11.189999999999998,11.189999999999998,39.54,44.0,30.89,13.11,10.990000000000002,6368618,11738828,1911293,9827535,469015
