Date,iShares MSCI Global Energy ProducersEtf_Open_average,iShares MSCI Global Energy ProducersEtf_Open_max,iShares MSCI Global Energy ProducersEtf_Open_min,iShares MSCI Global Energy ProducersEtf_Open_volatility,iShares MSCI Global Energy ProducersEtf_Open_change,iShares MSCI Global Energy ProducersEtf_High_average,iShares MSCI Global Energy ProducersEtf_High_max,iShares MSCI Global Energy ProducersEtf_High_min,iShares MSCI Global Energy ProducersEtf_High_volatility,iShares MSCI Global Energy ProducersEtf_High_change,iShares MSCI Global Energy ProducersEtf_Low_average,iShares MSCI Global Energy ProducersEtf_Low_max,iShares MSCI Global Energy ProducersEtf_Low_min,iShares MSCI Global Energy ProducersEtf_Low_volatility,iShares MSCI Global Energy ProducersEtf_Low_change,iShares MSCI Global Energy ProducersEtf_Close_average,iShares MSCI Global Energy ProducersEtf_Close_max,iShares MSCI Global Energy ProducersEtf_Close_min,iShares MSCI Global Energy ProducersEtf_Close_volatility,iShares MSCI Global Energy ProducersEtf_Close_change
2018-01-14,22.15,22.15,22.15,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.01,22.01,22.01,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-01-21,22.75,22.75,22.75,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2018-01-28,21.82,21.82,21.82,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-02-04,19.69,19.69,19.69,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-02-11,20.53,20.53,20.53,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2018-02-18,20.45,20.45,20.45,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-02-25,19.94,19.94,19.94,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.77,19.77,19.77,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2018-03-04,20.39,20.39,20.39,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-03-11,20.13,20.13,20.13,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2018-03-18,20.35,20.35,20.35,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.21,20.21,20.21,0.0,0.0
