Date,iShares Global 100Etf_Open_average,iShares Global 100Etf_Open_max,iShares Global 100Etf_Open_min,iShares Global 100Etf_Open_volatility,iShares Global 100Etf_Open_change,iShares Global 100Etf_High_average,iShares Global 100Etf_High_max,iShares Global 100Etf_High_min,iShares Global 100Etf_High_volatility,iShares Global 100Etf_High_change,iShares Global 100Etf_Low_average,iShares Global 100Etf_Low_max,iShares Global 100Etf_Low_min,iShares Global 100Etf_Low_volatility,iShares Global 100Etf_Low_change,iShares Global 100Etf_Close_average,iShares Global 100Etf_Close_max,iShares Global 100Etf_Close_min,iShares Global 100Etf_Close_volatility,iShares Global 100Etf_Close_change
2018-01-14,48.54,48.54,48.54,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-01-21,49.24,49.24,49.24,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-01-28,48.2,48.2,48.2,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2018-02-04,44.93,44.93,44.93,0.0,0.0,45.27,45.27,45.27,0.0,0.0,43.63,43.63,43.63,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2018-02-11,46.92,46.92,46.92,0.0,0.0,47.42,47.42,47.42,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2018-02-18,46.83,46.83,46.83,0.0,0.0,47.26,47.26,47.26,0.0,0.0,46.75,46.75,46.75,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-02-25,45.51,45.51,45.51,0.0,0.0,46.15,46.15,46.15,0.0,0.0,45.5,45.5,45.5,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-03-04,47.16,47.16,47.16,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-03-11,47.15,47.15,47.15,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2018-03-18,45.42,45.42,45.42,0.0,0.0,45.53,45.53,45.53,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-03-25,45.32,45.32,45.32,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-04-01,45.76,45.76,45.76,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2018-04-08,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2018-04-15,46.81,46.81,46.81,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2018-04-22,46.42,46.42,46.42,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2018-04-29,45.71,45.71,45.71,0.0,0.0,46.54,46.54,46.54,0.0,0.0,45.71,45.71,45.71,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2018-05-06,47.52,47.52,47.52,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-05-13,47.17,47.17,47.17,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.07,47.07,47.07,0.0,0.0
2018-05-20,46.79,46.79,46.79,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-05-27,46.82,46.82,46.82,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2018-06-03,47.41,47.41,47.41,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2018-06-10,47.3,47.3,47.3,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-06-17,46.21,46.21,46.21,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-06-24,45.98,45.98,45.98,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2018-07-01,46.11,46.11,46.11,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2018-07-08,46.97,46.97,46.97,0.0,0.0,47.12,47.12,47.12,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2018-07-15,47.17,47.17,47.17,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-07-22,48.02,48.02,48.02,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-07-29,47.8,47.8,47.8,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-08-05,47.76,47.76,47.76,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-08-12,47.43,47.43,47.43,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-08-19,48.0,48.0,48.0,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-08-26,48.63,48.63,48.63,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-09-02,47.51,47.51,47.51,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-09-09,48.43,48.43,48.43,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-09-16,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-09-23,48.79,48.79,48.79,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-09-30,48.6,48.6,48.6,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2018-10-07,46.75,46.75,46.75,0.0,0.0,46.75,46.75,46.75,0.0,0.0,45.93,45.93,45.93,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2018-10-14,46.68,46.68,46.68,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-10-21,45.11,45.11,45.11,0.0,0.0,45.66,45.66,45.66,0.0,0.0,44.64,44.64,44.64,0.0,0.0,45.16,45.16,45.16,0.0,0.0
