Date,iShares Emerging Markets High Yield BondEtf_Open_average,iShares Emerging Markets High Yield BondEtf_Open_max,iShares Emerging Markets High Yield BondEtf_Open_min,iShares Emerging Markets High Yield BondEtf_Open_volatility,iShares Emerging Markets High Yield BondEtf_Open_change,iShares Emerging Markets High Yield BondEtf_High_average,iShares Emerging Markets High Yield BondEtf_High_max,iShares Emerging Markets High Yield BondEtf_High_min,iShares Emerging Markets High Yield BondEtf_High_volatility,iShares Emerging Markets High Yield BondEtf_High_change,iShares Emerging Markets High Yield BondEtf_Low_average,iShares Emerging Markets High Yield BondEtf_Low_max,iShares Emerging Markets High Yield BondEtf_Low_min,iShares Emerging Markets High Yield BondEtf_Low_volatility,iShares Emerging Markets High Yield BondEtf_Low_change,iShares Emerging Markets High Yield BondEtf_Close_average,iShares Emerging Markets High Yield BondEtf_Close_max,iShares Emerging Markets High Yield BondEtf_Close_min,iShares Emerging Markets High Yield BondEtf_Close_volatility,iShares Emerging Markets High Yield BondEtf_Close_change
2018-01-14,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-01-21,50.25,50.25,50.25,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-01-28,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-02-04,48.78,48.78,48.78,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-02-11,49.08,49.08,49.08,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-02-18,48.98,48.98,48.98,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-02-25,48.79,48.79,48.79,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-03-04,48.95,48.95,48.95,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-03-11,49.0,49.0,49.0,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-03-18,48.64,48.64,48.64,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-03-25,48.99,48.99,48.99,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-04-01,49.1,49.1,49.1,0.0,0.0,49.16,49.16,49.16,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.11,49.11,49.11,0.0,0.0
