Date,FlexShares US Quality Large CapEtf_Open_average,FlexShares US Quality Large CapEtf_Open_max,FlexShares US Quality Large CapEtf_Open_min,FlexShares US Quality Large CapEtf_Open_volatility,FlexShares US Quality Large CapEtf_Open_change,FlexShares US Quality Large CapEtf_High_average,FlexShares US Quality Large CapEtf_High_max,FlexShares US Quality Large CapEtf_High_min,FlexShares US Quality Large CapEtf_High_volatility,FlexShares US Quality Large CapEtf_High_change,FlexShares US Quality Large CapEtf_Low_average,FlexShares US Quality Large CapEtf_Low_max,FlexShares US Quality Large CapEtf_Low_min,FlexShares US Quality Large CapEtf_Low_volatility,FlexShares US Quality Large CapEtf_Low_change,FlexShares US Quality Large CapEtf_Close_average,FlexShares US Quality Large CapEtf_Close_max,FlexShares US Quality Large CapEtf_Close_min,FlexShares US Quality Large CapEtf_Close_volatility,FlexShares US Quality Large CapEtf_Close_change
2018-01-14,34.99,34.99,34.99,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2018-01-21,35.73,35.73,35.73,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-01-28,34.8,34.8,34.8,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-02-04,32.33,32.33,32.33,0.0,0.0,32.71,32.71,32.71,0.0,0.0,31.6,31.6,31.6,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2018-02-11,34.11,34.11,34.11,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-02-18,34.02,34.02,34.02,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-02-25,33.17,33.17,33.17,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-03-04,34.5,34.5,34.5,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-03-11,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2018-03-18,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-03-25,33.07,33.07,33.07,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-04-01,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-04-08,33.92,33.92,33.92,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-04-15,34.0,34.0,34.0,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-04-22,33.79,33.79,33.79,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-04-29,33.49,33.49,33.49,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-05-06,34.39,34.39,34.39,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-05-13,34.22,34.22,34.22,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-05-20,34.23,34.23,34.23,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-05-27,34.4,34.4,34.4,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-06-03,34.98,34.98,34.98,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.97,34.97,34.97,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-06-10,34.79,34.79,34.79,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-06-17,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-06-24,33.94,33.94,33.94,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-07-01,34.0,34.0,34.0,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-07-08,34.78,34.78,34.78,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-07-15,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-07-22,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-07-29,35.05,35.05,35.05,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.08,35.08,35.08,0.0,0.0
