Date,Global X MSCI NigeriaEtf_Open_average,Global X MSCI NigeriaEtf_Open_max,Global X MSCI NigeriaEtf_Open_min,Global X MSCI NigeriaEtf_Open_volatility,Global X MSCI NigeriaEtf_Open_change,Global X MSCI NigeriaEtf_High_average,Global X MSCI NigeriaEtf_High_max,Global X MSCI NigeriaEtf_High_min,Global X MSCI NigeriaEtf_High_volatility,Global X MSCI NigeriaEtf_High_change,Global X MSCI NigeriaEtf_Low_average,Global X MSCI NigeriaEtf_Low_max,Global X MSCI NigeriaEtf_Low_min,Global X MSCI NigeriaEtf_Low_volatility,Global X MSCI NigeriaEtf_Low_change,Global X MSCI NigeriaEtf_Close_average,Global X MSCI NigeriaEtf_Close_max,Global X MSCI NigeriaEtf_Close_min,Global X MSCI NigeriaEtf_Close_volatility,Global X MSCI NigeriaEtf_Close_change
2018-01-14,26.52,26.52,26.52,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-01-21,25.7,25.7,25.7,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-01-28,25.61,25.61,25.61,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-02-04,23.77,23.77,23.77,0.0,0.0,24.34,24.34,24.34,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-02-11,23.53,23.53,23.53,0.0,0.0,24.18,24.18,24.18,0.0,0.0,23.5,23.5,23.5,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2018-02-18,23.73,23.73,23.73,0.0,0.0,24.1,24.1,24.1,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-02-25,23.6,23.6,23.6,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-03-04,24.21,24.21,24.21,0.0,0.0,24.35,24.35,24.35,0.0,0.0,23.97,23.97,23.97,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-03-11,22.96,22.96,22.96,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2018-03-18,22.95,22.95,22.95,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-03-25,23.98,23.98,23.98,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2018-04-01,23.62,23.62,23.62,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-04-08,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0,22.81,22.81,22.81,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2018-04-15,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0,22.82,22.82,22.82,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2018-04-22,23.6,23.6,23.6,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.49,23.49,23.49,0.0,0.0
