Date,iShares MSCI KokusaiEtf_Open_average,iShares MSCI KokusaiEtf_Open_max,iShares MSCI KokusaiEtf_Open_min,iShares MSCI KokusaiEtf_Open_volatility,iShares MSCI KokusaiEtf_Open_change,iShares MSCI KokusaiEtf_High_average,iShares MSCI KokusaiEtf_High_max,iShares MSCI KokusaiEtf_High_min,iShares MSCI KokusaiEtf_High_volatility,iShares MSCI KokusaiEtf_High_change,iShares MSCI KokusaiEtf_Low_average,iShares MSCI KokusaiEtf_Low_max,iShares MSCI KokusaiEtf_Low_min,iShares MSCI KokusaiEtf_Low_volatility,iShares MSCI KokusaiEtf_Low_change,iShares MSCI KokusaiEtf_Close_average,iShares MSCI KokusaiEtf_Close_max,iShares MSCI KokusaiEtf_Close_min,iShares MSCI KokusaiEtf_Close_volatility,iShares MSCI KokusaiEtf_Close_change
2018-01-14,68.03,68.03,68.03,0.0,0.0,68.21,68.21,68.21,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-01-21,69.32,69.32,69.32,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.59,69.59,69.59,0.0,0.0
2018-01-28,68.11,68.11,68.11,0.0,0.0,68.11,68.11,68.11,0.0,0.0,67.09,67.09,67.09,0.0,0.0,67.33,67.33,67.33,0.0,0.0
2018-02-04,63.69,63.69,63.69,0.0,0.0,63.96,63.96,63.96,0.0,0.0,61.99,61.99,61.99,0.0,0.0,63.74,63.74,63.74,0.0,0.0
2018-02-11,66.44,66.44,66.44,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-02-18,66.07,66.07,66.07,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2018-02-25,64.06,64.06,64.06,0.0,0.0,64.94,64.94,64.94,0.0,0.0,63.81,63.81,63.81,0.0,0.0,64.94,64.94,64.94,0.0,0.0
2018-03-04,66.32,66.32,66.32,0.0,0.0,66.59,66.59,66.59,0.0,0.0,66.16,66.16,66.16,0.0,0.0,66.59,66.59,66.59,0.0,0.0
2018-03-11,66.49,66.49,66.49,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.32,66.32,66.32,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-03-18,64.31,64.31,64.31,0.0,0.0,64.67,64.67,64.67,0.0,0.0,63.03,63.03,63.03,0.0,0.0,63.03,63.03,63.03,0.0,0.0
2018-03-25,63.92,63.92,63.92,0.0,0.0,64.82,64.82,64.82,0.0,0.0,63.78,63.78,63.78,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2018-04-01,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.67,63.67,63.67,0.0,0.0
2018-04-08,65.39,65.39,65.39,0.0,0.0,65.4,65.4,65.4,0.0,0.0,64.88,64.88,64.88,0.0,0.0,65.26,65.26,65.26,0.0,0.0
2018-04-15,65.29,65.29,65.29,0.0,0.0,65.29,65.29,65.29,0.0,0.0,64.94,64.94,64.94,0.0,0.0,65.1,65.1,65.1,0.0,0.0
2018-04-22,64.89,64.89,64.89,0.0,0.0,65.32,65.32,65.32,0.0,0.0,64.67,64.67,64.67,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-04-29,63.91,63.91,63.91,0.0,0.0,64.94,64.94,64.94,0.0,0.0,63.91,63.91,63.91,0.0,0.0,64.94,64.94,64.94,0.0,0.0
2018-05-06,66.59,66.59,66.59,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-05-13,66.0,66.0,66.0,0.0,0.0,66.06,66.06,66.06,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.03,66.03,66.03,0.0,0.0
