Date,Vanguard FTSE All-World ex-US Small-CapEtf_Open_average,Vanguard FTSE All-World ex-US Small-CapEtf_Open_max,Vanguard FTSE All-World ex-US Small-CapEtf_Open_min,Vanguard FTSE All-World ex-US Small-CapEtf_Open_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Open_change,Vanguard FTSE All-World ex-US Small-CapEtf_High_average,Vanguard FTSE All-World ex-US Small-CapEtf_High_max,Vanguard FTSE All-World ex-US Small-CapEtf_High_min,Vanguard FTSE All-World ex-US Small-CapEtf_High_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_High_change,Vanguard FTSE All-World ex-US Small-CapEtf_Low_average,Vanguard FTSE All-World ex-US Small-CapEtf_Low_max,Vanguard FTSE All-World ex-US Small-CapEtf_Low_min,Vanguard FTSE All-World ex-US Small-CapEtf_Low_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Low_change,Vanguard FTSE All-World ex-US Small-CapEtf_Close_average,Vanguard FTSE All-World ex-US Small-CapEtf_Close_max,Vanguard FTSE All-World ex-US Small-CapEtf_Close_min,Vanguard FTSE All-World ex-US Small-CapEtf_Close_volatility,Vanguard FTSE All-World ex-US Small-CapEtf_Close_change
2018-01-14,124.19,124.19,124.19,0.0,0.0,124.37,124.37,124.37,0.0,0.0,123.94,123.94,123.94,0.0,0.0,124.3,124.3,124.3,0.0,0.0
2018-01-21,126.63,126.63,126.63,0.0,0.0,127.14,127.14,127.14,0.0,0.0,126.44,126.44,126.44,0.0,0.0,127.14,127.14,127.14,0.0,0.0
2018-01-28,123.37,123.37,123.37,0.0,0.0,123.38,123.38,123.38,0.0,0.0,121.63,121.63,121.63,0.0,0.0,121.63,121.63,121.63,0.0,0.0
2018-02-04,115.88,115.88,115.88,0.0,0.0,116.22,116.22,116.22,0.0,0.0,112.93,112.93,112.93,0.0,0.0,115.68,115.68,115.68,0.0,0.0
2018-02-11,119.9,119.9,119.9,0.0,0.0,120.85,120.85,120.85,0.0,0.0,119.9,119.9,119.9,0.0,0.0,120.47,120.47,120.47,0.0,0.0
2018-02-18,120.77,120.77,120.77,0.0,0.0,121.42,121.42,121.42,0.0,0.0,120.45,120.45,120.45,0.0,0.0,121.42,121.42,121.42,0.0,0.0
2018-02-25,117.61,117.61,117.61,0.0,0.0,118.59,118.59,118.59,0.0,0.0,117.03,117.03,117.03,0.0,0.0,118.55,118.55,118.55,0.0,0.0
2018-03-04,120.1,120.1,120.1,0.0,0.0,120.74,120.74,120.74,0.0,0.0,119.98,119.98,119.98,0.0,0.0,120.7,120.7,120.7,0.0,0.0
2018-03-11,120.24,120.24,120.24,0.0,0.0,120.34,120.34,120.34,0.0,0.0,120.01,120.01,120.01,0.0,0.0,120.16,120.16,120.16,0.0,0.0
2018-03-18,118.14,118.14,118.14,0.0,0.0,118.34,118.34,118.34,0.0,0.0,116.58,116.58,116.58,0.0,0.0,116.67,116.67,116.67,0.0,0.0
2018-03-25,118.53,118.53,118.53,0.0,0.0,119.49,119.49,119.49,0.0,0.0,118.34,118.34,118.34,0.0,0.0,119.24,119.24,119.24,0.0,0.0
2018-04-01,119.2,119.2,119.2,0.0,0.0,119.76,119.76,119.76,0.0,0.0,118.19,118.19,118.19,0.0,0.0,118.56,118.56,118.56,0.0,0.0
2018-04-08,121.4,121.4,121.4,0.0,0.0,121.46,121.46,121.46,0.0,0.0,120.43,120.43,120.43,0.0,0.0,120.79,120.79,120.79,0.0,0.0
2018-04-15,121.09,121.09,121.09,0.0,0.0,121.09,121.09,121.09,0.0,0.0,120.58,120.58,120.58,0.0,0.0,120.72,120.72,120.72,0.0,0.0
2018-04-22,119.77,119.77,119.77,0.0,0.0,120.09,120.09,120.09,0.0,0.0,119.56,119.56,119.56,0.0,0.0,120.08,120.08,120.08,0.0,0.0
2018-04-29,118.65,118.65,118.65,0.0,0.0,120.11,120.11,120.11,0.0,0.0,118.65,118.65,118.65,0.0,0.0,119.86,119.86,119.86,0.0,0.0
2018-05-06,121.68,121.68,121.68,0.0,0.0,121.97,121.97,121.97,0.0,0.0,121.28,121.28,121.28,0.0,0.0,121.43,121.43,121.43,0.0,0.0
2018-05-13,120.32,120.32,120.32,0.0,0.0,120.53,120.53,120.53,0.0,0.0,120.03,120.03,120.03,0.0,0.0,120.48,120.48,120.48,0.0,0.0
2018-05-20,120.04,120.04,120.04,0.0,0.0,120.24,120.24,120.24,0.0,0.0,119.69,119.69,119.69,0.0,0.0,119.98,119.98,119.98,0.0,0.0
2018-05-27,120.08,120.08,120.08,0.0,0.0,120.39,120.39,120.39,0.0,0.0,119.94,119.94,119.94,0.0,0.0,120.15,120.15,120.15,0.0,0.0
2018-06-03,121.48,121.48,121.48,0.0,0.0,121.85,121.85,121.85,0.0,0.0,121.12,121.12,121.12,0.0,0.0,121.78,121.78,121.78,0.0,0.0
2018-06-10,120.08,120.08,120.08,0.0,0.0,120.08,120.08,120.08,0.0,0.0,119.45,119.45,119.45,0.0,0.0,119.99,119.99,119.99,0.0,0.0
2018-06-17,117.49,117.49,117.49,0.0,0.0,117.59,117.59,117.59,0.0,0.0,116.98,116.98,116.98,0.0,0.0,117.18,117.18,117.18,0.0,0.0
2018-06-24,115.41,115.41,115.41,0.0,0.0,115.88,115.88,115.88,0.0,0.0,115.3,115.3,115.3,0.0,0.0,115.41,115.41,115.41,0.0,0.0
2018-07-01,114.32,114.32,114.32,0.0,0.0,115.2,115.2,115.2,0.0,0.0,114.16,114.16,114.16,0.0,0.0,115.08,115.08,115.08,0.0,0.0
