Date,Vanguard MaterialsEtf_Open_average,Vanguard MaterialsEtf_Open_max,Vanguard MaterialsEtf_Open_min,Vanguard MaterialsEtf_Open_volatility,Vanguard MaterialsEtf_Open_change,Vanguard MaterialsEtf_High_average,Vanguard MaterialsEtf_High_max,Vanguard MaterialsEtf_High_min,Vanguard MaterialsEtf_High_volatility,Vanguard MaterialsEtf_High_change,Vanguard MaterialsEtf_Low_average,Vanguard MaterialsEtf_Low_max,Vanguard MaterialsEtf_Low_min,Vanguard MaterialsEtf_Low_volatility,Vanguard MaterialsEtf_Low_change,Vanguard MaterialsEtf_Close_average,Vanguard MaterialsEtf_Close_max,Vanguard MaterialsEtf_Close_min,Vanguard MaterialsEtf_Close_volatility,Vanguard MaterialsEtf_Close_change
2018-01-14,142.28,142.28,142.28,0.0,0.0,142.94,142.94,142.94,0.0,0.0,142.03,142.03,142.03,0.0,0.0,142.92,142.92,142.92,0.0,0.0
2018-01-21,144.38,144.38,144.38,0.0,0.0,144.65,144.65,144.65,0.0,0.0,143.47,143.47,143.47,0.0,0.0,144.53,144.53,144.53,0.0,0.0
2018-01-28,139.06,139.06,139.06,0.0,0.0,139.06,139.06,139.06,0.0,0.0,136.17,136.17,136.17,0.0,0.0,136.21,136.21,136.21,0.0,0.0
2018-02-04,130.54,130.54,130.54,0.0,0.0,131.89,131.89,131.89,0.0,0.0,127.18,127.18,127.18,0.0,0.0,130.98,130.98,130.98,0.0,0.0
2018-02-11,136.3,136.3,136.3,0.0,0.0,137.76,137.76,137.76,0.0,0.0,135.72,135.72,135.72,0.0,0.0,136.7,136.7,136.7,0.0,0.0
2018-02-18,136.83,136.83,136.83,0.0,0.0,137.94,137.94,137.94,0.0,0.0,136.38,136.38,136.38,0.0,0.0,137.89,137.89,137.89,0.0,0.0
2018-02-25,132.58,132.58,132.58,0.0,0.0,133.8,133.8,133.8,0.0,0.0,131.89,131.89,131.89,0.0,0.0,133.49,133.49,133.49,0.0,0.0
2018-03-04,136.79,136.79,136.79,0.0,0.0,138.45,138.45,138.45,0.0,0.0,136.44,136.44,136.44,0.0,0.0,138.39,138.39,138.39,0.0,0.0
2018-03-11,133.78,133.78,133.78,0.0,0.0,134.75,134.75,134.75,0.0,0.0,133.5,133.5,133.5,0.0,0.0,134.02,134.02,134.02,0.0,0.0
2018-03-18,129.42,129.42,129.42,0.0,0.0,129.89,129.89,129.89,0.0,0.0,126.58,126.58,126.58,0.0,0.0,126.7,126.7,126.7,0.0,0.0
2018-03-25,126.84,126.84,126.84,0.0,0.0,129.51,129.51,129.51,0.0,0.0,126.84,126.84,126.84,0.0,0.0,128.9,128.9,128.9,0.0,0.0
2018-04-01,130.01,130.01,130.01,0.0,0.0,130.41,130.41,130.41,0.0,0.0,127.17,127.17,127.17,0.0,0.0,127.99,127.99,127.99,0.0,0.0
2018-04-08,132.68,132.68,132.68,0.0,0.0,132.87,132.87,132.87,0.0,0.0,131.48,131.48,131.48,0.0,0.0,131.87,131.87,131.87,0.0,0.0
2018-04-15,134.82,134.82,134.82,0.0,0.0,135.14,135.14,135.14,0.0,0.0,133.7,133.7,133.7,0.0,0.0,134.25,134.25,134.25,0.0,0.0
2018-04-22,131.85,131.85,131.85,0.0,0.0,131.98,131.98,131.98,0.0,0.0,130.43,130.43,130.43,0.0,0.0,131.18,131.18,131.18,0.0,0.0
2018-04-29,128.79,128.79,128.79,0.0,0.0,131.81,131.81,131.81,0.0,0.0,128.79,128.79,128.79,0.0,0.0,131.16,131.16,131.16,0.0,0.0
2018-05-06,133.96,133.96,133.96,0.0,0.0,134.67,134.67,134.67,0.0,0.0,133.49,133.49,133.49,0.0,0.0,133.66,133.66,133.66,0.0,0.0
