Date,Direxion Daily FTSE Europe Bull 3X SharesEtf_Open_average,Direxion Daily FTSE Europe Bull 3X SharesEtf_Open_max,Direxion Daily FTSE Europe Bull 3X SharesEtf_Open_min,Direxion Daily FTSE Europe Bull 3X SharesEtf_Open_volatility,Direxion Daily FTSE Europe Bull 3X SharesEtf_Open_change,Direxion Daily FTSE Europe Bull 3X SharesEtf_High_average,Direxion Daily FTSE Europe Bull 3X SharesEtf_High_max,Direxion Daily FTSE Europe Bull 3X SharesEtf_High_min,Direxion Daily FTSE Europe Bull 3X SharesEtf_High_volatility,Direxion Daily FTSE Europe Bull 3X SharesEtf_High_change,Direxion Daily FTSE Europe Bull 3X SharesEtf_Low_average,Direxion Daily FTSE Europe Bull 3X SharesEtf_Low_max,Direxion Daily FTSE Europe Bull 3X SharesEtf_Low_min,Direxion Daily FTSE Europe Bull 3X SharesEtf_Low_volatility,Direxion Daily FTSE Europe Bull 3X SharesEtf_Low_change,Direxion Daily FTSE Europe Bull 3X SharesEtf_Close_average,Direxion Daily FTSE Europe Bull 3X SharesEtf_Close_max,Direxion Daily FTSE Europe Bull 3X SharesEtf_Close_min,Direxion Daily FTSE Europe Bull 3X SharesEtf_Close_volatility,Direxion Daily FTSE Europe Bull 3X SharesEtf_Close_change
2018-01-14,44.59,44.59,44.59,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-01-21,46.36,46.36,46.36,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2018-01-28,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-02-04,34.85,34.85,34.85,0.0,0.0,35.25,35.25,35.25,0.0,0.0,32.28,32.28,32.28,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-02-11,38.82,38.82,38.82,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.82,38.82,38.82,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-02-18,38.18,38.18,38.18,0.0,0.0,38.75,38.75,38.75,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-02-25,34.38,34.38,34.38,0.0,0.0,35.1,35.1,35.1,0.0,0.0,33.89,33.89,33.89,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-03-04,37.26,37.26,37.26,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2018-03-11,36.93,36.93,36.93,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-03-18,34.5,34.5,34.5,0.0,0.0,34.67,34.67,34.67,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-03-25,35.42,35.42,35.42,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-04-01,36.15,36.15,36.15,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-04-08,38.16,38.16,38.16,0.0,0.0,38.23,38.23,38.23,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-04-15,38.4,38.4,38.4,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-04-22,37.67,37.67,37.67,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-04-29,36.53,36.53,36.53,0.0,0.0,37.51,37.51,37.51,0.0,0.0,36.5,36.5,36.5,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-05-06,38.92,38.92,38.92,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-05-13,38.28,38.28,38.28,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-05-20,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.68,35.68,35.68,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-05-27,35.36,35.36,35.36,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.24,35.24,35.24,0.0,0.0
