Date,iShares China Large-CapEtf_Open_average,iShares China Large-CapEtf_Open_max,iShares China Large-CapEtf_Open_min,iShares China Large-CapEtf_Open_volatility,iShares China Large-CapEtf_Open_change,iShares China Large-CapEtf_High_average,iShares China Large-CapEtf_High_max,iShares China Large-CapEtf_High_min,iShares China Large-CapEtf_High_volatility,iShares China Large-CapEtf_High_change,iShares China Large-CapEtf_Low_average,iShares China Large-CapEtf_Low_max,iShares China Large-CapEtf_Low_min,iShares China Large-CapEtf_Low_volatility,iShares China Large-CapEtf_Low_change,iShares China Large-CapEtf_Close_average,iShares China Large-CapEtf_Close_max,iShares China Large-CapEtf_Close_min,iShares China Large-CapEtf_Close_volatility,iShares China Large-CapEtf_Close_change
2018-01-14,51.52,51.52,51.52,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-01-21,53.69,53.69,53.69,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.58,53.58,53.58,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-01-28,52.03,52.03,52.03,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-02-04,45.92,45.92,45.92,0.0,0.0,46.48,46.48,46.48,0.0,0.0,44.6,44.6,44.6,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-02-11,49.28,49.28,49.28,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-02-18,49.53,49.53,49.53,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-02-25,46.42,46.42,46.42,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.15,46.15,46.15,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-03-04,48.33,48.33,48.33,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.24,48.24,48.24,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-03-11,48.9,48.9,48.9,0.0,0.0,49.24,49.24,49.24,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-03-18,46.91,46.91,46.91,0.0,0.0,47.03,47.03,47.03,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2018-03-25,46.73,46.73,46.73,0.0,0.0,47.47,47.47,47.47,0.0,0.0,46.7,46.7,46.7,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-04-01,46.33,46.33,46.33,0.0,0.0,46.84,46.84,46.84,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2018-04-08,48.06,48.06,48.06,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2018-04-15,46.67,46.67,46.67,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2018-04-22,46.71,46.71,46.71,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-04-29,45.85,45.85,45.85,0.0,0.0,46.77,46.77,46.77,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2018-05-06,48.24,48.24,48.24,0.0,0.0,48.28,48.28,48.28,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-05-13,47.97,47.97,47.97,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2018-05-20,46.99,46.99,46.99,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.87,46.87,46.87,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2018-05-27,46.99,46.99,46.99,0.0,0.0,47.4,47.4,47.4,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2018-06-03,47.98,47.98,47.98,0.0,0.0,48.29,48.29,48.29,0.0,0.0,47.86,47.86,47.86,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-06-10,46.52,46.52,46.52,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-06-17,44.25,44.25,44.25,0.0,0.0,44.26,44.26,44.26,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-06-24,42.97,42.97,42.97,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-07-01,41.83,41.83,41.83,0.0,0.0,42.52,42.52,42.52,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2018-07-08,42.64,42.64,42.64,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-07-15,41.93,41.93,41.93,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-07-22,43.49,43.49,43.49,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-07-29,42.0,42.0,42.0,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2018-08-05,42.71,42.71,42.71,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-08-12,40.62,40.62,40.62,0.0,0.0,41.65,41.65,41.65,0.0,0.0,40.52,40.52,40.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2018-08-19,42.45,42.45,42.45,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-08-26,42.24,42.24,42.24,0.0,0.0,42.54,42.54,42.54,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-09-02,40.8,40.8,40.8,0.0,0.0,41.27,41.27,41.27,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2018-09-09,41.54,41.54,41.54,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2018-09-16,43.4,43.4,43.4,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-09-23,42.92,42.92,42.92,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.82,42.82,42.82,0.0,0.0
2018-09-30,41.0,41.0,41.0,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-10-07,39.99,39.99,39.99,0.0,0.0,40.16,40.16,40.16,0.0,0.0,39.53,39.53,39.53,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2018-10-14,39.47,39.47,39.47,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2018-10-21,38.81,38.81,38.81,0.0,0.0,39.41,39.41,39.41,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2018-10-28,41.65,41.65,41.65,0.0,0.0,41.95,41.95,41.95,0.0,0.0,40.54,40.54,40.54,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-11-04,39.99,39.99,39.99,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-11-11,41.04,41.04,41.04,0.0,0.0,41.82,41.82,41.82,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2018-11-18,40.21,40.21,40.21,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-11-25,41.62,41.62,41.62,0.0,0.0,42.11,42.11,42.11,0.0,0.0,41.42,41.42,41.42,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-12-02,41.23,41.23,41.23,0.0,0.0,41.49,41.49,41.49,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2018-12-09,41.06,41.06,41.06,0.0,0.0,41.38,41.38,41.38,0.0,0.0,40.98,40.98,40.98,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-12-16,39.19,39.19,39.19,0.0,0.0,39.53,39.53,39.53,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2018-12-23,39.12,39.12,39.12,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2018-12-30,38.96,38.96,38.96,0.0,0.0,39.65,39.65,39.65,0.0,0.0,38.86,38.86,38.86,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2019-01-06,40.28,40.28,40.28,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2019-01-13,41.3,41.3,41.3,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2019-01-20,42.0,42.0,42.0,0.0,0.0,42.37,42.37,42.37,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2019-01-27,42.69,42.69,42.69,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2019-02-03,42.38,42.38,42.38,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2019-02-10,42.57,42.57,42.57,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2019-02-17,44.07,44.07,44.07,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2019-02-24,44.35,44.35,44.35,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2019-03-03,42.68,42.68,42.68,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2019-03-10,44.26,44.26,44.26,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.46,44.46,44.46,0.0,0.0
2019-03-17,44.13,44.13,44.13,0.0,0.0,44.21,44.21,44.21,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.59,43.59,43.59,0.0,0.0
2019-03-24,44.23,44.23,44.23,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2019-03-31,45.74,45.74,45.74,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2019-04-07,45.5,45.5,45.5,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2019-04-14,45.58,45.58,45.58,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2019-04-21,44.54,44.54,44.54,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2019-04-28,44.68,44.68,44.68,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.91,44.91,44.91,0.0,0.0
2019-05-05,41.76,41.76,41.76,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2019-05-12,40.84,40.84,40.84,0.0,0.0,41.22,41.22,41.22,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.97,40.97,40.97,0.0,0.0
