Date,iShares Real Estate 50Etf_Open_average,iShares Real Estate 50Etf_Open_max,iShares Real Estate 50Etf_Open_min,iShares Real Estate 50Etf_Open_volatility,iShares Real Estate 50Etf_Open_change,iShares Real Estate 50Etf_High_average,iShares Real Estate 50Etf_High_max,iShares Real Estate 50Etf_High_min,iShares Real Estate 50Etf_High_volatility,iShares Real Estate 50Etf_High_change,iShares Real Estate 50Etf_Low_average,iShares Real Estate 50Etf_Low_max,iShares Real Estate 50Etf_Low_min,iShares Real Estate 50Etf_Low_volatility,iShares Real Estate 50Etf_Low_change,iShares Real Estate 50Etf_Close_average,iShares Real Estate 50Etf_Close_max,iShares Real Estate 50Etf_Close_min,iShares Real Estate 50Etf_Close_volatility,iShares Real Estate 50Etf_Close_change
2018-01-14,47.0,47.0,47.0,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-01-21,47.98,47.98,47.98,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2018-01-28,46.6,46.6,46.6,0.0,0.0,46.6,46.6,46.6,0.0,0.0,45.65,45.65,45.65,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-02-04,43.46,43.46,43.46,0.0,0.0,44.7,44.7,44.7,0.0,0.0,43.2,43.2,43.2,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2018-02-11,44.74,44.74,44.74,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.74,44.74,44.74,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-02-18,44.32,44.32,44.32,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-02-25,43.9,43.9,43.9,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-03-04,45.05,45.05,45.05,0.0,0.0,45.17,45.17,45.17,0.0,0.0,44.7,44.7,44.7,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2018-03-11,45.49,45.49,45.49,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2018-03-18,44.13,44.13,44.13,0.0,0.0,44.21,44.21,44.21,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-03-25,45.22,45.22,45.22,0.0,0.0,45.31,45.31,45.31,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2018-04-01,45.17,45.17,45.17,0.0,0.0,45.53,45.53,45.53,0.0,0.0,44.88,44.88,44.88,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-04-08,44.4,44.4,44.4,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-04-15,44.78,44.78,44.78,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2018-04-22,45.0,45.0,45.0,0.0,0.0,46.07,46.07,46.07,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.94,45.94,45.94,0.0,0.0
