Date,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_change
2018-01-14,67.87,67.87,67.87,0.0,0.0,67.87,67.87,67.87,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.84,67.84,67.84,0.0,0.0
2018-01-21,69.65,69.65,69.65,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2018-01-28,67.06,67.06,67.06,0.0,0.0,67.48,67.48,67.48,0.0,0.0,66.97,66.97,66.97,0.0,0.0,67.02,67.02,67.02,0.0,0.0
2018-02-04,63.81,63.81,63.81,0.0,0.0,63.92,63.92,63.92,0.0,0.0,62.62,62.62,62.62,0.0,0.0,63.92,63.92,63.92,0.0,0.0
2018-02-11,66.6,66.6,66.6,0.0,0.0,67.48,67.48,67.48,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.96,66.96,66.96,0.0,0.0
2018-02-18,66.38,66.38,66.38,0.0,0.0,67.19,67.19,67.19,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.91,66.91,66.91,0.0,0.0
2018-02-25,64.73,64.73,64.73,0.0,0.0,65.41,65.41,65.41,0.0,0.0,64.5,64.5,64.5,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2018-03-04,66.68,66.68,66.68,0.0,0.0,67.24,67.24,67.24,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-03-11,66.24,66.24,66.24,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2018-03-18,65.22,65.22,65.22,0.0,0.0,65.53,65.53,65.53,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2018-03-25,65.34,65.34,65.34,0.0,0.0,65.92,65.92,65.92,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.55,65.55,65.55,0.0,0.0
2018-04-01,64.89,64.89,64.89,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2018-04-08,64.86,64.86,64.86,0.0,0.0,65.25,65.25,65.25,0.0,0.0,64.86,64.86,64.86,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2018-04-15,64.78,64.78,64.78,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.74,64.74,64.74,0.0,0.0,64.75,64.75,64.75,0.0,0.0
2018-04-22,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.13,64.13,64.13,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-04-29,63.21,63.21,63.21,0.0,0.0,63.84,63.84,63.84,0.0,0.0,63.21,63.21,63.21,0.0,0.0,63.81,63.81,63.81,0.0,0.0
