Date,GraniteShares HIPS US High IncomeEtf_Open_average,GraniteShares HIPS US High IncomeEtf_Open_max,GraniteShares HIPS US High IncomeEtf_Open_min,GraniteShares HIPS US High IncomeEtf_Open_volatility,GraniteShares HIPS US High IncomeEtf_Open_change,GraniteShares HIPS US High IncomeEtf_High_average,GraniteShares HIPS US High IncomeEtf_High_max,GraniteShares HIPS US High IncomeEtf_High_min,GraniteShares HIPS US High IncomeEtf_High_volatility,GraniteShares HIPS US High IncomeEtf_High_change,GraniteShares HIPS US High IncomeEtf_Low_average,GraniteShares HIPS US High IncomeEtf_Low_max,GraniteShares HIPS US High IncomeEtf_Low_min,GraniteShares HIPS US High IncomeEtf_Low_volatility,GraniteShares HIPS US High IncomeEtf_Low_change,GraniteShares HIPS US High IncomeEtf_Close_average,GraniteShares HIPS US High IncomeEtf_Close_max,GraniteShares HIPS US High IncomeEtf_Close_min,GraniteShares HIPS US High IncomeEtf_Close_volatility,GraniteShares HIPS US High IncomeEtf_Close_change
2018-01-14,17.88,17.88,17.88,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2018-01-21,18.01,18.01,18.01,0.0,0.0,18.06,18.06,18.06,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-01-28,17.62,17.62,17.62,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2018-02-04,16.32,16.32,16.32,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2018-02-11,16.94,16.94,16.94,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2018-02-18,16.69,16.69,16.69,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-02-25,16.04,16.04,16.04,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-03-04,16.5,16.5,16.5,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.66,16.66,16.66,0.0,0.0
2018-03-11,16.49,16.49,16.49,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-03-18,15.98,15.98,15.98,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-03-25,16.19,16.19,16.19,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-04-01,16.25,16.25,16.25,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2018-04-08,16.26,16.26,16.26,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2018-04-15,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2018-04-22,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-04-29,16.69,16.69,16.69,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.66,16.66,16.66,0.0,0.0
2018-05-06,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-05-13,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-05-20,16.88,16.88,16.88,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.91,16.91,16.91,0.0,0.0
