Date,iShares MSCI ACWIEtf_Open_average,iShares MSCI ACWIEtf_Open_max,iShares MSCI ACWIEtf_Open_min,iShares MSCI ACWIEtf_Open_volatility,iShares MSCI ACWIEtf_Open_change,iShares MSCI ACWIEtf_High_average,iShares MSCI ACWIEtf_High_max,iShares MSCI ACWIEtf_High_min,iShares MSCI ACWIEtf_High_volatility,iShares MSCI ACWIEtf_High_change,iShares MSCI ACWIEtf_Low_average,iShares MSCI ACWIEtf_Low_max,iShares MSCI ACWIEtf_Low_min,iShares MSCI ACWIEtf_Low_volatility,iShares MSCI ACWIEtf_Low_change,iShares MSCI ACWIEtf_Close_average,iShares MSCI ACWIEtf_Close_max,iShares MSCI ACWIEtf_Close_min,iShares MSCI ACWIEtf_Close_volatility,iShares MSCI ACWIEtf_Close_change
2018-01-14,75.8,75.8,75.8,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.63,75.63,75.63,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2018-01-21,77.05,77.05,77.05,0.0,0.0,77.54,77.54,77.54,0.0,0.0,76.95,76.95,76.95,0.0,0.0,77.54,77.54,77.54,0.0,0.0
2018-01-28,75.5,75.5,75.5,0.0,0.0,75.59,75.59,75.59,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-02-04,70.48,70.48,70.48,0.0,0.0,71.06,71.06,71.06,0.0,0.0,68.52,68.52,68.52,0.0,0.0,70.64,70.64,70.64,0.0,0.0
2018-02-11,73.58,73.58,73.58,0.0,0.0,74.36,74.36,74.36,0.0,0.0,73.58,73.58,73.58,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2018-02-18,73.52,73.52,73.52,0.0,0.0,74.01,74.01,74.01,0.0,0.0,73.37,73.37,73.37,0.0,0.0,73.99,73.99,73.99,0.0,0.0
2018-02-25,71.41,71.41,71.41,0.0,0.0,72.32,72.32,72.32,0.0,0.0,71.16,71.16,71.16,0.0,0.0,72.21,72.21,72.21,0.0,0.0
2018-03-04,73.68,73.68,73.68,0.0,0.0,74.34,74.34,74.34,0.0,0.0,73.6,73.6,73.6,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2018-03-11,73.69,73.69,73.69,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2018-03-18,71.42,71.42,71.42,0.0,0.0,71.61,71.61,71.61,0.0,0.0,70.05,70.05,70.05,0.0,0.0,70.09,70.09,70.09,0.0,0.0
2018-03-25,71.09,71.09,71.09,0.0,0.0,72.01,72.01,72.01,0.0,0.0,70.97,70.97,70.97,0.0,0.0,71.7,71.7,71.7,0.0,0.0
2018-04-01,71.61,71.61,71.61,0.0,0.0,71.95,71.95,71.95,0.0,0.0,70.44,70.44,70.44,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2018-04-08,72.66,72.66,72.66,0.0,0.0,72.73,72.73,72.73,0.0,0.0,71.98,71.98,71.98,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-04-15,72.91,72.91,72.91,0.0,0.0,72.91,72.91,72.91,0.0,0.0,72.25,72.25,72.25,0.0,0.0,72.46,72.46,72.46,0.0,0.0
2018-04-22,72.45,72.45,72.45,0.0,0.0,72.51,72.51,72.51,0.0,0.0,72.12,72.12,72.12,0.0,0.0,72.41,72.41,72.41,0.0,0.0
2018-04-29,71.18,71.18,71.18,0.0,0.0,72.41,72.41,72.41,0.0,0.0,71.15,71.15,71.15,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-05-06,73.67,73.67,73.67,0.0,0.0,73.81,73.81,73.81,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2018-05-13,73.22,73.22,73.22,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.05,73.05,73.05,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-05-20,72.9,72.9,72.9,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.79,72.79,72.79,0.0,0.0,72.91,72.91,72.91,0.0,0.0
2018-05-27,72.82,72.82,72.82,0.0,0.0,73.1,73.1,73.1,0.0,0.0,72.73,72.73,72.73,0.0,0.0,73.08,73.08,73.08,0.0,0.0
2018-06-03,73.65,73.65,73.65,0.0,0.0,74.01,74.01,74.01,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.95,73.95,73.95,0.0,0.0
2018-06-10,73.56,73.56,73.56,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.28,73.28,73.28,0.0,0.0,73.63,73.63,73.63,0.0,0.0
2018-06-17,72.22,72.22,72.22,0.0,0.0,72.29,72.29,72.29,0.0,0.0,71.94,71.94,71.94,0.0,0.0,72.02,72.02,72.02,0.0,0.0
2018-06-24,71.28,71.28,71.28,0.0,0.0,71.58,71.58,71.58,0.0,0.0,71.12,71.12,71.12,0.0,0.0,71.12,71.12,71.12,0.0,0.0
2018-07-01,71.43,71.43,71.43,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.88,71.88,71.88,0.0,0.0
2018-07-08,72.51,72.51,72.51,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.36,72.36,72.36,0.0,0.0,72.66,72.66,72.66,0.0,0.0
2018-07-15,72.65,72.65,72.65,0.0,0.0,72.91,72.91,72.91,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.79,72.79,72.79,0.0,0.0
2018-07-22,73.75,73.75,73.75,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.13,73.13,73.13,0.0,0.0,73.35,73.35,73.35,0.0,0.0
2018-07-29,73.1,73.1,73.1,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.05,73.05,73.05,0.0,0.0,73.37,73.37,73.37,0.0,0.0
2018-08-05,72.72,72.72,72.72,0.0,0.0,72.82,72.82,72.82,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.65,72.65,72.65,0.0,0.0
2018-08-12,72.18,72.18,72.18,0.0,0.0,72.74,72.74,72.74,0.0,0.0,72.06,72.06,72.06,0.0,0.0,72.56,72.56,72.56,0.0,0.0
2018-08-19,73.22,73.22,73.22,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.22,73.22,73.22,0.0,0.0,73.49,73.49,73.49,0.0,0.0
2018-08-26,73.81,73.81,73.81,0.0,0.0,74.09,74.09,74.09,0.0,0.0,73.57,73.57,73.57,0.0,0.0,73.81,73.81,73.81,0.0,0.0
2018-09-02,72.39,72.39,72.39,0.0,0.0,72.72,72.72,72.72,0.0,0.0,72.26,72.26,72.26,0.0,0.0,72.44,72.44,72.44,0.0,0.0
2018-09-09,73.51,73.51,73.51,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.28,73.28,73.28,0.0,0.0,73.48,73.48,73.48,0.0,0.0
2018-09-16,74.8,74.8,74.8,0.0,0.0,74.89,74.89,74.89,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.69,74.69,74.69,0.0,0.0
2018-09-23,74.16,74.16,74.16,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.26,74.26,74.26,0.0,0.0
2018-09-30,73.3,73.3,73.3,0.0,0.0,73.42,73.42,73.42,0.0,0.0,72.53,72.53,72.53,0.0,0.0,72.95,72.95,72.95,0.0,0.0
2018-10-07,70.49,70.49,70.49,0.0,0.0,70.49,70.49,70.49,0.0,0.0,69.34,69.34,69.34,0.0,0.0,70.23,70.23,70.23,0.0,0.0
2018-10-14,70.24,70.24,70.24,0.0,0.0,70.71,70.71,70.71,0.0,0.0,69.91,69.91,69.91,0.0,0.0,70.07,70.07,70.07,0.0,0.0
2018-10-21,67.36,67.36,67.36,0.0,0.0,68.15,68.15,68.15,0.0,0.0,66.63,66.63,66.63,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2018-10-28,70.19,70.19,70.19,0.0,0.0,70.31,70.31,70.31,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.57,69.57,69.57,0.0,0.0
2018-11-04,70.35,70.35,70.35,0.0,0.0,70.37,70.37,70.37,0.0,0.0,69.75,69.75,69.75,0.0,0.0,70.18,70.18,70.18,0.0,0.0
2018-11-11,69.02,69.02,69.02,0.0,0.0,69.73,69.73,69.73,0.0,0.0,68.92,68.92,68.92,0.0,0.0,69.58,69.58,69.58,0.0,0.0
2018-11-18,67.37,67.37,67.37,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.45,67.45,67.45,0.0,0.0
2018-11-25,69.5,69.5,69.5,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-12-02,68.33,68.33,68.33,0.0,0.0,68.76,68.76,68.76,0.0,0.0,66.95,66.95,66.95,0.0,0.0,67.14,67.14,67.14,0.0,0.0
2018-12-09,67.0,67.0,67.0,0.0,0.0,67.25,67.25,67.25,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.59,66.59,66.59,0.0,0.0
2018-12-16,63.44,63.44,63.44,0.0,0.0,64.06,64.06,64.06,0.0,0.0,62.15,62.15,62.15,0.0,0.0,62.29,62.29,62.29,0.0,0.0
2018-12-23,64.08,64.08,64.08,0.0,0.0,64.47,64.47,64.47,0.0,0.0,63.58,63.58,63.58,0.0,0.0,63.85,63.85,63.85,0.0,0.0
