Date,BASIStock_Open_average,BASIStock_Open_max,BASIStock_Open_min,BASIStock_Open_volatility,BASIStock_Open_change,BASIStock_High_average,BASIStock_High_max,BASIStock_High_min,BASIStock_High_volatility,BASIStock_High_change,BASIStock_Low_average,BASIStock_Low_max,BASIStock_Low_min,BASIStock_Low_volatility,BASIStock_Low_change,BASIStock_Close_average,BASIStock_Close_max,BASIStock_Close_min,BASIStock_Close_volatility,BASIStock_Close_change,BASIStock_Volume_average,BASIStock_Volume_max,BASIStock_Volume_min,BASIStock_Volume_volatility,BASIStock_Volume_change
2018-01-14,2.215,2.4,2.1,0.2999999999999998,-0.21999999999999975,2.285,2.4,2.18,0.21999999999999975,-0.21999999999999975,2.09,2.15,2.01,0.14000000000000012,0.0900000000000003,2.18,2.2,2.17,0.03000000000000025,0.0,53374,142753,21974,120779,-120779
2018-01-21,2.068,2.13,1.99,0.1399999999999999,-0.1399999999999999,2.11,2.18,2.07,0.11000000000000032,-0.0900000000000003,1.992,2.1,1.81,0.29000000000000004,-0.1200000000000001,2.058,2.13,1.97,0.15999999999999992,-0.04999999999999982,31455,87726,14295,73431,-2736
2018-01-28,2.05,2.11,1.97,0.1399999999999999,0.029999999999999805,2.122,2.17,2.1,0.06999999999999984,-0.010000000000000231,1.98,2.03,1.94,0.08999999999999986,-0.020000000000000018,2.026,2.11,1.96,0.1499999999999999,-0.040000000000000036,19766,46532,5806,40726,30858
2018-02-04,1.964,2.0,1.94,0.06000000000000005,0.040000000000000036,2.036,2.1,1.99,0.1100000000000001,-0.05999999999999983,1.932,1.94,1.9,0.040000000000000036,-0.040000000000000036,1.938,1.96,1.9,0.06000000000000005,-0.040000000000000036,18871,45020,1688,43332,20652
2018-02-11,1.656,1.9,1.45,0.44999999999999996,-0.44999999999999996,1.744,1.95,1.5,0.44999999999999996,-0.21999999999999997,1.528,1.89,1.37,0.5199999999999998,-0.48,1.604,1.89,1.43,0.45999999999999996,-0.30999999999999983,63390,89602,36616,52986,-22101
2018-02-18,1.5875,1.67,1.54,0.1299999999999999,0.11999999999999988,1.6525,1.69,1.62,0.06999999999999984,0.06999999999999984,1.55,1.6,1.5,0.10000000000000009,0.10000000000000009,1.6225,1.69,1.57,0.11999999999999988,0.11999999999999988,69730,215564,9231,206333,-26540
2018-02-25,1.652,1.7,1.59,0.10999999999999988,-0.08999999999999986,1.672,1.72,1.61,0.10999999999999988,-0.06000000000000005,1.612,1.66,1.58,0.07999999999999985,-0.04999999999999982,1.634,1.69,1.6,0.08999999999999986,0.0,17568,32819,7961,24858,4550
2018-03-04,1.678,1.69,1.66,0.030000000000000027,0.010000000000000009,1.69,1.7,1.68,0.020000000000000018,0.020000000000000018,1.644,1.69,1.6,0.08999999999999986,0.08999999999999986,1.658,1.69,1.62,0.06999999999999984,0.06000000000000005,10497,20939,5264,15675,-15675
2018-03-11,1.664,1.69,1.6,0.08999999999999986,-0.08999999999999986,1.7,1.75,1.67,0.08000000000000007,-0.050000000000000044,1.638,1.67,1.6,0.06999999999999984,-0.06999999999999984,1.668,1.7,1.6,0.09999999999999987,0.030000000000000027,10433,19680,1421,18259,-10389
2018-03-18,1.6280000000000001,1.68,1.6,0.07999999999999985,-0.07999999999999985,1.676,1.73,1.64,0.09000000000000008,-0.040000000000000036,1.598,1.6,1.59,0.010000000000000009,0.0,1.634,1.65,1.62,0.029999999999999805,0.019999999999999796,10476,22630,3366,19264,-5351
