Date,First Trust NASDAQ Rising Dividend AchieversEtf_Open_average,First Trust NASDAQ Rising Dividend AchieversEtf_Open_max,First Trust NASDAQ Rising Dividend AchieversEtf_Open_min,First Trust NASDAQ Rising Dividend AchieversEtf_Open_volatility,First Trust NASDAQ Rising Dividend AchieversEtf_Open_change,First Trust NASDAQ Rising Dividend AchieversEtf_High_average,First Trust NASDAQ Rising Dividend AchieversEtf_High_max,First Trust NASDAQ Rising Dividend AchieversEtf_High_min,First Trust NASDAQ Rising Dividend AchieversEtf_High_volatility,First Trust NASDAQ Rising Dividend AchieversEtf_High_change,First Trust NASDAQ Rising Dividend AchieversEtf_Low_average,First Trust NASDAQ Rising Dividend AchieversEtf_Low_max,First Trust NASDAQ Rising Dividend AchieversEtf_Low_min,First Trust NASDAQ Rising Dividend AchieversEtf_Low_volatility,First Trust NASDAQ Rising Dividend AchieversEtf_Low_change,First Trust NASDAQ Rising Dividend AchieversEtf_Close_average,First Trust NASDAQ Rising Dividend AchieversEtf_Close_max,First Trust NASDAQ Rising Dividend AchieversEtf_Close_min,First Trust NASDAQ Rising Dividend AchieversEtf_Close_volatility,First Trust NASDAQ Rising Dividend AchieversEtf_Close_change
2018-01-14,31.27,31.27,31.27,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-01-21,31.61,31.61,31.61,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-01-28,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2018-02-04,29.25,29.25,29.25,0.0,0.0,29.53,29.53,29.53,0.0,0.0,28.41,28.41,28.41,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-02-11,30.7,30.7,30.7,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-02-18,30.7,30.7,30.7,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-02-25,30.05,30.05,30.05,0.0,0.0,30.48,30.48,30.48,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-03-04,31.09,31.09,31.09,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-03-11,30.86,30.86,30.86,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-03-18,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.95,28.95,28.95,0.0,0.0
