Date,Janus Small Cap Growth AlphaEtf_Open_average,Janus Small Cap Growth AlphaEtf_Open_max,Janus Small Cap Growth AlphaEtf_Open_min,Janus Small Cap Growth AlphaEtf_Open_volatility,Janus Small Cap Growth AlphaEtf_Open_change,Janus Small Cap Growth AlphaEtf_High_average,Janus Small Cap Growth AlphaEtf_High_max,Janus Small Cap Growth AlphaEtf_High_min,Janus Small Cap Growth AlphaEtf_High_volatility,Janus Small Cap Growth AlphaEtf_High_change,Janus Small Cap Growth AlphaEtf_Low_average,Janus Small Cap Growth AlphaEtf_Low_max,Janus Small Cap Growth AlphaEtf_Low_min,Janus Small Cap Growth AlphaEtf_Low_volatility,Janus Small Cap Growth AlphaEtf_Low_change,Janus Small Cap Growth AlphaEtf_Close_average,Janus Small Cap Growth AlphaEtf_Close_max,Janus Small Cap Growth AlphaEtf_Close_min,Janus Small Cap Growth AlphaEtf_Close_volatility,Janus Small Cap Growth AlphaEtf_Close_change
2018-01-14,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-01-21,38.5,38.5,38.5,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2018-01-28,37.42,37.42,37.42,0.0,0.0,37.87,37.87,37.87,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-02-04,35.68,35.68,35.68,0.0,0.0,35.68,35.68,35.68,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-02-11,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-18,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-02-25,36.95,36.95,36.95,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-03-04,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-03-11,38.63,38.63,38.63,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2018-03-18,37.4,37.4,37.4,0.0,0.0,37.4,37.4,37.4,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-03-25,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-04-01,36.91,36.91,36.91,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-04-08,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-04-15,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-04-22,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-04-29,37.28,37.28,37.28,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-05-06,39.11,39.11,39.11,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-05-13,39.8,39.8,39.8,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.79,39.79,39.79,0.0,0.0
