Date,Vanguard S&P Small Cap 600 ValueEtf_Open_average,Vanguard S&P Small Cap 600 ValueEtf_Open_max,Vanguard S&P Small Cap 600 ValueEtf_Open_min,Vanguard S&P Small Cap 600 ValueEtf_Open_volatility,Vanguard S&P Small Cap 600 ValueEtf_Open_change,Vanguard S&P Small Cap 600 ValueEtf_High_average,Vanguard S&P Small Cap 600 ValueEtf_High_max,Vanguard S&P Small Cap 600 ValueEtf_High_min,Vanguard S&P Small Cap 600 ValueEtf_High_volatility,Vanguard S&P Small Cap 600 ValueEtf_High_change,Vanguard S&P Small Cap 600 ValueEtf_Low_average,Vanguard S&P Small Cap 600 ValueEtf_Low_max,Vanguard S&P Small Cap 600 ValueEtf_Low_min,Vanguard S&P Small Cap 600 ValueEtf_Low_volatility,Vanguard S&P Small Cap 600 ValueEtf_Low_change,Vanguard S&P Small Cap 600 ValueEtf_Close_average,Vanguard S&P Small Cap 600 ValueEtf_Close_max,Vanguard S&P Small Cap 600 ValueEtf_Close_min,Vanguard S&P Small Cap 600 ValueEtf_Close_volatility,Vanguard S&P Small Cap 600 ValueEtf_Close_change
2018-01-14,135.09,135.09,135.09,0.0,0.0,137.33,137.33,137.33,0.0,0.0,135.09,135.09,135.09,0.0,0.0,137.14,137.14,137.14,0.0,0.0
2018-01-21,137.4,137.4,137.4,0.0,0.0,137.4,137.4,137.4,0.0,0.0,136.61,136.61,136.61,0.0,0.0,137.26,137.26,137.26,0.0,0.0
2018-01-28,133.95,133.95,133.95,0.0,0.0,133.95,133.95,133.95,0.0,0.0,131.75,131.75,131.75,0.0,0.0,131.75,131.75,131.75,0.0,0.0
2018-02-04,126.89,126.89,126.89,0.0,0.0,126.89,126.89,126.89,0.0,0.0,123.73,123.73,123.73,0.0,0.0,126.64,126.64,126.64,0.0,0.0
2018-02-11,131.16,131.16,131.16,0.0,0.0,132.88,132.88,132.88,0.0,0.0,131.16,131.16,131.16,0.0,0.0,132.13,132.13,132.13,0.0,0.0
2018-02-18,131.7,131.7,131.7,0.0,0.0,132.09,132.09,132.09,0.0,0.0,131.1,131.1,131.1,0.0,0.0,132.01,132.01,132.01,0.0,0.0
2018-02-25,127.36,127.36,127.36,0.0,0.0,129.75,129.75,129.75,0.0,0.0,126.88,126.88,126.88,0.0,0.0,129.71,129.71,129.71,0.0,0.0
2018-03-04,133.38,133.38,133.38,0.0,0.0,134.61,134.61,134.61,0.0,0.0,133.18,133.18,133.18,0.0,0.0,134.61,134.61,134.61,0.0,0.0
2018-03-11,133.66,133.66,133.66,0.0,0.0,135.04,135.04,135.04,0.0,0.0,133.66,133.66,133.66,0.0,0.0,135.02,135.02,135.02,0.0,0.0
2018-03-18,131.29,131.29,131.29,0.0,0.0,131.4,131.4,131.4,0.0,0.0,128.28,128.28,128.28,0.0,0.0,128.29,128.29,128.29,0.0,0.0
2018-03-25,129.83,129.83,129.83,0.0,0.0,130.93,130.93,130.93,0.0,0.0,129.83,129.83,129.83,0.0,0.0,130.31,130.31,130.31,0.0,0.0
2018-04-01,131.41,131.41,131.41,0.0,0.0,131.94,131.94,131.94,0.0,0.0,129.59,129.59,129.59,0.0,0.0,129.95,129.95,129.95,0.0,0.0
2018-04-08,133.61,133.61,133.61,0.0,0.0,133.61,133.61,133.61,0.0,0.0,132.32,132.32,132.32,0.0,0.0,132.76,132.76,132.76,0.0,0.0
2018-04-15,134.42,134.42,134.42,0.0,0.0,134.42,134.42,134.42,0.0,0.0,133.77,133.77,133.77,0.0,0.0,133.78,133.78,133.78,0.0,0.0
2018-04-22,133.86,133.86,133.86,0.0,0.0,134.0,134.0,134.0,0.0,0.0,133.15,133.15,133.15,0.0,0.0,133.57,133.57,133.57,0.0,0.0
2018-04-29,131.74,131.74,131.74,0.0,0.0,134.2,134.2,134.2,0.0,0.0,131.74,131.74,131.74,0.0,0.0,133.61,133.61,133.61,0.0,0.0
2018-05-06,137.31,137.31,137.31,0.0,0.0,137.81,137.81,137.81,0.0,0.0,137.07,137.07,137.07,0.0,0.0,137.42,137.42,137.42,0.0,0.0
2018-05-13,140.47,140.47,140.47,0.0,0.0,140.47,140.47,140.47,0.0,0.0,139.61,139.61,139.61,0.0,0.0,140.03,140.03,140.03,0.0,0.0
2018-05-20,139.77,139.77,139.77,0.0,0.0,140.09,140.09,140.09,0.0,0.0,139.47,139.47,139.47,0.0,0.0,139.96,139.96,139.96,0.0,0.0
