Date,ProShares UltraShort Basic MaterialsEtf_Open_average,ProShares UltraShort Basic MaterialsEtf_Open_max,ProShares UltraShort Basic MaterialsEtf_Open_min,ProShares UltraShort Basic MaterialsEtf_Open_volatility,ProShares UltraShort Basic MaterialsEtf_Open_change,ProShares UltraShort Basic MaterialsEtf_High_average,ProShares UltraShort Basic MaterialsEtf_High_max,ProShares UltraShort Basic MaterialsEtf_High_min,ProShares UltraShort Basic MaterialsEtf_High_volatility,ProShares UltraShort Basic MaterialsEtf_High_change,ProShares UltraShort Basic MaterialsEtf_Low_average,ProShares UltraShort Basic MaterialsEtf_Low_max,ProShares UltraShort Basic MaterialsEtf_Low_min,ProShares UltraShort Basic MaterialsEtf_Low_volatility,ProShares UltraShort Basic MaterialsEtf_Low_change,ProShares UltraShort Basic MaterialsEtf_Close_average,ProShares UltraShort Basic MaterialsEtf_Close_max,ProShares UltraShort Basic MaterialsEtf_Close_min,ProShares UltraShort Basic MaterialsEtf_Close_volatility,ProShares UltraShort Basic MaterialsEtf_Close_change
2018-01-14,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-01-21,23.76,23.76,23.76,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-01-28,25.66,25.66,25.66,0.0,0.0,26.68,26.68,26.68,0.0,0.0,25.44,25.44,25.44,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-02-04,28.7,28.7,28.7,0.0,0.0,29.9,29.9,29.9,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-02-11,26.14,26.14,26.14,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-02-18,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-02-25,27.5,27.5,27.5,0.0,0.0,27.68,27.68,27.68,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-03-04,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2018-03-11,26.74,26.74,26.74,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-03-18,28.82,28.82,28.82,0.0,0.0,29.92,29.92,29.92,0.0,0.0,28.3,28.3,28.3,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-03-25,29.67,29.67,29.67,0.0,0.0,29.67,29.67,29.67,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-04-01,28.29,28.29,28.29,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.01,28.01,28.01,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-04-08,26.6,26.6,26.6,0.0,0.0,27.18,27.18,27.18,0.0,0.0,26.6,26.6,26.6,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-04-15,25.86,25.86,25.86,0.0,0.0,26.26,26.26,26.26,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-04-22,27.0,27.0,27.0,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-04-29,27.82,27.82,27.82,0.0,0.0,27.9,27.9,27.9,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-05-06,25.68,25.68,25.68,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-05-13,24.98,24.98,24.98,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-05-20,25.62,25.62,25.62,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.62,25.62,25.62,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-05-27,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-06-03,24.27,24.27,24.27,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-06-10,25.0,25.0,25.0,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2018-06-17,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-06-24,26.33,26.33,26.33,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-07-01,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2018-07-08,25.41,25.41,25.41,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-07-15,26.1,26.1,26.1,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-07-22,24.91,24.91,24.91,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.91,24.91,24.91,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-07-29,25.41,25.41,25.41,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-08-05,25.14,25.14,25.14,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-08-12,26.36,26.36,26.36,0.0,0.0,26.39,26.39,26.39,0.0,0.0,25.92,25.92,25.92,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-08-19,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-08-26,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,24.82,24.82,24.82,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-09-02,25.84,25.84,25.84,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-09-09,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-09-16,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-09-23,26.17,26.17,26.17,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-09-30,26.46,26.46,26.46,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-10-07,29.33,29.33,29.33,0.0,0.0,30.47,30.47,30.47,0.0,0.0,29.31,29.31,29.31,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-10-14,30.5,30.5,30.5,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-10-21,34.37,34.37,34.37,0.0,0.0,34.69,34.69,34.69,0.0,0.0,33.31,33.31,33.31,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-10-28,29.73,29.73,29.73,0.0,0.0,30.68,30.68,30.68,0.0,0.0,29.73,29.73,29.73,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-11-04,29.01,29.01,29.01,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-11-11,29.8,29.8,29.8,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-11-18,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-11-25,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-12-02,31.5,31.5,31.5,0.0,0.0,34.04,34.04,34.04,0.0,0.0,31.35,31.35,31.35,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-12-09,34.17,34.17,34.17,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-12-16,36.7,36.7,36.7,0.0,0.0,37.74,37.74,37.74,0.0,0.0,35.59,35.59,35.59,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2018-12-23,34.79,34.79,34.79,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.28,34.28,34.28,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-12-30,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2019-01-06,32.15,32.15,32.15,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2019-01-13,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-01-20,30.97,30.97,30.97,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2019-01-27,30.17,30.17,30.17,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2019-02-03,31.54,31.54,31.54,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2019-02-10,29.2,29.2,29.2,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.37,29.37,29.37,0.0,0.0
