Date,Direxion Daily Financial Bear 3X SharesEtf_Open_average,Direxion Daily Financial Bear 3X SharesEtf_Open_max,Direxion Daily Financial Bear 3X SharesEtf_Open_min,Direxion Daily Financial Bear 3X SharesEtf_Open_volatility,Direxion Daily Financial Bear 3X SharesEtf_Open_change,Direxion Daily Financial Bear 3X SharesEtf_High_average,Direxion Daily Financial Bear 3X SharesEtf_High_max,Direxion Daily Financial Bear 3X SharesEtf_High_min,Direxion Daily Financial Bear 3X SharesEtf_High_volatility,Direxion Daily Financial Bear 3X SharesEtf_High_change,Direxion Daily Financial Bear 3X SharesEtf_Low_average,Direxion Daily Financial Bear 3X SharesEtf_Low_max,Direxion Daily Financial Bear 3X SharesEtf_Low_min,Direxion Daily Financial Bear 3X SharesEtf_Low_volatility,Direxion Daily Financial Bear 3X SharesEtf_Low_change,Direxion Daily Financial Bear 3X SharesEtf_Close_average,Direxion Daily Financial Bear 3X SharesEtf_Close_max,Direxion Daily Financial Bear 3X SharesEtf_Close_min,Direxion Daily Financial Bear 3X SharesEtf_Close_volatility,Direxion Daily Financial Bear 3X SharesEtf_Close_change
2018-01-14,52.6,52.6,52.6,0.0,0.0,52.8,52.8,52.8,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-01-21,49.2,49.2,49.2,0.0,0.0,49.95,49.95,49.95,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-01-28,50.45,50.45,50.45,0.0,0.0,53.1,53.1,53.1,0.0,0.0,50.38,50.38,50.38,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2018-02-04,61.25,61.25,61.25,0.0,0.0,66.95,66.95,66.95,0.0,0.0,59.15,59.15,59.15,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-02-11,53.7,53.7,53.7,0.0,0.0,53.85,53.85,53.85,0.0,0.0,52.08,52.08,52.08,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-02-18,54.4,54.4,54.4,0.0,0.0,54.6,54.6,54.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2018-02-25,57.5,57.5,57.5,0.0,0.0,58.7,58.7,58.7,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-03-04,51.15,51.15,51.15,0.0,0.0,51.58,51.58,51.58,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-03-11,51.5,51.5,51.5,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.38,50.38,50.38,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-03-18,56.9,56.9,56.9,0.0,0.0,61.8,61.8,61.8,0.0,0.0,56.15,56.15,56.15,0.0,0.0,61.5,61.5,61.5,0.0,0.0
2018-03-25,57.85,57.85,57.85,0.0,0.0,58.5,58.5,58.5,0.0,0.0,55.6,55.6,55.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2018-04-01,56.8,56.8,56.8,0.0,0.0,59.95,59.95,59.95,0.0,0.0,55.7,55.7,55.7,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-04-08,53.85,53.85,53.85,0.0,0.0,57.95,57.95,57.95,0.0,0.0,53.85,53.85,53.85,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-04-15,54.75,54.75,54.75,0.0,0.0,55.83,55.83,55.83,0.0,0.0,54.17,54.17,54.17,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-04-22,55.75,55.75,55.75,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-04-29,59.0,59.0,59.0,0.0,0.0,59.35,59.35,59.35,0.0,0.0,55.38,55.38,55.38,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2018-05-06,51.15,51.15,51.15,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-05-13,52.4,52.4,52.4,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.4,52.4,52.4,0.0,0.0,53.35,53.35,53.35,0.0,0.0
