Date,AIRTStock_Open_average,AIRTStock_Open_max,AIRTStock_Open_min,AIRTStock_Open_volatility,AIRTStock_Open_change,AIRTStock_High_average,AIRTStock_High_max,AIRTStock_High_min,AIRTStock_High_volatility,AIRTStock_High_change,AIRTStock_Low_average,AIRTStock_Low_max,AIRTStock_Low_min,AIRTStock_Low_volatility,AIRTStock_Low_change,AIRTStock_Close_average,AIRTStock_Close_max,AIRTStock_Close_min,AIRTStock_Close_volatility,AIRTStock_Close_change,AIRTStock_Volume_average,AIRTStock_Volume_max,AIRTStock_Volume_min,AIRTStock_Volume_volatility,AIRTStock_Volume_change
2018-01-14,20.3725,20.83,19.7,1.129999999999999,0.35999999999999943,20.9325,21.3,20.66,0.6400000000000006,-0.6400000000000006,19.455,19.88,18.67,1.2099999999999973,0.3099999999999987,20.0625,20.83,19.57,1.259999999999998,0.3099999999999987,2112,3564,1267,2297,660
2018-01-21,20.522000000000002,21.27,19.96,1.3099999999999987,0.620000000000001,20.89,22.0,19.96,2.039999999999999,1.4400000000000013,20.164,21.27,18.88,2.3900000000000006,0.6099999999999994,20.448,22.0,18.88,3.120000000000001,1.870000000000001,1011,2073,484,1589,980
2018-01-28,21.19,22.0,20.07,1.9299999999999997,-1.9299999999999997,21.203333333333333,22.0,20.11,1.8900000000000006,-1.8900000000000006,20.78,21.5,19.34,2.16,-2.16,20.78,21.5,19.34,2.16,-2.16,3506,6637,228,6409,2983
2018-02-04,19.0,19.1,18.8,0.3000000000000007,0.0,19.490000000000002,19.83,19.1,0.7299999999999969,-0.629999999999999,18.252499999999998,18.4,18.0,0.3999999999999986,-0.07000000000000028,19.05,19.7,18.27,1.4299999999999997,-1.4299999999999997,3920,6804,2239,4565,-1663
2018-02-11,17.886,18.13,17.13,1.0,0.0,18.124,18.29,18.0,0.28999999999999915,0.029999999999997584,17.742,18.07,17.07,1.0,0.46999999999999886,18.06,18.29,18.0,0.28999999999999915,0.28999999999999915,2555,4459,318,4141,-756
2018-02-18,17.79,18.0,17.67,0.3299999999999983,-0.029999999999997584,17.79,18.0,17.67,0.3299999999999983,-0.029999999999997584,17.723333333333333,18.0,17.47,0.5300000000000011,-0.23000000000000043,17.723333333333333,18.0,17.47,0.5300000000000011,-0.23000000000000043,1328,1767,1080,687,58
2018-02-25,16.706666666666667,16.73,16.67,0.05999999999999872,-0.05999999999999872,16.753333333333334,16.8,16.72,0.08000000000000185,0.060000000000002274,16.676666666666666,16.73,16.63,0.10000000000000142,-0.05999999999999872,16.68,16.74,16.63,0.10999999999999943,-0.06999999999999673,2697,3775,1456,2319,2319
2018-03-04,17.19,18.0,16.6,1.3999999999999986,1.0300000000000011,18.10333333333333,18.2,18.0,0.1999999999999993,-0.1999999999999993,17.166666666666668,18.0,16.53,1.4699999999999989,1.0300000000000011,18.063333333333333,18.2,17.99,0.21000000000000085,-0.1999999999999993,1220,2104,685,1419,-186
2018-03-11,19.384,25.1,17.87,7.23,-0.11999999999999744,19.392,25.1,17.87,7.23,-0.11999999999999744,19.244,25.1,17.27,7.830000000000002,-0.11999999999999744,19.35,25.1,17.8,7.300000000000001,-0.11999999999999744,1970,6243,0,6243,-912
2018-03-18,17.55,17.66,17.33,0.33000000000000185,0.33000000000000185,17.553333333333335,17.67,17.33,0.3400000000000034,0.33000000000000185,17.21,17.63,16.67,0.9599999999999973,-0.6599999999999966,17.529999999999998,17.63,17.33,0.3000000000000007,0.3000000000000007,2577,4099,165,3934,3304
2018-03-25,16.945,17.27,16.67,0.5999999999999979,-0.3999999999999986,16.9675,17.27,16.73,0.5399999999999991,-0.3999999999999986,16.775,17.26,16.0,1.2600000000000016,-0.39000000000000057,16.950000000000003,17.26,16.67,0.5899999999999999,-0.39000000000000057,2836,9454,219,9235,-538
