Date,KNXStock_Open_average,KNXStock_Open_max,KNXStock_Open_min,KNXStock_Open_volatility,KNXStock_Open_change,KNXStock_High_average,KNXStock_High_max,KNXStock_High_min,KNXStock_High_volatility,KNXStock_High_change,KNXStock_Low_average,KNXStock_Low_max,KNXStock_Low_min,KNXStock_Low_volatility,KNXStock_Low_change,KNXStock_Close_average,KNXStock_Close_max,KNXStock_Close_min,KNXStock_Close_volatility,KNXStock_Close_change,KNXStock_Volume_average,KNXStock_Volume_max,KNXStock_Volume_min,KNXStock_Volume_volatility,KNXStock_Volume_change
2018-01-14,45.18,45.9,44.71,1.1899999999999977,0.5399999999999991,45.739999999999995,46.64,44.73,1.9100000000000037,1.230000000000004,44.57,45.67,43.81,1.8599999999999994,1.3599999999999994,45.3425,46.53,44.38,2.1499999999999986,1.8999999999999986,2042552,2666750,1709020,957730,-108680
2018-01-21,46.442,46.52,46.4,0.12000000000000455,0.060000000000002274,46.716,46.92,46.46,0.46000000000000085,0.14999999999999858,46.028,46.22,45.72,0.5,0.46000000000000085,46.496,46.68,46.31,0.36999999999999744,0.00999999999999801,1049610,1164830,941450,223380,10120
2018-01-28,48.588,51.66,46.2,5.459999999999994,2.1300000000000026,48.85,51.94,46.26,5.68,1.6200000000000045,47.648,49.6,45.31,4.289999999999999,1.6300000000000026,47.854,49.79,45.34,4.449999999999996,1.4099999999999966,4008012,9644110,1368610,8275500,940590
2018-02-04,47.918,48.7,46.75,1.9500000000000028,-0.6999999999999957,48.734,49.25,47.96,1.2899999999999991,-1.0899999999999963,46.864,47.86,45.51,2.3500000000000014,-0.740000000000002,47.794,48.6,47.26,1.3400000000000034,-0.1600000000000037,2996958,3698520,1804330,1894190,-1608130
2018-02-11,48.136,49.09,47.29,1.8000000000000043,1.0900000000000034,48.954,49.57,47.9,1.6700000000000017,1.259999999999998,47.660000000000004,48.26,46.78,1.4799999999999969,1.4799999999999969,48.504,48.76,47.65,1.1099999999999994,1.1000000000000014,1769574,2614900,1172650,1442250,-471920
2018-02-18,48.19,48.45,47.74,0.7100000000000009,-0.13000000000000256,48.6975,48.97,48.42,0.5499999999999972,0.30999999999999517,47.7275,48.05,47.41,0.6400000000000006,0.6400000000000006,48.1225,48.6,47.76,0.8400000000000034,0.8400000000000034,2538280,4019200,1788660,2230540,-485960
2018-02-25,48.54,49.1,48.1,1.0,-0.6400000000000006,49.052,49.5,48.52,0.9799999999999969,-0.8499999999999943,48.07,48.5,47.62,0.8800000000000026,-0.8800000000000026,48.55,49.05,48.16,0.8900000000000006,-0.6199999999999974,1515002,1692340,1119620,572720,1050
2018-03-04,47.956,48.21,47.53,0.6799999999999997,-0.21999999999999886,48.362,49.17,48.01,1.1600000000000037,0.9400000000000048,47.344,47.99,46.86,1.1300000000000026,0.8300000000000054,48.048,49.03,47.56,1.4699999999999989,1.2000000000000028,1740776,2225810,1442500,783310,283130
2018-03-11,49.298,49.57,49.01,0.5600000000000023,0.38000000000000256,49.946,50.23,49.7,0.529999999999994,0.4299999999999997,48.934,49.26,48.69,0.5700000000000003,0.240000000000002,49.322,49.76,48.93,0.8299999999999983,0.5599999999999952,1838230,2316390,1237060,1079330,-176600
2018-03-18,49.368,49.62,48.86,0.759999999999998,-0.759999999999998,49.858,50.35,49.11,1.240000000000002,-1.240000000000002,48.684,49.22,47.28,1.9399999999999977,-1.740000000000002,48.946,49.62,47.34,2.279999999999994,-2.2099999999999937,1645292,2773450,1129620,1643830,1589540
