Date,ProShares Ultra Bloomberg Crude OilEtf_Open_average,ProShares Ultra Bloomberg Crude OilEtf_Open_max,ProShares Ultra Bloomberg Crude OilEtf_Open_min,ProShares Ultra Bloomberg Crude OilEtf_Open_volatility,ProShares Ultra Bloomberg Crude OilEtf_Open_change,ProShares Ultra Bloomberg Crude OilEtf_High_average,ProShares Ultra Bloomberg Crude OilEtf_High_max,ProShares Ultra Bloomberg Crude OilEtf_High_min,ProShares Ultra Bloomberg Crude OilEtf_High_volatility,ProShares Ultra Bloomberg Crude OilEtf_High_change,ProShares Ultra Bloomberg Crude OilEtf_Low_average,ProShares Ultra Bloomberg Crude OilEtf_Low_max,ProShares Ultra Bloomberg Crude OilEtf_Low_min,ProShares Ultra Bloomberg Crude OilEtf_Low_volatility,ProShares Ultra Bloomberg Crude OilEtf_Low_change,ProShares Ultra Bloomberg Crude OilEtf_Close_average,ProShares Ultra Bloomberg Crude OilEtf_Close_max,ProShares Ultra Bloomberg Crude OilEtf_Close_min,ProShares Ultra Bloomberg Crude OilEtf_Close_volatility,ProShares Ultra Bloomberg Crude OilEtf_Close_change
2018-01-14,648.75,648.75,648.75,0.0,0.0,654.75,654.75,654.75,0.0,0.0,642.25,642.25,642.25,0.0,0.0,652.5,652.5,652.5,0.0,0.0
2018-01-21,693.25,693.25,693.25,0.0,0.0,711.5,711.5,711.5,0.0,0.0,692.5,692.5,692.5,0.0,0.0,706.5,706.5,706.5,0.0,0.0
2018-01-28,692.0,692.0,692.0,0.0,0.0,698.5,698.5,698.5,0.0,0.0,671.25,671.25,671.25,0.0,0.0,684.5,684.5,684.5,0.0,0.0
2018-02-04,589.25,589.25,589.25,0.0,0.0,592.25,592.25,592.25,0.0,0.0,543.5,543.5,543.5,0.0,0.0,564.5,564.5,564.5,0.0,0.0
2018-02-11,602.5,602.5,602.5,0.0,0.0,620.0,620.0,620.0,0.0,0.0,598.5,598.5,598.5,0.0,0.0,614.0,614.0,614.0,0.0,0.0
2018-02-18,641.0,641.0,641.0,0.0,0.0,661.0,661.0,661.0,0.0,0.0,639.0,639.0,639.0,0.0,0.0,658.25,658.25,658.25,0.0,0.0
2018-02-25,600.5,600.5,600.5,0.0,0.0,615.25,615.25,615.25,0.0,0.0,589.25,589.25,589.25,0.0,0.0,614.25,614.25,614.25,0.0,0.0
2018-03-04,607.0,607.0,607.0,0.0,0.0,628.0,628.0,628.0,0.0,0.0,605.5,605.5,605.5,0.0,0.0,626.0,626.0,626.0,0.0,0.0
2018-03-11,614.25,614.25,614.25,0.0,0.0,639.5,639.5,639.5,0.0,0.0,610.75,610.75,610.75,0.0,0.0,633.75,633.75,633.75,0.0,0.0
2018-03-18,687.25,687.25,687.25,0.0,0.0,709.25,709.25,709.25,0.0,0.0,686.0,686.0,686.0,0.0,0.0,707.25,707.25,707.25,0.0,0.0
2018-03-25,676.75,676.75,676.75,0.0,0.0,693.5,693.5,693.5,0.0,0.0,670.75,670.75,670.75,0.0,0.0,687.5,687.5,687.5,0.0,0.0
2018-04-01,655.25,655.25,655.25,0.0,0.0,659.75,659.75,659.75,0.0,0.0,621.41,621.41,621.41,0.0,0.0,625.25,625.25,625.25,0.0,0.0
2018-04-08,729.0,729.0,729.0,0.0,0.0,740.5,740.5,740.5,0.0,0.0,725.25,725.25,725.25,0.0,0.0,731.25,731.25,731.25,0.0,0.0
2018-04-15,743.75,743.75,743.75,0.0,0.0,764.0,764.0,764.0,0.0,0.0,739.75,739.75,739.75,0.0,0.0,755.25,755.25,755.25,0.0,0.0
2018-04-22,749.75,749.75,749.75,0.0,0.0,761.47,761.47,761.47,0.0,0.0,748.25,748.25,748.25,0.0,0.0,754.75,754.75,754.75,0.0,0.0
2018-04-29,763.5,763.5,763.5,0.0,0.0,796.25,796.25,796.25,0.0,0.0,762.75,762.75,762.75,0.0,0.0,791.25,791.25,791.25,0.0,0.0
2018-05-06,825.0,825.0,825.0,0.0,0.0,831.0,831.0,831.0,0.0,0.0,809.5,809.5,809.5,0.0,0.0,811.25,811.25,811.25,0.0,0.0
2018-05-13,832.0,832.0,832.0,0.0,0.0,838.75,838.75,838.75,0.0,0.0,824.5,824.5,824.5,0.0,0.0,831.5,831.5,831.5,0.0,0.0
2018-05-20,772.25,772.25,772.25,0.0,0.0,772.75,772.75,772.75,0.0,0.0,741.0,741.0,741.0,0.0,0.0,745.5,745.5,745.5,0.0,0.0
2018-05-27,714.75,714.75,714.75,0.0,0.0,726.5,726.5,726.5,0.0,0.0,697.92,697.92,697.92,0.0,0.0,698.5,698.5,698.5,0.0,0.0
2018-06-03,704.5,704.5,704.5,0.0,0.0,712.25,712.25,712.25,0.0,0.0,689.5,689.5,689.5,0.0,0.0,699.5,699.5,699.5,0.0,0.0
2018-06-10,713.75,713.75,713.75,0.0,0.0,714.25,714.25,714.25,0.0,0.0,672.0,672.0,672.0,0.0,0.0,672.5,672.5,672.5,0.0,0.0
2018-06-17,732.25,732.25,732.25,0.0,0.0,760.75,760.75,760.75,0.0,0.0,722.75,722.75,722.75,0.0,0.0,759.5,759.5,759.5,0.0,0.0
2018-06-24,851.0,851.0,851.0,0.0,0.0,865.88,865.88,865.88,0.0,0.0,849.75,849.75,849.75,0.0,0.0,859.5,859.5,859.5,0.0,0.0
2018-07-01,809.0,809.0,809.0,0.0,0.0,839.25,839.25,839.25,0.0,0.0,807.75,807.75,807.75,0.0,0.0,835.75,835.75,835.75,0.0,0.0
