Date,iShares MSCI South Korea CappedEtf_Open_average,iShares MSCI South Korea CappedEtf_Open_max,iShares MSCI South Korea CappedEtf_Open_min,iShares MSCI South Korea CappedEtf_Open_volatility,iShares MSCI South Korea CappedEtf_Open_change,iShares MSCI South Korea CappedEtf_High_average,iShares MSCI South Korea CappedEtf_High_max,iShares MSCI South Korea CappedEtf_High_min,iShares MSCI South Korea CappedEtf_High_volatility,iShares MSCI South Korea CappedEtf_High_change,iShares MSCI South Korea CappedEtf_Low_average,iShares MSCI South Korea CappedEtf_Low_max,iShares MSCI South Korea CappedEtf_Low_min,iShares MSCI South Korea CappedEtf_Low_volatility,iShares MSCI South Korea CappedEtf_Low_change,iShares MSCI South Korea CappedEtf_Close_average,iShares MSCI South Korea CappedEtf_Close_max,iShares MSCI South Korea CappedEtf_Close_min,iShares MSCI South Korea CappedEtf_Close_volatility,iShares MSCI South Korea CappedEtf_Close_change
2018-01-14,77.43,77.43,77.43,0.0,0.0,77.68,77.68,77.68,0.0,0.0,77.22,77.22,77.22,0.0,0.0,77.68,77.68,77.68,0.0,0.0
2018-01-21,78.81,78.81,78.81,0.0,0.0,79.07,79.07,79.07,0.0,0.0,78.68,78.68,78.68,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2018-01-28,74.93,74.93,74.93,0.0,0.0,75.02,75.02,75.02,0.0,0.0,73.94,73.94,73.94,0.0,0.0,74.04,74.04,74.04,0.0,0.0
2018-02-04,70.36,70.36,70.36,0.0,0.0,71.2,71.2,71.2,0.0,0.0,68.45,68.45,68.45,0.0,0.0,70.57,70.57,70.57,0.0,0.0
2018-02-11,75.46,75.46,75.46,0.0,0.0,76.48,76.48,76.48,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-02-18,73.83,73.83,73.83,0.0,0.0,74.35,74.35,74.35,0.0,0.0,73.6,73.6,73.6,0.0,0.0,74.28,74.28,74.28,0.0,0.0
2018-02-25,71.19,71.19,71.19,0.0,0.0,72.42,72.42,72.42,0.0,0.0,71.04,71.04,71.04,0.0,0.0,72.3,72.3,72.3,0.0,0.0
2018-03-04,75.3,75.3,75.3,0.0,0.0,76.22,76.22,76.22,0.0,0.0,75.16,75.16,75.16,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2018-03-11,76.18,76.18,76.18,0.0,0.0,76.43,76.43,76.43,0.0,0.0,76.1,76.1,76.1,0.0,0.0,76.28,76.28,76.28,0.0,0.0
2018-03-18,73.79,73.79,73.79,0.0,0.0,73.97,73.97,73.97,0.0,0.0,71.81,71.81,71.81,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2018-03-25,74.88,74.88,74.88,0.0,0.0,75.78,75.78,75.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0,75.45,75.45,75.45,0.0,0.0
2018-04-01,73.84,73.84,73.84,0.0,0.0,74.29,74.29,74.29,0.0,0.0,72.67,72.67,72.67,0.0,0.0,73.17,73.17,73.17,0.0,0.0
2018-04-08,74.78,74.78,74.78,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2018-04-15,75.02,75.02,75.02,0.0,0.0,75.02,75.02,75.02,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.52,74.52,74.52,0.0,0.0
