Date,iShares Emerging Markets Local Currency BondEtf_Open_average,iShares Emerging Markets Local Currency BondEtf_Open_max,iShares Emerging Markets Local Currency BondEtf_Open_min,iShares Emerging Markets Local Currency BondEtf_Open_volatility,iShares Emerging Markets Local Currency BondEtf_Open_change,iShares Emerging Markets Local Currency BondEtf_High_average,iShares Emerging Markets Local Currency BondEtf_High_max,iShares Emerging Markets Local Currency BondEtf_High_min,iShares Emerging Markets Local Currency BondEtf_High_volatility,iShares Emerging Markets Local Currency BondEtf_High_change,iShares Emerging Markets Local Currency BondEtf_Low_average,iShares Emerging Markets Local Currency BondEtf_Low_max,iShares Emerging Markets Local Currency BondEtf_Low_min,iShares Emerging Markets Local Currency BondEtf_Low_volatility,iShares Emerging Markets Local Currency BondEtf_Low_change,iShares Emerging Markets Local Currency BondEtf_Close_average,iShares Emerging Markets Local Currency BondEtf_Close_max,iShares Emerging Markets Local Currency BondEtf_Close_min,iShares Emerging Markets Local Currency BondEtf_Close_volatility,iShares Emerging Markets Local Currency BondEtf_Close_change
2018-01-14,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-01-21,50.55,50.55,50.55,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-01-28,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-02-04,49.41,49.41,49.41,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-02-11,50.41,50.41,50.41,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-02-18,50.3,50.3,50.3,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-02-25,49.8,49.8,49.8,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-03-04,49.98,49.98,49.98,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-03-11,49.68,49.68,49.68,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-03-18,50.02,50.02,50.02,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
