Date,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Open_average,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Open_max,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Open_min,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Open_volatility,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Open_change,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_High_average,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_High_max,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_High_min,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_High_volatility,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_High_change,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Low_average,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Low_max,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Low_min,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Low_volatility,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Low_change,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Close_average,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Close_max,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Close_min,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Close_volatility,SPDR S&P 500 Fossil Fuel Reserves FreeEtf_Close_change
2018-01-14,67.92,67.92,67.92,0.0,0.0,68.07,68.07,68.07,0.0,0.0,67.86,67.86,67.86,0.0,0.0,68.07,68.07,68.07,0.0,0.0
2018-01-21,69.14,69.14,69.14,0.0,0.0,69.36,69.36,69.36,0.0,0.0,68.98,68.98,68.98,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-01-28,68.23,68.23,68.23,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.02,67.02,67.02,0.0,0.0,67.02,67.02,67.02,0.0,0.0
2018-02-04,63.58,63.58,63.58,0.0,0.0,64.04,64.04,64.04,0.0,0.0,61.72,61.72,61.72,0.0,0.0,63.71,63.71,63.71,0.0,0.0
2018-02-11,66.55,66.55,66.55,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-02-18,66.57,66.57,66.57,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.15,66.15,66.15,0.0,0.0,66.81,66.81,66.81,0.0,0.0
2018-02-25,65.03,65.03,65.03,0.0,0.0,65.7,65.7,65.7,0.0,0.0,64.79,64.79,64.79,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-03-04,67.22,67.22,67.22,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-03-11,67.38,67.38,67.38,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-03-18,64.59,64.59,64.59,0.0,0.0,64.59,64.59,64.59,0.0,0.0,62.81,62.81,62.81,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2018-03-25,63.45,63.45,63.45,0.0,0.0,64.39,64.39,64.39,0.0,0.0,63.45,63.45,63.45,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2018-04-01,63.76,63.76,63.76,0.0,0.0,64.17,64.17,64.17,0.0,0.0,62.99,62.99,62.99,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2018-04-08,65.0,65.0,65.0,0.0,0.0,65.0,65.0,65.0,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-04-15,65.03,65.03,65.03,0.0,0.0,65.28,65.28,65.28,0.0,0.0,64.53,64.53,64.53,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2018-04-22,64.99,64.99,64.99,0.0,0.0,64.99,64.99,64.99,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.67,64.67,64.67,0.0,0.0
