Date,ETFS Physical Swiss Gold SharesEtf_Open_average,ETFS Physical Swiss Gold SharesEtf_Open_max,ETFS Physical Swiss Gold SharesEtf_Open_min,ETFS Physical Swiss Gold SharesEtf_Open_volatility,ETFS Physical Swiss Gold SharesEtf_Open_change,ETFS Physical Swiss Gold SharesEtf_High_average,ETFS Physical Swiss Gold SharesEtf_High_max,ETFS Physical Swiss Gold SharesEtf_High_min,ETFS Physical Swiss Gold SharesEtf_High_volatility,ETFS Physical Swiss Gold SharesEtf_High_change,ETFS Physical Swiss Gold SharesEtf_Low_average,ETFS Physical Swiss Gold SharesEtf_Low_max,ETFS Physical Swiss Gold SharesEtf_Low_min,ETFS Physical Swiss Gold SharesEtf_Low_volatility,ETFS Physical Swiss Gold SharesEtf_Low_change,ETFS Physical Swiss Gold SharesEtf_Close_average,ETFS Physical Swiss Gold SharesEtf_Close_max,ETFS Physical Swiss Gold SharesEtf_Close_min,ETFS Physical Swiss Gold SharesEtf_Close_volatility,ETFS Physical Swiss Gold SharesEtf_Close_change
2018-01-14,12.92,12.92,12.92,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2018-01-21,13.08,13.08,13.08,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2018-01-28,12.94,12.94,12.94,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2018-02-04,12.72,12.72,12.72,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.73,12.73,12.73,0.0,0.0
2018-02-11,13.09,13.09,13.09,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.02,13.02,13.02,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-02-18,12.87,12.87,12.87,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.84,12.84,12.84,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2018-02-25,12.83,12.83,12.83,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-03-04,12.75,12.75,12.75,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-03-11,12.73,12.73,12.73,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2018-03-18,13.04,13.04,13.04,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.02,13.02,13.02,0.0,0.0
2018-03-25,12.8,12.8,12.8,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2018-04-01,12.91,12.91,12.91,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2018-04-08,12.95,12.95,12.95,0.0,0.0,13.02,13.02,13.02,0.0,0.0,12.95,12.95,12.95,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2018-04-15,12.94,12.94,12.94,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2018-04-22,12.76,12.76,12.76,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-04-29,12.67,12.67,12.67,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-05-06,12.81,12.81,12.81,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2018-05-13,12.44,12.44,12.44,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-05-20,12.62,12.62,12.62,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2018-05-27,12.49,12.49,12.49,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2018-06-03,12.56,12.56,12.56,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.54,12.54,12.54,0.0,0.0
2018-06-10,12.46,12.46,12.46,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-06-17,12.26,12.26,12.26,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.28,12.28,12.28,0.0,0.0
2018-06-24,12.08,12.08,12.08,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.1,12.1,12.1,0.0,0.0
2018-07-01,12.15,12.15,12.15,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.12,12.12,12.12,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2018-07-08,11.99,11.99,11.99,0.0,0.0,12.01,12.01,12.01,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.99,11.99,11.99,0.0,0.0
