Date,OMERStock_Open_average,OMERStock_Open_max,OMERStock_Open_min,OMERStock_Open_volatility,OMERStock_Open_change,OMERStock_High_average,OMERStock_High_max,OMERStock_High_min,OMERStock_High_volatility,OMERStock_High_change,OMERStock_Low_average,OMERStock_Low_max,OMERStock_Low_min,OMERStock_Low_volatility,OMERStock_Low_change,OMERStock_Close_average,OMERStock_Close_max,OMERStock_Close_min,OMERStock_Close_volatility,OMERStock_Close_change,OMERStock_Volume_average,OMERStock_Volume_max,OMERStock_Volume_min,OMERStock_Volume_volatility,OMERStock_Volume_change
2018-01-14,17.872500000000002,19.57,16.73,2.84,-2.84,18.127499999999998,19.88,16.91,2.969999999999999,-2.969999999999999,16.8575,18.04,16.19,1.8499999999999979,-1.8499999999999979,17.1775,18.08,16.7,1.379999999999999,-1.379999999999999,902381,1342093,609469,732624,-407801
2018-01-21,17.286,17.54,17.12,0.41999999999999815,0.07000000000000028,17.666,18.24,17.4,0.8399999999999999,-0.8399999999999999,16.8,16.91,16.56,0.3500000000000014,0.3500000000000014,17.174,17.44,17.02,0.4200000000000017,-0.16000000000000014,635107,1264415,321437,942978,-942978
2018-01-28,16.462,16.9,16.08,0.8200000000000003,-0.7999999999999972,16.62,17.0,16.16,0.8399999999999999,-0.8399999999999999,15.988,16.65,15.14,1.509999999999998,-1.509999999999998,16.201999999999998,16.88,15.19,1.6899999999999995,-1.6899999999999995,475216,543407,420727,122680,122680
2018-02-04,14.578000000000001,15.39,14.0,1.3900000000000006,-0.8900000000000006,15.286,16.14,14.31,1.83,-0.8899999999999988,13.84,14.38,12.85,1.5300000000000011,-1.5300000000000011,14.494,15.5,13.99,1.5099999999999998,-0.3100000000000005,951799,1302335,658602,643733,643733
2018-02-11,12.384,14.13,10.87,3.2600000000000016,-3.2600000000000016,12.826,14.44,11.24,3.1999999999999993,-3.1999999999999993,11.908,13.68,10.55,3.129999999999999,-2.83,12.132,13.86,10.89,2.969999999999999,-2.8499999999999996,2019639,5698390,501979,5196411,193699
2018-02-18,10.4625,11.15,9.2,1.950000000000001,-1.8000000000000007,10.940000000000001,11.56,10.18,1.3800000000000008,-1.3800000000000008,9.81,10.92,8.66,2.26,-1.8100000000000005,10.2325,11.37,9.0,2.369999999999999,-1.3699999999999992,2017123,4104181,843755,3260426,783297
2018-02-25,10.098,11.34,9.0,2.34,-1.0,10.654,11.46,10.01,1.450000000000001,-1.370000000000001,9.566,10.1,8.36,1.7400000000000002,-1.6400000000000006,10.252,11.06,9.83,1.2300000000000004,-1.0500000000000007,1951064,4313043,1063756,3249287,2618125
2018-03-04,10.164,10.63,9.67,0.9600000000000009,0.7300000000000004,10.716,11.39,10.28,1.1100000000000012,1.1100000000000012,9.972,10.55,9.28,1.2700000000000014,1.2700000000000014,10.462,11.32,9.68,1.6400000000000006,1.6400000000000006,922073,1603571,594522,1009049,-801475
2018-03-11,11.09,11.41,10.96,0.4499999999999993,-0.3800000000000008,11.38,11.9,11.09,0.8100000000000005,-0.6799999999999997,10.754,10.81,10.65,0.16000000000000014,-0.009999999999999787,11.008,11.12,10.91,0.20999999999999908,0.20999999999999908,761354,943211,632028,311183,89254
2018-03-18,13.168,17.75,10.93,6.82,3.619999999999999,13.546,18.2,11.25,6.949999999999999,3.619999999999999,12.306,15.27,10.6,4.67,3.200000000000001,12.744,15.75,10.96,4.789999999999999,3.129999999999999,4359546,15449723,684399,14765324,2872512
2018-03-25,12.73,14.52,11.89,2.629999999999999,-2.629999999999999,13.0375,14.54,12.0,2.539999999999999,-2.539999999999999,11.6825,12.19,11.11,1.08,-1.08,11.9,12.28,11.17,1.1099999999999994,-1.1099999999999994,1388841,2259746,739830,1519916,-1420447
2018-04-01,12.152,13.52,10.79,2.7300000000000004,2.3100000000000005,13.044,14.35,11.39,2.959999999999999,2.959999999999999,11.804,13.32,10.6,2.7200000000000006,2.7200000000000006,12.704,13.58,10.79,2.790000000000001,2.790000000000001,1159204,1458326,817480,640846,493769
2018-04-08,13.966000000000001,14.94,13.05,1.8899999999999988,1.1999999999999993,14.752,15.7,13.66,2.039999999999999,1.17,13.546,14.68,12.81,1.8699999999999992,1.1400000000000006,14.044,15.02,12.97,2.049999999999999,1.209999999999999,1178622,1894198,516658,1377540,352528
2018-04-15,14.624,15.25,13.81,1.4399999999999995,0.5899999999999999,15.122,15.73,14.52,1.2100000000000009,0.4800000000000004,14.092,14.58,13.63,0.9499999999999993,0.2599999999999998,14.608,15.15,13.93,1.2200000000000006,0.09999999999999964,895893,1629199,532562,1096637,156427
2018-04-22,14.378,15.2,13.74,1.459999999999999,1.0699999999999985,15.001999999999999,15.5,14.53,0.9700000000000006,0.5500000000000007,13.91,14.56,13.66,0.9000000000000004,0.7599999999999998,14.4,14.82,13.72,1.0999999999999996,0.2699999999999996,1061257,2135818,459035,1676783,262322
2018-04-29,14.756,15.12,14.23,0.8899999999999988,0.4399999999999995,15.272,16.04,14.95,1.0899999999999999,1.0399999999999991,14.57,15.01,14.15,0.8599999999999994,0.6600000000000001,15.033999999999999,15.98,14.35,1.6300000000000008,1.6300000000000008,547159,875229,381045,494184,397555
2018-05-06,16.592,17.05,16.0,1.0500000000000007,1.0500000000000007,17.562,20.03,16.33,3.700000000000003,3.700000000000003,16.144000000000002,17.05,15.15,1.9000000000000004,1.9000000000000004,17.144,19.89,16.13,3.7600000000000016,3.6099999999999994,1643569,3988271,890377,3097894,2930052
