Date,Innovator IBD ETF LeadersEtf_Open_average,Innovator IBD ETF LeadersEtf_Open_max,Innovator IBD ETF LeadersEtf_Open_min,Innovator IBD ETF LeadersEtf_Open_volatility,Innovator IBD ETF LeadersEtf_Open_change,Innovator IBD ETF LeadersEtf_High_average,Innovator IBD ETF LeadersEtf_High_max,Innovator IBD ETF LeadersEtf_High_min,Innovator IBD ETF LeadersEtf_High_volatility,Innovator IBD ETF LeadersEtf_High_change,Innovator IBD ETF LeadersEtf_Low_average,Innovator IBD ETF LeadersEtf_Low_max,Innovator IBD ETF LeadersEtf_Low_min,Innovator IBD ETF LeadersEtf_Low_volatility,Innovator IBD ETF LeadersEtf_Low_change,Innovator IBD ETF LeadersEtf_Close_average,Innovator IBD ETF LeadersEtf_Close_max,Innovator IBD ETF LeadersEtf_Close_min,Innovator IBD ETF LeadersEtf_Close_volatility,Innovator IBD ETF LeadersEtf_Close_change
2018-01-14,26.76,26.76,26.76,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2018-01-21,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-01-28,26.1,26.1,26.1,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-02-04,23.59,23.59,23.59,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2018-02-11,25.73,25.73,25.73,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-02-18,25.45,25.45,25.45,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-02-25,24.75,24.75,24.75,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.6,24.6,24.6,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-03-04,25.63,25.63,25.63,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-03-11,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-03-18,24.62,24.62,24.62,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2018-03-25,24.11,24.11,24.11,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2018-04-01,24.25,24.25,24.25,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-04-08,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-04-15,24.56,24.56,24.56,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-04-22,24.2,24.2,24.2,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-04-29,23.35,23.35,23.35,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2018-05-06,24.85,24.85,24.85,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-05-13,24.77,24.77,24.77,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-05-20,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-05-27,24.8,24.8,24.8,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.8,24.8,24.8,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-06-03,25.24,25.24,25.24,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-06-10,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-06-17,25.64,25.64,25.64,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-06-24,25.1,25.1,25.1,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-07-01,25.46,25.46,25.46,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-07-08,25.9,25.9,25.9,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-07-15,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-07-22,26.02,26.02,26.02,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-07-29,25.44,25.44,25.44,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-08-05,25.0,25.0,25.0,0.0,0.0,25.27,25.27,25.27,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-08-12,24.13,24.13,24.13,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.35,24.35,24.35,0.0,0.0
