Date,Sprott Physical GoldEtf_Open_average,Sprott Physical GoldEtf_Open_max,Sprott Physical GoldEtf_Open_min,Sprott Physical GoldEtf_Open_volatility,Sprott Physical GoldEtf_Open_change,Sprott Physical GoldEtf_High_average,Sprott Physical GoldEtf_High_max,Sprott Physical GoldEtf_High_min,Sprott Physical GoldEtf_High_volatility,Sprott Physical GoldEtf_High_change,Sprott Physical GoldEtf_Low_average,Sprott Physical GoldEtf_Low_max,Sprott Physical GoldEtf_Low_min,Sprott Physical GoldEtf_Low_volatility,Sprott Physical GoldEtf_Low_change,Sprott Physical GoldEtf_Close_average,Sprott Physical GoldEtf_Close_max,Sprott Physical GoldEtf_Close_min,Sprott Physical GoldEtf_Close_volatility,Sprott Physical GoldEtf_Close_change
2018-01-14,10.85,10.85,10.85,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.84,10.84,10.84,0.0,0.0
2018-01-21,11.04,11.04,11.04,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2018-01-28,10.88,10.88,10.88,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.83,10.83,10.83,0.0,0.0
2018-02-04,10.72,10.72,10.72,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-02-11,11.03,11.03,11.03,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-02-18,10.84,10.84,10.84,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2018-02-25,10.79,10.79,10.79,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2018-03-04,10.72,10.72,10.72,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2018-03-11,10.69,10.69,10.69,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2018-03-18,10.96,10.96,10.96,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.92,10.92,10.92,0.0,0.0
2018-03-25,10.72,10.72,10.72,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.75,10.75,10.75,0.0,0.0
