Date,WisdomTree SmallCap DividendEtf_Open_average,WisdomTree SmallCap DividendEtf_Open_max,WisdomTree SmallCap DividendEtf_Open_min,WisdomTree SmallCap DividendEtf_Open_volatility,WisdomTree SmallCap DividendEtf_Open_change,WisdomTree SmallCap DividendEtf_High_average,WisdomTree SmallCap DividendEtf_High_max,WisdomTree SmallCap DividendEtf_High_min,WisdomTree SmallCap DividendEtf_High_volatility,WisdomTree SmallCap DividendEtf_High_change,WisdomTree SmallCap DividendEtf_Low_average,WisdomTree SmallCap DividendEtf_Low_max,WisdomTree SmallCap DividendEtf_Low_min,WisdomTree SmallCap DividendEtf_Low_volatility,WisdomTree SmallCap DividendEtf_Low_change,WisdomTree SmallCap DividendEtf_Close_average,WisdomTree SmallCap DividendEtf_Close_max,WisdomTree SmallCap DividendEtf_Close_min,WisdomTree SmallCap DividendEtf_Close_volatility,WisdomTree SmallCap DividendEtf_Close_change
2018-01-14,29.14,29.14,29.14,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-01-21,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-01-28,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-02-04,27.04,27.04,27.04,0.0,0.0,27.29,27.29,27.29,0.0,0.0,26.45,26.45,26.45,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-02-11,27.83,27.83,27.83,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-02-18,27.76,27.76,27.76,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-02-25,26.99,26.99,26.99,0.0,0.0,27.56,27.56,27.56,0.0,0.0,26.92,26.92,26.92,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-03-04,28.0,28.0,28.0,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2018-03-11,27.92,27.92,27.92,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-03-18,27.45,27.45,27.45,0.0,0.0,27.59,27.59,27.59,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-03-25,27.37,27.37,27.37,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2018-04-01,27.78,27.78,27.78,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-04-08,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-04-15,28.2,28.2,28.2,0.0,0.0,28.27,28.27,28.27,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2018-04-22,28.26,28.26,28.26,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-04-29,27.68,27.68,27.68,0.0,0.0,28.23,28.23,28.23,0.0,0.0,27.65,27.65,27.65,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-05-06,28.6,28.6,28.6,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.64,28.64,28.64,0.0,0.0
