Date,Vident International EquityEtf_Open_average,Vident International EquityEtf_Open_max,Vident International EquityEtf_Open_min,Vident International EquityEtf_Open_volatility,Vident International EquityEtf_Open_change,Vident International EquityEtf_High_average,Vident International EquityEtf_High_max,Vident International EquityEtf_High_min,Vident International EquityEtf_High_volatility,Vident International EquityEtf_High_change,Vident International EquityEtf_Low_average,Vident International EquityEtf_Low_max,Vident International EquityEtf_Low_min,Vident International EquityEtf_Low_volatility,Vident International EquityEtf_Low_change,Vident International EquityEtf_Close_average,Vident International EquityEtf_Close_max,Vident International EquityEtf_Close_min,Vident International EquityEtf_Close_volatility,Vident International EquityEtf_Close_change
2018-01-14,29.67,29.67,29.67,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-01-21,30.19,30.19,30.19,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-01-28,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-02-04,27.48,27.48,27.48,0.0,0.0,27.58,27.58,27.58,0.0,0.0,26.78,26.78,26.78,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2018-02-11,28.94,28.94,28.94,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-02-18,28.84,28.84,28.84,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.8,28.8,28.8,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-02-25,28.06,28.06,28.06,0.0,0.0,28.28,28.28,28.28,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-03-04,28.71,28.71,28.71,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-03-11,28.66,28.66,28.66,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-03-18,27.91,27.91,27.91,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-03-25,27.99,27.99,27.99,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-04-01,27.77,27.77,27.77,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-04-08,28.15,28.15,28.15,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.22,28.22,28.22,0.0,0.0
