Date,Vanguard S&P Mid Cap 400Etf_Open_average,Vanguard S&P Mid Cap 400Etf_Open_max,Vanguard S&P Mid Cap 400Etf_Open_min,Vanguard S&P Mid Cap 400Etf_Open_volatility,Vanguard S&P Mid Cap 400Etf_Open_change,Vanguard S&P Mid Cap 400Etf_High_average,Vanguard S&P Mid Cap 400Etf_High_max,Vanguard S&P Mid Cap 400Etf_High_min,Vanguard S&P Mid Cap 400Etf_High_volatility,Vanguard S&P Mid Cap 400Etf_High_change,Vanguard S&P Mid Cap 400Etf_Low_average,Vanguard S&P Mid Cap 400Etf_Low_max,Vanguard S&P Mid Cap 400Etf_Low_min,Vanguard S&P Mid Cap 400Etf_Low_volatility,Vanguard S&P Mid Cap 400Etf_Low_change,Vanguard S&P Mid Cap 400Etf_Close_average,Vanguard S&P Mid Cap 400Etf_Close_max,Vanguard S&P Mid Cap 400Etf_Close_min,Vanguard S&P Mid Cap 400Etf_Close_volatility,Vanguard S&P Mid Cap 400Etf_Close_change
2018-01-14,131.87,131.87,131.87,0.0,0.0,133.16,133.16,133.16,0.0,0.0,131.87,131.87,131.87,0.0,0.0,133.16,133.16,133.16,0.0,0.0
2018-01-21,134.03,134.03,134.03,0.0,0.0,134.17,134.17,134.17,0.0,0.0,133.35,133.35,133.35,0.0,0.0,134.14,134.14,134.14,0.0,0.0
2018-01-28,131.03,131.03,131.03,0.0,0.0,131.03,131.03,131.03,0.0,0.0,128.93,128.93,128.93,0.0,0.0,129.03,129.03,129.03,0.0,0.0
2018-02-04,122.46,122.46,122.46,0.0,0.0,123.11,123.11,123.11,0.0,0.0,119.17,119.17,119.17,0.0,0.0,122.59,122.59,122.59,0.0,0.0
2018-02-11,127.44,127.44,127.44,0.0,0.0,128.51,128.51,128.51,0.0,0.0,127.41,127.41,127.41,0.0,0.0,128.07,128.07,128.07,0.0,0.0
2018-02-18,127.48,127.48,127.48,0.0,0.0,128.25,128.25,128.25,0.0,0.0,126.96,126.96,126.96,0.0,0.0,128.25,128.25,128.25,0.0,0.0
2018-02-25,124.29,124.29,124.29,0.0,0.0,126.77,126.77,126.77,0.0,0.0,124.04,124.04,124.04,0.0,0.0,126.57,126.57,126.57,0.0,0.0
2018-03-04,129.98,129.98,129.98,0.0,0.0,131.42,131.42,131.42,0.0,0.0,129.83,129.83,129.83,0.0,0.0,131.42,131.42,131.42,0.0,0.0
2018-03-11,129.92,129.92,129.92,0.0,0.0,130.86,130.86,130.86,0.0,0.0,129.89,129.89,129.89,0.0,0.0,130.44,130.44,130.44,0.0,0.0
2018-03-18,126.54,126.54,126.54,0.0,0.0,126.82,126.82,126.82,0.0,0.0,124.02,124.02,124.02,0.0,0.0,124.06,124.06,124.06,0.0,0.0
